CSV Report,2024-01-26_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM KCl_260.00nm_90.0-21.0C,,516 mM KCl_260.00nm_21.0-90.0C,,516 mM KCl_260.00nm_90.0-21.0C_R1,,516 mM KCl_260.00nm_21.0-90.0C_R1,,116 mM KCl_260.00nm_90.0-21.0C,,116 mM KCl_260.00nm_21.0-90.0C,,116 mM KCl_260.00nm_90.0-21.0C_R1,,116 mM KCl_260.00nm_21.0-90.0C_R1,,66 mM KCl_260.00nm_90.0-21.0C,,66 mM KCl_260.00nm_21.0-90.0C,,66 mM KCl_260.00nm_90.0-21.0C_R1,,66 mM KCl_260.00nm_21.0-90.0C_R1,,31 mM KCl_260.00nm_90.0-21.0C,,31 mM KCl_260.00nm_21.0-90.0C,,31 mM KCl_260.00nm_90.0-21.0C_R1,,31 mM KCl_260.00nm_21.0-90.0C_R1,,516 mM KCl_400.00nm_90.0-21.0C,,516 mM KCl_400.00nm_21.0-90.0C,,516 mM KCl_400.00nm_90.0-21.0C_R1,,516 mM KCl_400.00nm_21.0-90.0C_R1,,116 mM KCl_400.00nm_90.0-21.0C,,116 mM KCl_400.00nm_21.0-90.0C,,116 mM KCl_400.00nm_90.0-21.0C_R1,,116 mM KCl_400.00nm_21.0-90.0C_R1,,66 mM KCl_400.00nm_90.0-21.0C,,66 mM KCl_400.00nm_21.0-90.0C,,66 mM KCl_400.00nm_90.0-21.0C_R1,,66 mM KCl_400.00nm_21.0-90.0C_R1,,31 mM KCl_400.00nm_90.0-21.0C,,31 mM KCl_400.00nm_21.0-90.0C,,31 mM KCl_400.00nm_90.0-21.0C_R1,,31 mM KCl_400.00nm_21.0-90.0C_R1,
,76,0.665782358140223,35,0.427916890789448,76,0.687451877602019,35,0.441419037881817,76,0.674713703698254,35,0.419775795114876,76,0.701193058496789,35,0.435290021656427,76,0.69287138668585,35,0.433944005105848,76,0.72141995509559,35,0.450392351346547,76,0.725336881552485,35,0.467625744264604,76,0.758427014861303,35,0.486746653736182,76,0.0280274017933823,35,0.0280419519267885,76,0.0279322125617525,35,0.0279933757625431,76,0.0128442993471488,35,0.0124060679938493,76,0.0128806628772795,35,0.0124773947575253,76,0.0118693261607929,35,0.0113595750815362,76,0.0118153992281668,35,0.0113991487410135,76,0.0288710049212749,35,0.0286156384578183,76,0.0287639970092202,35,0.0285896316319649
,75,0.658612528702513,36,0.431732571721977,75,0.680277563655307,36,0.445376257860675,75,0.667845102335817,36,0.424147794758007,75,0.694130641760391,36,0.43991620893128,75,0.686040056670578,36,0.438539951301563,75,0.714331896253154,36,0.455259273625873,75,0.71873279056424,36,0.472239070343889,75,0.751292047839949,36,0.491745065822631,75,0.0280401462041791,36,0.0280061786625633,75,0.0279316436890187,36,0.027966062159388,75,0.0128257734730214,36,0.0123952695282156,75,0.0128806764141072,36,0.0124637191560175,75,0.0118735616964804,36,0.0113412455312789,75,0.0118147495153316,36,0.011378893729276,75,0.0288485443800015,36,0.0285946546034046,75,0.0287600260830837,36,0.0286045136632817
,74,0.65165062295665,37,0.435513860483957,74,0.67309150616064,37,0.449295830734312,74,0.661388900582178,37,0.428541595348742,74,0.687262023329053,37,0.444590403237864,74,0.679599489771064,37,0.443158787203923,74,0.707530047996442,37,0.46012817093813,74,0.712280216310915,37,0.477041937272996,74,0.744655110042933,37,0.496736629289581,74,0.0280430546179845,37,0.0280036506049223,74,0.0279644701033886,37,0.0279624410635822,74,0.0128122444753976,37,0.0123876577264772,74,0.0128894605031183,37,0.0124651834105042,74,0.0118804628800033,37,0.0113433305770509,74,0.0118480429812814,37,0.0113827656490304,74,0.0288433578422287,37,0.0285982377766947,74,0.0287724139831357,37,0.0286055969787498
,73,0.644509068870667,38,0.439564758518445,73,0.665872493859326,38,0.45343605370809,73,0.654482365836734,38,0.433101447749209,73,0.680396460456862,38,0.449267192091993,73,0.672758172771612,38,0.447934671790695,73,0.700707157709578,38,0.46497083723587,73,0.705735258713508,38,0.481867430782035,73,0.737954482246164,38,0.501805783555946,73,0.0280224921350535,38,0.028016863292699,73,0.0279713450208425,38,0.0279442495561345,73,0.0128112439112285,38,0.0123960423278965,73,0.0128852866903165,38,0.0124567651197312,73,0.0118686695429247,38,0.0113785605189082,73,0.0118352131984347,38,0.0113748024488208,73,0.0288496231262975,38,0.0286322766327989,73,0.0287862250182184,38,0.0286114365700879
,72,0.637528544296626,39,0.443541806039204,72,0.65867264873858,39,0.457650943526543,72,0.64798707730273,39,0.437682628710301,72,0.673214464476877,39,0.454112284125386,72,0.666343360782607,39,0.452704360057487,72,0.693544435332649,39,0.470016951728083,72,0.699384551943317,39,0.486559282919141,72,0.731242494715073,39,0.506831574019022,72,0.0280118719317307,39,0.0280168008674417,72,0.0279376643561947,39,0.0279443586910267,72,0.0127976366269555,39,0.012412894522124,72,0.0128753146399362,39,0.0124740083774516,72,0.0118707727510224,39,0.0113982558224043,72,0.0118093866228634,39,0.0113936752083619,72,0.028906511997452,39,0.0286228336191046,72,0.0287907166965153,39,0.0286224895403456
,71,0.63040387649205,40,0.447778923245867,71,0.651500743551125,40,0.461943241569071,71,0.641306585541395,40,0.442518147033291,71,0.666367617060293,40,0.459155650305643,71,0.659743349531667,40,0.457683309193636,71,0.686761694889976,40,0.475228657408827,71,0.692886936728314,40,0.491651344709021,71,0.724362767646502,40,0.511881727630253,71,0.028036590652294,40,0.0280125804811979,71,0.0279346698646784,40,0.0279594151447232,71,0.0128133502925292,40,0.0124201658885326,71,0.0128573289805827,40,0.0124965384979439,71,0.0119069460531575,40,0.0114192015881605,71,0.0117905462714866,40,0.0114217049449124,71,0.0289137747106847,40,0.0286047393930108,71,0.0287611208606112,40,0.0285953178526652
,70,0.623463462056132,41,0.45200343519005,70,0.644259667051359,41,0.466277535308309,70,0.634452913974599,41,0.44757405018749,70,0.659303023195049,41,0.464071663749347,70,0.653081291195426,41,0.462907604752244,70,0.67988241306312,41,0.480339696961345,70,0.686442907859489,41,0.496690875443422,70,0.717500008957298,41,0.517097772753836,70,0.0280248857602034,41,0.0279887614350439,70,0.0279775327788886,41,0.0279426175440213,70,0.0128311457823886,41,0.0124275046857585,70,0.0128653732968996,41,0.0124828869965984,70,0.0118792882966675,41,0.0114308381325981,70,0.0118082869063258,41,0.01140631602577,70,0.0288545051296297,41,0.0285965330701996,70,0.0287825108678281,41,0.0285670094034976
,69,0.616789308055377,42,0.456503358641618,69,0.637073603088962,42,0.470948187966287,69,0.627800625034189,42,0.45250846201213,69,0.652216204435184,42,0.469278004910484,69,0.64659510879333,42,0.467960094158035,69,0.672972450681306,42,0.485663167343357,69,0.680290661654313,42,0.501810193557691,69,0.710864303761656,42,0.522466377178249,69,0.0280297041249943,42,0.0279516556295568,69,0.0279646920962828,42,0.0279112740016458,69,0.012828979824321,42,0.0124295050105074,69,0.0128642551266384,42,0.0124793093810733,69,0.0118744899213525,42,0.0114077013588228,69,0.0118084351202024,42,0.0113981754503409,69,0.028878267875484,42,0.0285886614804709,69,0.0287877607870451,42,0.0285736914380059
,68,0.609902056486882,43,0.461132406050112,68,0.630014437377111,43,0.475553806052823,68,0.620608759385444,43,0.457529994337859,68,0.644991185150671,43,0.474469521222984,68,0.639617302630367,43,0.473086563646437,68,0.665862870414358,43,0.490998137699313,68,0.673570894658717,43,0.506914672432079,68,0.703883476634344,43,0.527747173785963,68,0.0280349982411296,43,0.027980971065235,68,0.027956914208425,43,0.0279166400123398,68,0.0128274895400698,43,0.0124497044072805,68,0.0128605268383246,43,0.012495799814563,68,0.0118860381677493,43,0.0114177844019864,68,0.0117944832242452,43,0.0114293368196393,68,0.0288628389833101,43,0.0286126397701426,68,0.0288026087225614,43,0.0286025574578985
,67,0.603204718469046,44,0.465546697761957,67,0.623152612347358,44,0.480278698940127,67,0.613843724307549,44,0.462638589188397,67,0.63761929925155,44,0.479724905066199,67,0.633032913448987,44,0.478308267322784,67,0.658591175945037,44,0.496366670916195,67,0.667201274600659,44,0.512097357389415,67,0.696918192021956,44,0.532836664451374,67,0.0279872324968662,44,0.0279839506938936,67,0.0279454450892592,44,0.027909412870921,67,0.0128239001429124,44,0.012471596041205,67,0.0128516719026259,44,0.0125288450089425,67,0.0118655448053132,44,0.0114250121323582,67,0.0117811625982941,44,0.0114519644573517,67,0.028806550818736,44,0.0286134003921488,67,0.0288149513680071,44,0.0285727918568997
