CSV Report,2024-01-25_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM KCl_260.00nm_90.0-21.0C,,26 mM KCl_260.00nm_21.0-90.0C,,26 mM KCl_260.00nm_90.0-21.0C_R1,,26 mM KCl_260.00nm_21.0-90.0C_R1,,21 mM KCl_260.00nm_90.0-21.0C,,21 mM KCl_260.00nm_21.0-90.0C,,21 mM KCl_260.00nm_90.0-21.0C_R1,,21 mM KCl_260.00nm_21.0-90.0C_R1,,17 mM KCl_260.00nm_90.0-21.0C,,17 mM KCl_260.00nm_21.0-90.0C,,17 mM KCl_260.00nm_90.0-21.0C_R1,,17 mM KCl_260.00nm_21.0-90.0C_R1,,8.3 mM KCl_260.00nm_90.0-21.0C,,8.3 mM KCl_260.00nm_21.0-90.0C,,8.3 mM KCl_260.00nm_90.0-21.0C_R1,,8.3 mM KCl_260.00nm_21.0-90.0C_R1,,26 mM KCl_400.00nm_90.0-21.0C,,26 mM KCl_400.00nm_21.0-90.0C,,26 mM KCl_400.00nm_90.0-21.0C_R1,,26 mM KCl_400.00nm_21.0-90.0C_R1,,21 mM KCl_400.00nm_90.0-21.0C,,21 mM KCl_400.00nm_21.0-90.0C,,21 mM KCl_400.00nm_90.0-21.0C_R1,,21 mM KCl_400.00nm_21.0-90.0C_R1,,17 mM KCl_400.00nm_90.0-21.0C,,17 mM KCl_400.00nm_21.0-90.0C,,17 mM KCl_400.00nm_90.0-21.0C_R1,,17 mM KCl_400.00nm_21.0-90.0C_R1,,8.3 mM KCl_400.00nm_90.0-21.0C,,8.3 mM KCl_400.00nm_21.0-90.0C,,8.3 mM KCl_400.00nm_90.0-21.0C_R1,,8.3 mM KCl_400.00nm_21.0-90.0C_R1,
,76,0.705246183950354,35,0.453414730579405,76,0.726257185950425,35,0.465787768261182,76,0.681436330014635,35,0.431306038998209,76,0.707147533382594,35,0.446182346445843,76,0.678588654500729,35,0.433258666135018,76,0.705431623002542,35,0.449094088518614,76,0.645847835832725,35,0.475290849517026,76,0.67196226595763,35,0.491884690323689,76,0.0296181923016409,35,0.0295686236010315,76,0.0296902751219898,35,0.0294978263444965,76,0.00947629073093156,35,0.00951177954114218,76,0.0094223443071668,35,0.0094757856514122,76,0.00911640314258829,35,0.00913529741485366,76,0.00922733660771701,35,0.00905446244792784,76,0.0325821038536078,35,0.0329517248321281,76,0.0325698517572336,35,0.0327742491011295
,75,0.69895134820758,36,0.458046068403755,75,0.719438555142928,36,0.47051824392728,75,0.675271889714598,36,0.435996184936495,75,0.700608399096686,36,0.45102312225893,75,0.672473236334711,36,0.437752488310279,75,0.699039952116432,36,0.453691406035212,75,0.641935408935688,36,0.478727912818047,75,0.667825694065883,36,0.495422676706648,75,0.0296162916571909,36,0.0295566757479406,75,0.0296743976297078,36,0.0295076932310326,75,0.0095053197692571,36,0.00951739534160724,75,0.00941162068756827,36,0.0094820342141953,75,0.00913465827813811,36,0.00913744568376106,75,0.00920077271025428,36,0.00907687462138323,75,0.0326123182761561,36,0.0330067330669399,75,0.0325631023309844,36,0.0327862769812064
,74,0.692556837444623,37,0.462754241557182,74,0.712500709914674,37,0.47519609131061,74,0.669007971836703,37,0.440700553164369,74,0.693689848441811,37,0.455846123023768,74,0.666291370534351,37,0.442434596421812,74,0.692245583407862,37,0.458480039407729,74,0.637954570351415,37,0.482245722000114,74,0.663631571823787,37,0.498909852491098,74,0.0296032007412398,37,0.0295601910846018,74,0.0296471500738448,37,0.0295188276399798,74,0.0095206971035992,37,0.00950549879472353,74,0.00940633915978423,37,0.0094934867637303,74,0.00912491986246206,37,0.00912578438205256,74,0.00919846350362969,37,0.00908125841707126,74,0.0326105971787691,37,0.0329913618930404,74,0.0325547400324755,37,0.032789691368402
,73,0.68630070187897,38,0.4675905881677,73,0.706172685386983,38,0.48012167808816,73,0.662933292081064,38,0.445664062471113,73,0.687269549092466,38,0.460700916267795,73,0.660343643030708,38,0.447312386998746,73,0.685912763067944,38,0.46335205484118,73,0.634135105714681,38,0.485634052704203,73,0.659599344154132,38,0.502663321189965,73,0.0296443325811473,38,0.0295838894179831,73,0.0296859101097795,38,0.0295351350785461,73,0.00952015558108218,38,0.00948424175908806,73,0.00942713705188462,38,0.00947295233698127,73,0.00913792832687798,38,0.00913688347560126,73,0.00924337996540397,38,0.00908397066856982,73,0.0326053779641163,38,0.0329351321528727,73,0.0325744575387523,38,0.0327899783048197
,72,0.680047380293885,39,0.472474870624697,72,0.699812138459666,39,0.485231165794441,72,0.656631384625083,39,0.450316809551338,72,0.680712052287701,39,0.465670454044843,72,0.654178086351094,39,0.451942493973369,72,0.67945604234668,39,0.468452637644297,72,0.63009842081676,39,0.489126408244747,72,0.655500683349913,39,0.506307893873427,72,0.0296644731115145,39,0.0295443847530653,72,0.0297066720678724,39,0.0295766549235938,72,0.00953386764253126,39,0.00948021386714476,72,0.00943293414965986,39,0.00947465297249689,72,0.00912992698073347,39,0.00912775395731362,72,0.00923635976038886,39,0.00911784519734282,72,0.0326877166072997,39,0.0329301825944703,72,0.0325795650651307,39,0.0328011599580162
,71,0.673686415599791,40,0.477374235850042,71,0.693242507199225,40,0.490077473550214,71,0.650476085760841,40,0.455171773873025,71,0.674279075454165,40,0.470507248649195,71,0.648132438777445,40,0.456659500593193,71,0.673074185449971,40,0.473285976714457,71,0.626389971183665,40,0.492668889640441,71,0.651376106734466,40,0.509990026262589,71,0.0296109959140087,40,0.029554089527864,71,0.0296988748376528,40,0.0295412124356393,71,0.00954909565665839,40,0.00947707708101542,71,0.00944920251928016,40,0.00945887031572789,71,0.00909746867559265,40,0.00910573688908583,71,0.00922846938266574,40,0.00909338398855755,71,0.0326805209208545,40,0.0329291154203508,71,0.0325815115804216,40,0.0327905143783136
,70,0.667390056374158,41,0.482225318027186,70,0.686711662707725,41,0.495199268634828,70,0.644451840696936,41,0.460052597762221,70,0.667720159395945,41,0.47528976912125,70,0.642258794107588,41,0.461499036051724,70,0.666597856265139,41,0.478121306101345,70,0.622587578287526,41,0.496242758335484,70,0.647344631107385,41,0.513637786104397,70,0.0296099970919018,41,0.0295486386979767,70,0.029686335974447,41,0.0295088250765008,70,0.00951251340851041,41,0.00947767726036819,70,0.00945252081925389,41,0.00945151686192739,70,0.00910351902543286,41,0.00910941316317424,70,0.00919656593563041,41,0.00909554369132791,70,0.0326189951046485,41,0.0329165756840922,70,0.0325879406167549,41,0.0327406352471253
,69,0.661092352426233,42,0.487149716431838,69,0.68035431636821,42,0.500144690579467,69,0.638367112244858,42,0.464837439747499,69,0.661443887512021,42,0.480421157298014,69,0.636291103200464,42,0.466256531460973,69,0.660424133413375,42,0.483256855494954,69,0.618884478132721,42,0.499900637363685,69,0.643477051708213,42,0.517427198596949,69,0.0295968761310723,42,0.0295567420642332,69,0.0296896033334493,42,0.0295198164078006,69,0.00950452383791793,42,0.0094687031323455,69,0.00944045782033288,42,0.009474774251766,69,0.00911418841859617,42,0.00912502470537199,69,0.00918601424399223,42,0.00907358210114489,69,0.0326555604010717,42,0.0328895998323955,69,0.0326977502616268,42,0.0327179865253821
,68,0.654975088929413,43,0.492179041965367,68,0.673962060679642,43,0.505333940560672,68,0.632197178786698,43,0.469841298241678,68,0.655048905665252,43,0.485374900162684,68,0.63022566589433,43,0.471224714023039,68,0.654166774789132,43,0.488250864652017,68,0.615056880455076,43,0.503703739428632,68,0.639318462890964,43,0.521367676095499,68,0.0296173463187156,43,0.0295972841280282,68,0.02965507085355,43,0.0295319442849443,68,0.00952932165873313,43,0.00946920921242671,68,0.00942785483855574,43,0.00946319269688107,68,0.00912979733652297,43,0.00914936433709827,68,0.00918505764928585,43,0.00908055804781145,68,0.0326361583103148,43,0.032900412449387,68,0.032658731316507,43,0.032761337208266
,67,0.648774539598978,44,0.497175865327114,67,0.667566403441183,44,0.510499851702617,67,0.62604359390747,44,0.474859649700313,67,0.648587260889364,44,0.490514581525191,67,0.624193869024698,44,0.476174244487695,67,0.647848938725647,44,0.493411126448326,67,0.611364423253503,44,0.507466220847044,67,0.635363608357602,44,0.525321897794427,67,0.0296200606063638,44,0.0295964017003611,67,0.0296592603279934,44,0.0295036767478279,67,0.00952215009751166,44,0.00948289225873473,67,0.00942389114656084,44,0.00946077054591884,67,0.00914250998786258,44,0.00914894151943972,67,0.00919052535738953,44,0.00907470339955417,67,0.0326123138114716,44,0.0329034640419715,67,0.0325804867439903,44,0.0327495919459399
