CSV Report,2023-11-15_RNA_melting_MgCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,
,86,0.300000542824135,25,0.273943459199574,86,0.327547018305722,25,0.310088992338455,86,0.292483750467344,25,0.249071570279655,86,0.311148059253537,25,0.26850883074028,86,0.297395854981802,25,0.250911948729267,86,0.313483320508392,25,0.267766300392672,86,0.323932490184474,25,0.275952075530188,86,0.336768634791769,25,0.288338667128476,86,0.0330111801893001,25,0.0317148206220246,86,0.0313433665117765,25,0.0314475333097838,86,0.0137088796300732,25,0.0138762311983794,86,0.0135723156151839,25,0.0137634509773705,86,0.00823653709654374,25,0.00834176781681005,86,0.00832745179024799,25,0.00820235506338138,86,0.0257123955292148,25,0.0262042232998249,86,0.0257093995945262,25,0.0260325776808765
,85,0.30060463492015,26,0.274457160636342,85,0.327599305861009,26,0.310558399046503,85,0.291938359371123,26,0.249541173403172,85,0.310891456952964,26,0.26913879637409,85,0.297182600621902,26,0.251520148378885,85,0.313134255583457,26,0.268484103946352,85,0.323831328683291,26,0.276524660432117,85,0.335967795946842,26,0.288927907966885,85,0.0322608364157315,26,0.0317187482520131,85,0.0313554849223739,26,0.0314456455074099,85,0.0136959903931823,26,0.0138776447372737,85,0.0135772582340074,26,0.013786648168163,85,0.00824944833571253,26,0.008365092349454,85,0.00830396264572833,26,0.00823196735175893,85,0.0257658309161401,26,0.026228083135353,85,0.0256837523715431,26,0.0260320592107928
,84,0.300744008910121,27,0.274955729527834,84,0.327700260330166,27,0.311016156440751,84,0.29154204299123,27,0.249679584149071,84,0.310571804466442,27,0.269534675856522,84,0.296558973112583,27,0.251918380964561,84,0.312738445471493,27,0.269158762815486,84,0.323179358924651,27,0.276847845417024,84,0.334963472076955,27,0.2893870830277,84,0.0319654709469207,27,0.0317141162135533,84,0.03137306055498,27,0.0314393147396892,84,0.0136917495928274,27,0.0138529453728917,84,0.0135725812746589,27,0.0137632791020286,84,0.0082456290416682,27,0.0083461166711092,84,0.00828942020941577,27,0.00824732102212323,84,0.0257977657182081,27,0.0261955775921831,84,0.0256882605750811,27,0.0260121887405954
,83,0.301230604626546,28,0.275504742704496,83,0.327796560439755,28,0.311504384949409,83,0.291088518172461,28,0.249944995249555,83,0.310169855878894,28,0.270035778215924,83,0.29599875955548,28,0.252135602814388,83,0.312270503621,28,0.269589117715355,83,0.322451739462122,28,0.27700961126002,83,0.334460466881477,28,0.289785738496682,83,0.031795743262589,28,0.0316687132283145,83,0.0313397104807825,28,0.0314177739320794,83,0.0137071664433995,28,0.0138324483308198,83,0.0135799831407521,28,0.0137345793843243,83,0.00825636153988533,28,0.00830149368784179,83,0.00826969154835541,28,0.00821711549764231,83,0.0257467116514202,28,0.0261511246061177,83,0.0256965808783498,28,0.0260061795425926
,82,0.302024291768876,29,0.276071141055547,82,0.32785927909572,29,0.31190375008699,82,0.290556233081899,29,0.250638816903459,82,0.309753820411884,29,0.270788571566493,82,0.295421503747347,29,0.252544527912,82,0.311733816578658,29,0.269976781727876,82,0.321770244918369,29,0.277301444259825,82,0.333914609657007,29,0.290269308526206,82,0.031747386239661,29,0.0316762834974098,82,0.0313196714342061,29,0.0314042765799868,82,0.0136857572584039,29,0.0138601897446162,82,0.0135906713814111,29,0.013740759248196,82,0.0082659649745232,29,0.0083578286169932,82,0.00827349123580787,29,0.00820730336713488,82,0.0257808374721505,29,0.026131524850602,82,0.0257094345479024,29,0.0260202298107522
,81,0.303303186168157,30,0.276619866390441,81,0.328018686063439,30,0.312296446371477,81,0.28999070142389,30,0.251145681332571,81,0.309297359447661,30,0.271443008259378,81,0.294770841188519,30,0.253104059274373,81,0.311165625441439,30,0.270706641332327,81,0.321045793813405,30,0.277823692430706,81,0.333299940200947,30,0.290866742095974,81,0.0317769275517605,30,0.0316732272621949,81,0.0313220839232007,30,0.031376520383348,81,0.0136942619673797,30,0.0138837241918144,81,0.0135812199190291,30,0.0137192210492268,81,0.00830562083408161,30,0.00838863172098967,81,0.00827710387145628,30,0.00819315333279314,81,0.0257909450693405,30,0.0261545840394847,81,0.0257212291699965,30,0.0260006393400964
,80,0.306158384446809,31,0.277209894916807,80,0.328147297203717,31,0.312821455767755,80,0.289413515569931,31,0.251486933452943,80,0.308774212693108,31,0.272020135061023,80,0.29407303490829,31,0.253544570096783,80,0.310588133806798,31,0.271437039275178,80,0.32026183314005,31,0.278240661850028,80,0.332617605495375,31,0.29138561202617,80,0.0317609306737429,31,0.0316305932937234,80,0.0313374058195579,31,0.0313742908057074,80,0.0136961881862197,31,0.0138572469974066,80,0.0135917993162012,31,0.0137098064767472,80,0.00830422639917596,31,0.00831910739797924,80,0.00826995104818921,31,0.00818205180591694,80,0.0257598684849855,31,0.0261500008103596,80,0.0257418336983767,31,0.0259938256471616
,79,0.303141207535126,32,0.277858634707096,79,0.328249546269949,32,0.313293825223646,79,0.288775918437765,32,0.252025748258234,79,0.308162583640009,32,0.272790647862236,79,0.293225687331155,32,0.253910319567573,79,0.309900591513794,32,0.271987911872469,79,0.319388741860154,32,0.278547982010182,79,0.331892065551352,32,0.291874289257393,79,0.0317795732526306,32,0.0316419756798958,79,0.0313657506379347,32,0.0313801651526552,79,0.0136663848186496,32,0.0138294929739714,79,0.0135979708402323,32,0.0137177014715801,79,0.00826596435067944,32,0.00830209521230979,79,0.00827487847414042,32,0.00816635168472216,79,0.0257739917586476,32,0.0261182917316708,79,0.0257141990615904,32,0.0259996584197906
,78,0.302999812420311,33,0.278492571401786,78,0.328312735754744,33,0.313763362459845,78,0.288146325348365,33,0.25250374310755,78,0.30753808576447,33,0.27349232990832,78,0.292302450633373,33,0.254396876078516,78,0.309172979501793,33,0.272653037870661,78,0.318487291014577,33,0.279068144394532,78,0.331079776613284,33,0.292475920967978,78,0.0317731389832905,33,0.0316430138065617,78,0.0313639906200817,33,0.0313779778465866,78,0.0136870846812269,33,0.0138050140076392,78,0.0136109677023604,33,0.0137077827390556,78,0.00826326597035486,33,0.00830479538562847,78,0.00826131681331469,33,0.0081814653397448,78,0.0257669166295406,33,0.0261203266843152,78,0.0257088701720482,33,0.0259984499866076
,77,0.302685331884245,34,0.279084295185962,77,0.328532699305572,34,0.314207186667561,77,0.2871004161861,34,0.252970303594093,77,0.3069050848548,34,0.274214779117846,77,0.29132473582919,34,0.254870263037053,77,0.308394768043749,34,0.273467144744527,77,0.317402602746276,34,0.279525461321049,77,0.330168498541093,34,0.2930776427997,77,0.0316946472949413,34,0.0316064793598499,77,0.0313157743252484,34,0.0313675601935104,77,0.0136804186450587,34,0.013801548089482,77,0.0136371515999045,34,0.0137134416943166,77,0.00827183214687676,34,0.00829112334855652,77,0.00824878392234681,34,0.00821216782889989,77,0.0257712392083695,34,0.0261260000665544,77,0.0257128998232432,34,0.0259894632675324
,76,0.302291697140167,35,0.279704301217855,76,0.328495431314542,35,0.314649627174041,76,0.286124048070499,35,0.253574303299997,76,0.306213186447406,35,0.274954381185092,76,0.290134592724827,35,0.255382835032333,76,0.307545545020776,35,0.274045363688534,76,0.316233650301619,35,0.279949154885297,76,0.329147495770256,35,0.293617698987733,76,0.0316505048424246,35,0.0315949411924703,76,0.0313241475072108,35,0.0313813867355414,76,0.0136943216647614,35,0.01380412914733,76,0.0136446238262943,35,0.0137255672412635,76,0.008274519765609,35,0.00829484153032733,76,0.00828809643462802,35,0.00819597006744037,76,0.0257927405440834,35,0.0260974939814219,76,0.0257309164782638,35,0.0260060372906302
,75,0.301902321984154,36,0.280377121851673,75,0.328286037039371,36,0.315100685612116,75,0.285164849850997,36,0.254126507817405,75,0.305550763980681,36,0.27568018306848,75,0.289030753414894,36,0.255978199506713,75,0.306622646953064,36,0.274761908248515,75,0.315117292892552,36,0.28050906291175,75,0.328060728988919,36,0.294256643777174,75,0.0316681211044039,36,0.0315818521290999,75,0.0313220583115777,36,0.0314221080000518,75,0.0136981314039385,36,0.0137975909710183,75,0.0136508259542738,36,0.0137114010727652,75,0.00824447306015209,36,0.0082725556163561,75,0.0082659608934635,36,0.00822488923021528,75,0.0257901218855045,36,0.0261030696234445,75,0.0257285919710419,36,0.0260264182279364
,74,0.3013766842117,37,0.28100713955698,74,0.328112712305205,37,0.315554336478101,74,0.284193328043911,37,0.254768312923372,74,0.304850992762629,37,0.276482376380358,74,0.287990501384513,37,0.25658332337903,74,0.305686848545913,37,0.275499670213741,74,0.313914551104709,37,0.281006527965527,74,0.326969574581014,37,0.294891727238781,74,0.0317266708528551,37,0.0315678846633883,74,0.0313009254406545,37,0.0314049460995716,74,0.0137572069513722,37,0.0138226339835761,74,0.0136404151220623,37,0.0137153933491272,74,0.00828912386985378,37,0.00828660434850183,74,0.00822690505413162,37,0.00820925303016565,74,0.0258076286550428,37,0.026142346809086,74,0.0257156780569953,37,0.0259981127340838
,73,0.301161466603929,38,0.281683527345474,73,0.327881966469947,38,0.316039632489722,73,0.283239815501914,38,0.255485292954081,73,0.304104688266993,38,0.277185661684631,73,0.286828469390038,38,0.257161897618398,73,0.304822973860708,38,0.276162952523242,73,0.312448891783826,38,0.281463591398189,73,0.325854316052111,38,0.295530938390427,73,0.0317423429360544,38,0.0315785463560505,73,0.0313048706399859,38,0.0313494372709572,73,0.013784139960913,38,0.0138537302343106,73,0.0136401679182818,38,0.0136697866147944,73,0.00824700639076462,38,0.00829877641357992,73,0.00824096239819056,38,0.00813637336079953,73,0.0257875228614386,38,0.0261274311101779,73,0.0257138535875055,38,0.0259771091813381
,72,0.300766266677726,39,0.282315496128812,72,0.327618504108365,39,0.316375302898772,72,0.282341569187829,39,0.256124900602981,72,0.303400880997561,39,0.277993338875665,72,0.285652832565798,39,0.257717669500427,72,0.303906415703954,39,0.276897342504024,72,0.311091871429755,39,0.282077017337888,72,0.324707065952759,39,0.296144509161835,72,0.0317196456850224,39,0.0315784591143565,72,0.0313534113396546,39,0.0313230123020808,72,0.0137954180499088,39,0.013838391965651,72,0.0136613949971016,39,0.0136672745155645,72,0.00823225309916943,39,0.00829019819058048,72,0.00825622193837905,39,0.00815021808004531,72,0.0257739211761801,39,0.0261704361267854,72,0.0257451874568059,39,0.0259867287787202
,71,0.300463427950068,40,0.282954636620625,71,0.32735221405608,40,0.31683629223928,71,0.281391027396777,40,0.256552573718672,71,0.302668614638937,40,0.278773651513046,71,0.284577702036554,40,0.258291503930702,71,0.302985654938016,40,0.277651513332642,71,0.309837258092761,40,0.282615055572262,71,0.323591242196546,40,0.296774847083282,71,0.0317306657094299,40,0.031575188840023,71,0.0313683842408549,40,0.0313428223032863,71,0.0137977467713515,40,0.0137686427490697,71,0.0136817543323648,40,0.0136805891577057,71,0.00823603391044277,40,0.00828571913338546,71,0.00823227880421358,40,0.00816941422919796,71,0.0257853438871413,40,0.02615388169255,71,0.0257389516701597,40,0.025968649461871
,70,0.299866156563292,41,0.283682971057951,70,0.327124551167805,41,0.317222415962114,70,0.281039111402428,41,0.257211819069119,70,0.301911138610019,41,0.279569568453858,70,0.28350920035659,41,0.258952860797533,70,0.3021180273436,41,0.27842727155941,70,0.308617942164571,41,0.283090228031242,70,0.322528675991033,41,0.297394349005955,70,0.0316680618698889,41,0.0315557119712942,70,0.031359961792851,41,0.0313414495366682,70,0.013783148582809,41,0.0137503726556614,70,0.0136913836838373,41,0.0136897528056678,70,0.00821821449324122,41,0.00826220218655451,70,0.00823511904473169,41,0.00817327798331603,70,0.0257963801743862,41,0.0260417283428365,70,0.0257214614473088,41,0.025957859662374
,69,0.299456853933691,42,0.284343719061663,69,0.326840873408723,42,0.317547198551856,69,0.280669471731965,42,0.25789546264431,69,0.301209254142809,42,0.280356964735717,69,0.282559656853358,42,0.259602387230538,69,0.30132168884159,42,0.279190661707689,69,0.307477133344486,42,0.283699230444863,69,0.321514322880652,42,0.298068111055297,69,0.031708396936156,42,0.0315372826385152,69,0.0313563018425089,42,0.031302811105255,69,0.0137866679100233,42,0.0137458099134841,69,0.0136913623360288,42,0.0136526511282164,69,0.00824307707361997,42,0.00826709182958584,69,0.00826664630444238,42,0.00815841660025691,69,0.0258318436773684,42,0.0260431483492513,69,0.0257402191871022,42,0.0259388164477744
,68,0.298973554303814,43,0.284936083471023,68,0.326538691343804,43,0.317973282949876,68,0.278758908703189,43,0.25859620006825,68,0.300491412037317,43,0.281116712902277,68,0.281758986558901,43,0.260294606615584,68,0.300468593607083,43,0.279950509580202,68,0.30632640622706,43,0.284362361876255,68,0.320517311802846,43,0.298786595354092,68,0.0317518874582834,43,0.0315071669820757,68,0.0313708037777431,43,0.0312939855025727,68,0.0137529255299244,43,0.0137518689546523,68,0.0136855679164177,43,0.0136440037416835,68,0.00833053369239993,43,0.00825551112770142,68,0.00824417558652695,43,0.0081569835174408,68,0.0258317218035803,43,0.0260362555227265,68,0.0257692286256713,43,0.0259411321771929
,67,0.298460429648858,44,0.285629003392687,67,0.326300377011276,44,0.318392088474286,67,0.277956917170072,44,0.259242922518688,67,0.299851910891151,44,0.281892128843441,67,0.281037747380072,44,0.261060166821317,67,0.299652224246495,44,0.280731268602252,67,0.305252655771008,44,0.285005294159715,67,0.319550835326879,44,0.299441030192538,67,0.0317280398188345,44,0.0315058700948709,67,0.0314076867905787,44,0.0313068728148515,67,0.0137425413302828,44,0.0137248292043663,67,0.0136859354963326,44,0.0136731657301247,67,0.00836915888752905,44,0.00827525264950205,67,0.00822994452070033,44,0.00817518512763839,67,0.0257834267817994,44,0.0260200731102504,67,0.0257799662137834,44,0.0259226533275429
,66,0.297956926464545,45,0.286232731132031,66,0.326021474137703,45,0.318777702787928,66,0.277182771296351,45,0.259987688080384,66,0.299229732226816,45,0.282669295219602,66,0.279930230205062,45,0.261730563007628,66,0.298910643190093,45,0.28153435164357,66,0.304277972376327,45,0.285754632388147,66,0.318632309198142,45,0.300154122175111,66,0.0316596391769992,45,0.0315061878091917,66,0.0313934491107741,45,0.0312917625184516,66,0.0137399397546382,45,0.013728297521157,66,0.01369402656107,45,0.0136631624477644,66,0.00827429130713303,45,0.00827292223550888,66,0.00823652942409603,45,0.00816066293771351,66,0.0258163650632598,45,0.0260718798163694,66,0.0257620775032969,45,0.0258859152350988
,65,0.29748371896748,46,0.286899135106608,65,0.325692499342617,46,0.319133533673736,65,0.276495726340985,46,0.260785684244033,65,0.298596842574365,46,0.28344110788128,65,0.278931542340987,46,0.262438186152049,65,0.2982686128319,46,0.28232662167523,65,0.303400487465278,46,0.286498114728173,65,0.31779518675612,46,0.300910719326387,65,0.0316637732997234,46,0.0315682513488656,65,0.0313688896311178,46,0.0312898382145881,65,0.0137736329365133,46,0.0137715888048727,65,0.0136991519830623,46,0.013640643476274,65,0.00823491281897228,46,0.00828876733306401,65,0.00829759968699992,46,0.00817721127350426,65,0.0258358032559684,46,0.0260949491022647,65,0.02578191513775,46,0.0258990052660539
,64,0.29698372196011,47,0.287574920376407,64,0.325419318696398,47,0.319529188554396,64,0.275770375959159,47,0.261501743445038,64,0.297934198592994,47,0.284192374580852,64,0.27820159304289,47,0.263181757384901,64,0.297500286775249,47,0.283188474098059,64,0.302523597835757,47,0.28716686323587,64,0.317032688283947,47,0.301701371856456,64,0.0316854534372546,47,0.0315488012216572,64,0.0313805677451935,47,0.0312939492507054,64,0.0137556857370808,47,0.01378167913433,64,0.0137028282385482,47,0.0136404593388619,64,0.00822015547864845,47,0.00828960682686205,64,0.00827564240863073,47,0.00818309089367124,64,0.02583930465768,47,0.0260103387349291,64,0.0258149662354783,47,0.0259019935921317
