CSV Report,2023-09-21_RNA_melting_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM KCl_260.00nm_90.0-21.0C,,4.15 mM KCl_260.00nm_21.0-90.0C,,4.15 mM KCl_260.00nm_90.0-21.0C_R1,,4.15 mM KCl_260.00nm_21.0-90.0C_R1,,1.66 mM KCl_260.00nm_90.0-21.0C,,1.66 mM KCl_260.00nm_21.0-90.0C,,1.66 mM KCl_260.00nm_90.0-21.0C_R1,,1.66 mM KCl_260.00nm_21.0-90.0C_R1,,0.8 mM KCl_260.00nm_90.0-21.0C,,0.8 mM KCl_260.00nm_21.0-90.0C,,0.8 mM KCl_260.00nm_90.0-21.0C_R1,,0.8 mM KCl_260.00nm_21.0-90.0C_R1,,0.08 mM KCl_260.00nm_90.0-21.0C,,0.08 mM KCl_260.00nm_21.0-90.0C,,0.08 mM KCl_260.00nm_90.0-21.0C_R1,,0.08 mM KCl_260.00nm_21.0-90.0C_R1,,4.15 mM KCl_400.00nm_90.0-21.0C,,4.15 mM KCl_400.00nm_21.0-90.0C,,4.15 mM KCl_400.00nm_90.0-21.0C_R1,,4.15 mM KCl_400.00nm_21.0-90.0C_R1,,1.66 mM KCl_400.00nm_90.0-21.0C,,1.66 mM KCl_400.00nm_21.0-90.0C,,1.66 mM KCl_400.00nm_90.0-21.0C_R1,,1.66 mM KCl_400.00nm_21.0-90.0C_R1,,0.8 mM KCl_400.00nm_90.0-21.0C,,0.8 mM KCl_400.00nm_21.0-90.0C,,0.8 mM KCl_400.00nm_90.0-21.0C_R1,,0.8 mM KCl_400.00nm_21.0-90.0C_R1,,0.08 mM KCl_400.00nm_90.0-21.0C,,0.08 mM KCl_400.00nm_21.0-90.0C,,0.08 mM KCl_400.00nm_90.0-21.0C_R1,,0.08 mM KCl_400.00nm_21.0-90.0C_R1,
,86,0.572290041476626,25,0.365287966946937,86,0.579273816026828,25,0.369547574754244,86,0.381547642648456,25,0.315611576667607,86,0.394421346044477,25,0.325651901342305,86,0.357187640198026,25,0.327859596973979,86,0.371784585443486,25,0.34033850550567,86,0.36492115118977,25,0.3424541280309,86,0.378135315610838,25,0.350019754984201,86,0.0243761891719809,25,0.024338709776792,86,0.0243251320328109,25,0.0242993305942057,86,0.00551288355514478,25,0.00522095835307826,86,0.0055885606473358,25,0.00527105983312454,86,0.00667281561750472,25,0.00684730677629515,86,0.00688951812707386,25,0.0069279817066877,86,0.0245755121644954,25,0.0244218500027362,86,0.0246079803714744,25,0.0243715116494865
,85,0.569016890910368,26,0.367712908621819,85,0.575729953305856,26,0.372103573333774,85,0.38103830669649,26,0.316956463165137,85,0.393641459209598,26,0.326946478251315,85,0.357215275822632,26,0.32884565362655,85,0.371644133038951,26,0.341282877462043,85,0.365118979921687,26,0.34330268053977,85,0.378270661711168,26,0.350955390754419,85,0.0243930146515753,26,0.0243112131950394,85,0.0243277303772094,26,0.0242810096440661,85,0.00550203681715643,26,0.00523616123244774,85,0.00558214595049958,26,0.00531563476405518,85,0.00668432638714351,26,0.006849446152662,85,0.00688842682122072,26,0.00690210193556965,85,0.0245581107796655,26,0.0243897964898507,85,0.0246053800732689,26,0.0243583945387959
,84,0.565284744770625,27,0.370141762039609,84,0.572217076240285,27,0.37458271181836,84,0.380454390001022,27,0.318378874482954,84,0.392933117319409,27,0.328411301387826,84,0.357565378944981,27,0.329908058481634,84,0.371617256657093,27,0.342439795268626,84,0.36536748074861,27,0.344266515168854,84,0.378391641004099,27,0.351969523581574,84,0.0243905939795884,27,0.0243239078248721,84,0.024304596016228,27,0.0242655771678348,84,0.00550472370918524,27,0.00525681094659853,84,0.00557088091744856,27,0.00531084283380555,84,0.00672285653789045,27,0.00686148580638052,84,0.00686097121055656,27,0.00687667826405419,84,0.0245582507174839,27,0.0244037857793828,84,0.0246014428340034,27,0.0243615628866407
,83,0.561803886515371,28,0.372839736326793,83,0.568627751714293,28,0.377204525693809,83,0.379958168496562,28,0.319892338871319,83,0.39220233063424,28,0.330124508262726,83,0.357965822916306,28,0.330782309273896,83,0.371595468313671,28,0.343507011313633,83,0.365478057295409,28,0.345230022822642,83,0.378451826153762,28,0.352827030883318,83,0.024384614114556,28,0.0243319864666461,83,0.024310021865971,28,0.024278154595252,83,0.00550602070519057,28,0.00529271444447247,83,0.00557012199159637,28,0.00531820968057115,83,0.00671919090031068,28,0.00684272383926802,83,0.00685607779633337,28,0.00689160911791539,83,0.0245463779496662,28,0.0244198955399363,83,0.0245984123886935,28,0.0243767477633893
,82,0.558000677637617,29,0.37549741898163,82,0.565122461934748,29,0.379946983418631,82,0.379503364928882,29,0.321338716650796,82,0.391781535266157,29,0.331692541054752,82,0.358051987066264,29,0.331504988683387,82,0.371624650845096,29,0.344402685172764,82,0.365586296668572,29,0.345952730143553,82,0.378505423375503,29,0.353524829966588,82,0.0243311717016477,29,0.0243045390014737,82,0.0243166299556317,29,0.0242846027306837,82,0.00548667430224987,29,0.00529450875310343,82,0.00556549809297489,29,0.00535449930359046,82,0.00670024391290244,29,0.00682027223031972,82,0.00686259341581876,29,0.00691042020428514,82,0.0245343037613031,29,0.0243954973212523,82,0.0245956138355523,29,0.0243770944862078
,81,0.554430574862392,30,0.378408048187276,81,0.561576716083652,30,0.382735712003443,81,0.379133943938545,30,0.322802638728035,81,0.391668873811905,30,0.332979905775007,81,0.357854650698688,30,0.332264468890531,81,0.371698551135745,30,0.345140564419818,81,0.365741248504187,30,0.346871054542583,81,0.378595569439642,30,0.354377938111238,81,0.0243876723539885,30,0.024327429251011,81,0.0243210016178976,30,0.0242913637899846,81,0.00549137172716123,30,0.00528347427044313,81,0.005565470903478,30,0.00534764035633849,81,0.00673067232080101,30,0.00683575001382153,81,0.00684384578204327,30,0.00690715596672516,81,0.0245563319425482,30,0.0244040756395858,81,0.0245868891667561,30,0.0243849033336854
,80,0.551129765665856,31,0.381108282723958,80,0.557894885152727,31,0.385494120739137,80,0.378760071028938,31,0.324232107810767,80,0.390881639113174,31,0.334459415886106,80,0.357699017632955,31,0.333088774982725,80,0.371700950319275,31,0.345966460998321,80,0.365938224672749,31,0.347892187699344,80,0.378634813444351,31,0.355337208492981,80,0.0243633872651215,31,0.0243840952400201,80,0.0243033140188667,31,0.0242709932006026,80,0.00548074070357977,31,0.00529893262433596,80,0.00557621150436546,31,0.0053397682804033,80,0.00672655909046323,31,0.0068760379569646,80,0.00684776724351586,31,0.00688778288657435,80,0.0245591238841968,31,0.0244325423125343,80,0.024563398721156,31,0.0243712375816483
,79,0.547580507512609,32,0.383922193850539,79,0.554446375151498,32,0.388345800446433,79,0.378394920483588,32,0.325683391214438,79,0.389959153442007,32,0.335997314085633,79,0.357757374990352,32,0.334008029134591,79,0.371792734400978,32,0.346928138979454,79,0.3661380278932,32,0.348718715361895,79,0.378697624544128,32,0.356129406954656,79,0.0243877362040634,32,0.024372934247887,79,0.0243025802737963,32,0.0242472238108545,79,0.00549406112195137,32,0.00529446321783011,79,0.00556813646513948,32,0.00535374008747818,79,0.00675917525109514,32,0.00689090196484631,79,0.0068541045663494,32,0.00686370002100129,79,0.0245635234526903,32,0.0244334646725215,79,0.0245542265620314,32,0.0243456473335089
,78,0.54412246958617,33,0.38673821620371,78,0.551057196845521,33,0.391144942611795,78,0.377926880515285,33,0.327049643262408,78,0.389367501907407,33,0.337407179884905,78,0.357730878446023,33,0.335056720824124,78,0.371797666067957,33,0.347976499910678,78,0.366224547504566,33,0.349678057338916,78,0.378763197954127,33,0.35704612081167,78,0.0244120854111467,33,0.0243386322560546,78,0.0243102654167326,33,0.0242488919776455,78,0.00549169404189948,33,0.00529373845156651,78,0.00555452816361547,33,0.00535146356463582,78,0.00675506829858445,33,0.00689654467919766,78,0.00685710510442074,33,0.00686081363938388,78,0.0245474383799442,33,0.0244298877355141,78,0.024566779922271,33,0.0243361165421405
,77,0.540702728441562,34,0.389650333974522,77,0.547483182386428,34,0.393981511525149,77,0.377511258638892,34,0.328415011052211,77,0.388737277622478,34,0.338796632742441,77,0.357586998529465,34,0.336119452688181,77,0.371679872233068,34,0.34904996229302,77,0.366364018383752,34,0.350565274794394,77,0.378762802083934,34,0.357960759133909,77,0.0244006479370391,34,0.0243096322116553,77,0.0243191027069617,34,0.0242070194776911,77,0.00547851109302645,34,0.00529019414929517,77,0.0055607375650457,34,0.00534919742251989,77,0.00676379347088301,34,0.00684795477866947,77,0.00686451407533538,34,0.00683307742747036,77,0.0245668168339547,34,0.0243987374827979,77,0.0245744363691833,34,0.0243242342796611
,76,0.537349938061546,35,0.39248388279626,76,0.544084903414432,35,0.396885806483972,76,0.377128881602454,35,0.329792856932928,76,0.388025418702359,35,0.340246552680357,76,0.357359266484974,35,0.337174829518391,76,0.371538832515626,35,0.350205412734551,76,0.366421498233877,35,0.351410307702703,76,0.378700033078934,35,0.358846354153537,76,0.0244335541211427,35,0.0243048599937223,76,0.0243044901074771,35,0.0241903660583385,76,0.0054874365441433,35,0.00529734715925124,76,0.00556579905829466,35,0.00533236542581409,76,0.00678844203207818,35,0.00683805069145165,76,0.00684785311202013,35,0.00681094199492735,76,0.0245814833779169,35,0.0244097538832102,76,0.0245567817847758,35,0.0243349469639349
,75,0.53388113154336,36,0.395369951025126,75,0.540694588007501,36,0.399731227221326,75,0.376452601973747,36,0.331210879823382,75,0.387361572432011,36,0.341642618373996,75,0.357157290828689,36,0.338356350585945,75,0.371355475862716,36,0.351430051794742,75,0.366355722176359,36,0.352252294372371,75,0.378607335031291,36,0.35976620496946,75,0.0243872417610425,36,0.0243483857277463,75,0.0242938777162189,36,0.0242085655093781,75,0.00549720534660017,36,0.00531988796549619,75,0.00556216057618336,36,0.0053137937754742,75,0.00675054798782943,36,0.00689783079860756,75,0.00683758169295115,36,0.00680840227509273,75,0.024544725238949,36,0.0244615783875529,75,0.02456213418624,36,0.0243455616842453
,74,0.530506374080447,37,0.398236551742773,74,0.537219396951844,37,0.402774925980727,74,0.375895699655066,37,0.332535194421453,74,0.386670739239733,37,0.343063135585782,74,0.356954453907696,37,0.339466383821851,74,0.371093470118873,37,0.352630543022439,74,0.366305664657261,37,0.353011170188529,74,0.378464321963813,37,0.360667084254544,74,0.0244058164655171,37,0.0243445950172946,74,0.0242859644473688,37,0.0242307534923347,74,0.00549189526778736,37,0.00530658325058023,74,0.00556349558092952,37,0.00533077290297494,74,0.00674965002976621,37,0.00688541759865864,74,0.0068375464630964,37,0.00683412328316786,74,0.0245580906596196,37,0.0244456108751351,74,0.0245548216812341,37,0.0243718484662569
,73,0.527258621829059,38,0.401212548907609,73,0.533657085774833,38,0.405761632799298,73,0.375215600322847,38,0.333872552781467,73,0.386046276817294,38,0.344489504608001,73,0.35680486554902,38,0.340539423148426,73,0.370966042115524,38,0.35377903149791,73,0.366299020805616,38,0.353694116996296,73,0.378309068729944,38,0.361548032144124,73,0.0244197306111688,38,0.0243267872660758,73,0.0242874706090463,38,0.0242626966820006,73,0.00548852145471497,38,0.00530679192351921,73,0.0055485421072322,38,0.00534705706895602,73,0.0067860813706846,38,0.00687192710917886,73,0.00683649554022574,38,0.00687143188637963,73,0.0245812901427518,38,0.0244217744868257,73,0.024536214138512,38,0.0243892930568877
,72,0.523911965884662,39,0.404170952068353,72,0.530328276546686,39,0.408836267494254,72,0.374461647900436,39,0.335245388234996,72,0.385427756831681,39,0.345992133083441,72,0.356609387686659,39,0.341545674985106,72,0.370843214871395,39,0.354897554245938,72,0.366279436225401,39,0.354376555676596,72,0.378259035183827,39,0.362428536478102,72,0.0243916217415462,39,0.0243459121809882,72,0.0243129203977623,39,0.024259764812833,72,0.00550054667592341,39,0.00531774779872082,72,0.00555108357738231,39,0.00535870889870688,72,0.00677277652379514,39,0.00688334865322985,72,0.00683938219497882,39,0.00685799361857021,72,0.0245831953825249,39,0.0244350316090941,72,0.0245460190989347,39,0.0243917363572707
,71,0.520629826939073,40,0.407264635759875,71,0.526784912907769,40,0.411939660818259,71,0.373639843436545,40,0.336691906277533,71,0.384667944534594,40,0.347431207830115,71,0.356535979673883,40,0.342515835819955,71,0.37057209809422,40,0.355965617851028,71,0.366268487000611,40,0.355001705057933,71,0.378132684287618,40,0.363292490703401,71,0.0244173950019978,40,0.0243156476694151,71,0.0242882135694435,40,0.0242459873628175,71,0.00550559366393852,40,0.00530922981980613,71,0.005551207609752,40,0.00536256765648791,71,0.00676310223475314,40,0.00683641301371512,71,0.00682433568201866,40,0.00685175926135276,71,0.0245865381369143,40,0.0244227511887384,71,0.0245206063193491,40,0.0243942870405009
,70,0.517221983777537,41,0.410366155151825,70,0.523359942053528,41,0.415003781619134,70,0.372892204859097,41,0.338130403154509,70,0.384533289046507,41,0.348955914071046,70,0.356480484706239,41,0.343426851799824,70,0.370384552121119,41,0.356949406107765,70,0.366258684712497,41,0.355599056465342,70,0.377995560970668,41,0.364083900230281,70,0.0243844027475545,41,0.0243268225321136,70,0.0242744762084261,41,0.0242762509620354,70,0.00551543268417839,41,0.00532309789632319,70,0.00553491807811446,41,0.00536315047735428,70,0.00675691982861178,41,0.00683849249534443,70,0.00682842003285061,41,0.00687233362224109,70,0.0245833796349321,41,0.0244192863668841,70,0.0245056600646871,41,0.0244028151421981
,69,0.514086860489787,42,0.413521488855675,69,0.519926707540368,42,0.418224025469143,69,0.372134095789849,42,0.339595259899071,69,0.383772191566657,42,0.350433036841504,69,0.356328171179729,42,0.344266502466263,69,0.370239131932846,42,0.357839927186608,69,0.366215798420513,42,0.35618062384758,69,0.377904980686855,42,0.364846564357507,69,0.0244020564461788,42,0.0243448937161291,69,0.0242840236464217,42,0.0242657344628855,69,0.00551707244197117,42,0.00534435086613309,69,0.00555504111620329,42,0.00535890403613156,69,0.00676611374781659,42,0.0068813692458834,69,0.00683214791941202,42,0.00685445324511081,69,0.0245729396428816,42,0.0244360569326463,69,0.0245103117531043,42,0.0243699033306223
,68,0.510699824321504,43,0.416682845048857,68,0.516588360663362,43,0.421447691514101,68,0.371192638309978,43,0.341119706022103,68,0.382649101802972,43,0.352022749785683,68,0.356144807242737,43,0.345067933738408,68,0.370001507774235,43,0.358705428107671,68,0.366151560290871,43,0.356712577977423,68,0.37780318018391,43,0.365605610616703,68,0.0243368662997246,43,0.0243185853040116,68,0.0242771307195597,43,0.0242214004563178,68,0.00547770597840002,43,0.00534722217736354,68,0.00557995898131588,43,0.00534397150763202,68,0.0067257365370435,43,0.00686739336292177,68,0.00681997614465053,43,0.00680975633185027,68,0.0245442955443487,43,0.0244296452832326,68,0.0245104700742167,43,0.0243621162540484
,67,0.507282107908119,44,0.42003740839521,67,0.513241972007907,44,0.4247130283164,67,0.370318171129847,44,0.342698897437779,67,0.381774861573964,44,0.353643098454873,67,0.355901364403652,44,0.345844246724952,67,0.369716677470241,44,0.359509452141007,67,0.366049299813285,44,0.357227056657586,67,0.377621824393058,44,0.366295428579004,67,0.0243783500098677,44,0.024316573915846,67,0.0242896454848277,44,0.0242369124160527,67,0.0054860182735067,44,0.00534183554253915,67,0.005574819459783,44,0.00538556492953406,67,0.0067498865969993,44,0.00686578592011852,67,0.00682447997380782,44,0.00682276735270186,67,0.0245704641567319,44,0.0244204629560495,67,0.0245133451980751,44,0.0244022588513082
,66,0.504074694454438,45,0.423403909248009,66,0.509866542544074,45,0.428045763851619,66,0.369483966320824,45,0.344184068944259,66,0.380915592406326,45,0.355176043666698,66,0.355661311199254,45,0.346542263689844,66,0.369515165687748,45,0.360262015354236,66,0.365890285356986,45,0.357769608889086,66,0.37740401605958,45,0.36694721848494,66,0.0244024801595928,45,0.0243340154234028,66,0.024276264261066,45,0.0242868128837405,66,0.00548021543326338,45,0.00532334848046527,66,0.00554287395610676,45,0.00540513431614366,66,0.00677006144403611,45,0.00688557605682872,66,0.00680876652308741,45,0.00684763834019985,66,0.0245610036286413,45,0.0244841377428936,66,0.0244892658568599,45,0.0244105388893753
,65,0.500586176972852,46,0.426751105003154,65,0.506560539288241,46,0.431512016057409,65,0.368705734203983,46,0.345707848820958,65,0.38003671703712,46,0.356774485840899,65,0.355452256877887,46,0.347229777072043,65,0.369347653973677,46,0.361012583280405,65,0.365746737332937,46,0.358211159357852,65,0.377137994658797,46,0.367599436937294,65,0.0243847316891473,46,0.0243332662465167,65,0.0242695128089392,46,0.0242632518890402,65,0.0054738416064608,46,0.00532963667634815,65,0.00553979691042999,46,0.00540053419620616,65,0.00676317136431158,46,0.006870102463818,65,0.00681172593098403,46,0.00684019551737679,65,0.0245329324439049,46,0.0244887660458078,65,0.0244899607172554,46,0.0243884523067181
,64,0.497511228091552,47,0.430268845994577,64,0.503281512171739,47,0.43514304316615,64,0.367847890677633,47,0.347160830188839,64,0.379121224272836,47,0.358276316708845,64,0.355261683474847,47,0.347858574879117,64,0.369156426203931,47,0.361691002544829,64,0.365563062244652,47,0.358627524524859,64,0.376848692113413,47,0.368198027924593,64,0.0243835277493559,47,0.0243318549483418,64,0.0242980165291525,47,0.0242569964498327,64,0.00548917516127836,47,0.00534473983295976,64,0.00554064775583921,47,0.00540065765651479,64,0.00676345143475534,47,0.00684689200831244,64,0.00685197305254579,47,0.0068632597508031,64,0.0245260375784205,47,0.0244442068260498,64,0.0245089682612579,47,0.0243990597541659
