CSV Report,2023-08-23_RNA_melting_2_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,50 mM CaCl2_260.00nm_90.0-21.0C,,50 mM CaCl2_260.00nm_21.0-90.0C,,50 mM CaCl2_260.00nm_90.0-21.0C_R1,,50 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,50 mM CaCl2_400.00nm_90.0-21.0C,,50 mM CaCl2_400.00nm_21.0-90.0C,,50 mM CaCl2_400.00nm_90.0-21.0C_R1,,50 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,
,38,0.250021261049397,73,0.271759248733147,38,0.274173149809968,73,0.297848287672579,38,0.246941774612671,73,0.272787345503502,38,0.269296492301264,73,0.295137548843813,38,0.247088224346213,73,0.276302126241711,38,0.261351788916497,73,0.286138761669911,38,0.278122672349537,73,0.308769435025568,38,0.298283253713072,73,0.326721834999859,38,0.0276165888508884,73,0.0304155722983816,38,0.0231356357326791,73,0.0236762057434676,38,0.00712414804183348,73,0.00868393522612878,38,0.00554080477574878,73,0.00529115832999144,38,0.00408542625981226,73,0.00413064279406618,38,0.00401261310294629,73,0.00410594646613216,38,0.0237976778177558,73,0.0243076982875305,38,0.0238100267429728,73,0.0243215442506283
,37,0.249321290961731,74,0.273075491549868,37,0.273484281613274,74,0.298891111814537,37,0.24619707310762,74,0.273976439280792,37,0.2685442977925,74,0.296180435279861,37,0.24647113893537,74,0.277576169686709,37,0.260619076278925,74,0.287271167513782,37,0.277512652971214,74,0.310229640262156,37,0.297518010838905,74,0.327978124800685,37,0.0275632611053894,74,0.0301484441280649,37,0.0231354782233505,74,0.0236327707504903,37,0.00711571318657182,74,0.00861545791193448,37,0.00555757781267089,74,0.00528095356628587,37,0.00409541606845085,74,0.00412274597237747,37,0.00402002092724044,74,0.00407823239706275,37,0.0238048971857267,74,0.0243141938456936,37,0.0238034379910566,74,0.0243053693688923
,36,0.248600520911485,75,0.274048475426386,36,0.272751139158492,75,0.299816967741195,36,0.245521264612643,75,0.275323821668689,36,0.267777481943077,75,0.297196625935879,36,0.245814111706191,75,0.278941167102661,36,0.259865488019417,75,0.288218705537998,36,0.276898976741503,75,0.311770361113186,36,0.296760881041004,75,0.329313709049164,36,0.0275160496435918,75,0.029697451791744,36,0.023152510270884,75,0.0236195587249104,36,0.00708997053991706,75,0.00852051715895485,36,0.0055529542599017,75,0.00527013362982958,36,0.00409495134681785,75,0.00410456499916561,36,0.00403743625546377,75,0.00407143323476351,36,0.0237834460086533,75,0.0243318818755092,36,0.0238073526760035,75,0.0243050139526118
,35,0.24807190593086,76,0.275493729880353,35,0.272039931714763,76,0.300744441735983,35,0.244840430181225,76,0.276518858761379,35,0.267045037854991,76,0.298174473273589,35,0.245218154104781,76,0.28028951415817,35,0.25914338265552,76,0.289222493892872,35,0.276304702827691,76,0.313297399906262,35,0.296031493619313,76,0.330559534611657,35,0.0275046976202967,76,0.0293368995657119,35,0.023185168041223,76,0.0236319861528914,35,0.00705143551941129,76,0.00837064443847282,35,0.00556994838250001,76,0.00527725293775534,35,0.00407068964516558,76,0.00413468312880566,35,0.00404966033713845,76,0.00408731781056271,35,0.0237278445523937,76,0.0243343032226078,35,0.0238292259904385,76,0.0243010586411294
,34,0.247451111148535,77,0.276820152678645,34,0.271340162243652,77,0.301625463769311,34,0.244182999777115,77,0.277750831011261,34,0.266269107403317,77,0.299141623136129,34,0.244662168668081,77,0.281698444649529,34,0.258431459277242,77,0.290279959722472,34,0.275767835718369,77,0.314951356014791,34,0.295272819007129,77,0.331934460198148,34,0.0274828125691393,77,0.0288504306329719,34,0.0231463701599518,77,0.0236420181155279,34,0.00704848426827315,77,0.00810930224533422,34,0.00556333123363035,77,0.00527948986703076,34,0.00409504787968496,77,0.00414155496146138,34,0.00402681394821776,77,0.00409646867194552,34,0.0237708201268333,77,0.0243027156851731,34,0.0238013686543056,77,0.0243098641965803
,33,0.246722991593101,78,0.278472075622715,33,0.270599874425765,78,0.302415422842136,33,0.243562435835159,78,0.279015171223223,33,0.265494661877544,78,0.30001288814792,33,0.244048596762817,78,0.283113157493055,33,0.257702819510947,78,0.291320916082092,33,0.275173453319576,78,0.316586422115477,33,0.294546108139137,78,0.33322722782505,33,0.0274434614383596,78,0.0283349548703274,33,0.0231005997740281,78,0.0236538132711118,33,0.00705009239101701,78,0.00775811052745602,33,0.00556253338179522,78,0.00525992366364254,33,0.00406556419705446,78,0.00413276782005074,33,0.00396997717197119,78,0.00410235085450344,33,0.0237312883094305,78,0.024309598980056,33,0.023765870222794,78,0.0243260693914814
,32,0.246099187181137,79,0.280004174399586,32,0.269865113960894,79,0.303241478915058,32,0.242928516506125,79,0.280221726434709,32,0.264700333045619,79,0.300884182724227,32,0.243431350267233,79,0.284553975347747,32,0.25699765175723,79,0.292317416599479,32,0.274649305545116,79,0.317999346410342,32,0.293839410109295,79,0.33451778871825,32,0.0274152066933088,79,0.0278513183694138,32,0.0231375077692167,79,0.0236673817875889,32,0.00702152365568869,79,0.00739135330968133,32,0.00555487823555316,79,0.00526009088630091,32,0.00403451864946991,79,0.00415408317626582,32,0.00399062101501115,79,0.00412272884092276,32,0.0237300307441659,79,0.0243574943186783,32,0.0237747271191383,79,0.0243421357396517
,31,0.245484237846921,80,0.281480130983421,31,0.269089638576676,80,0.304168294807121,31,0.242302620474933,80,0.281384524207252,31,0.2639183229927,80,0.301774278064517,31,0.242892487321306,80,0.286009738666082,31,0.256295228373384,80,0.293362771777825,31,0.274142430955642,80,0.319499493458476,31,0.293103813746813,80,0.335787060825757,31,0.0273991038087785,80,0.0272630995572647,31,0.0231268352409852,80,0.0236682774011758,31,0.00703363268777949,80,0.00700650516080507,31,0.00555042675880594,80,0.00526370919885967,31,0.00404807726354505,80,0.00415867968326475,31,0.00397375819882017,80,0.00414563929003905,31,0.0237340012114479,80,0.0243393250861989,31,0.0237511732574406,80,0.0243483851713092
,30,0.244807455350032,81,0.283083280063806,30,0.268329361713067,81,0.305107375476719,30,0.241727256521345,81,0.282681424306107,30,0.263147424781806,81,0.302697127254939,30,0.242390178114242,81,0.287197940298956,30,0.255611378500864,81,0.294482518468413,30,0.273624452752633,81,0.320910975241359,30,0.292412757899277,81,0.337100391510657,30,0.0273362972396438,81,0.0267252019002377,30,0.0231288197504833,81,0.0236892568702383,30,0.00701594597094538,81,0.00665105112989906,30,0.00555884181147496,81,0.00525502652347945,30,0.00404036411741053,81,0.00417164794495169,30,0.00395734993093761,81,0.00416120119310309,30,0.0236928710466275,81,0.0243068287772218,30,0.0237312802737694,81,0.0243595403213535
,29,0.24430568477398,82,0.284682010556905,29,0.267609413058151,82,0.30601838320176,29,0.24105984915706,82,0.284021990417318,29,0.262388042832344,82,0.303681459065315,29,0.241831621030281,82,0.288503696153823,29,0.2549590035889,82,0.295669100672119,29,0.273093699525961,82,0.322309147642778,29,0.291731687065043,82,0.338440975489846,29,0.0273800532808536,82,0.0262021813510812,29,0.0231463393438323,82,0.0237316120655372,29,0.00698574099890906,82,0.00632894450414895,29,0.00556489396050769,82,0.00526757929774099,29,0.00405679098589747,82,0.004199483150377,29,0.00397352467862328,82,0.00420426031945651,29,0.023689240222292,82,0.024342282658324,29,0.0237433158962918,82,0.0243786905055789
,28,0.243626453376446,83,0.286087594452489,28,0.266827447420572,83,0.306855741672915,28,0.240505495648205,83,0.285284768749466,28,0.261616456818974,83,0.30468556812196,28,0.241360442548855,83,0.289800255341977,28,0.25430694191845,83,0.296705534769888,28,0.272714801324803,83,0.323596607161879,28,0.291121620527459,83,0.339533918745766,28,0.0273235178090288,83,0.025788310955308,28,0.0231380753940718,83,0.0237667072516196,28,0.00698968570560477,83,0.00604782242700358,28,0.00557782679935112,83,0.00528747743318903,28,0.00406961622859351,83,0.00423203463017483,28,0.0039619264024897,83,0.0042343934471662,28,0.0237128589807834,83,0.0243799633873606,28,0.0237545456898437,83,0.0244196192151394
,27,0.243151806399865,84,0.287509257123042,27,0.266154357712101,84,0.307663017329139,27,0.239986851346586,84,0.286679172407393,27,0.261000647299944,84,0.305715410283957,27,0.240946999463145,84,0.291101595352473,27,0.253759487765249,84,0.297838014279634,27,0.272263729279489,84,0.324930896398408,27,0.29053028396326,84,0.340648842367748,27,0.0273168431858083,84,0.0253275692693127,27,0.0230841657510811,84,0.0237678144072044,27,0.00698031468047873,84,0.00577321346698304,27,0.0056041554117213,84,0.00527172861426077,27,0.00407154990317071,84,0.00421423132669056,27,0.00394090545539998,84,0.00423187281545685,27,0.0237037539043746,84,0.0243460388415704,27,0.0237383319241706,84,0.0243990329846672
,26,0.242642548821748,85,0.288929571479693,26,0.265466346434751,85,0.308528308628026,26,0.239427930780972,85,0.287884739122402,26,0.260241442141511,85,0.30665179956956,26,0.240488836387984,85,0.292218289263486,26,0.253142253733795,85,0.298929391294419,26,0.271803891460157,85,0.326208495449746,26,0.289880588192956,85,0.34177419027617,26,0.0273076381917458,85,0.0249374923776228,26,0.0230890955815907,85,0.0237649303373293,26,0.00696139867736446,85,0.00556136315421652,26,0.00558854860607191,85,0.00525735203226051,26,0.00405784821130868,85,0.00424062065322203,26,0.00393266245290403,85,0.0042681989219788,26,0.0237091588503939,85,0.0243489949999053,26,0.0237051300000547,85,0.0244045317584677
,25,0.242113826697909,86,0.290356722494132,25,0.264748046289556,86,0.309512053801875,25,0.238796944602969,86,0.289030671778429,25,0.259414731017693,86,0.307591560420412,25,0.239947680968515,86,0.293193714468129,25,0.252505590666794,86,0.299774653330154,25,0.271320603165313,86,0.327489002181358,25,0.289230250058647,86,0.342894140255924,25,0.0272961841663173,86,0.024619545045478,25,0.0231015662429005,86,0.0238112099892083,25,0.00693657264987145,86,0.0054406656153026,25,0.00557007818800359,86,0.00527310480691069,25,0.00401373378269648,86,0.00426506739255518,25,0.00394030141118105,86,0.00429892299947298,25,0.0236917489550334,86,0.024352460863865,25,0.0237068723785341,86,0.0244243987237725
,24,0.241495451262913,87,0.291826771079841,24,0.263922888366317,87,0.310634663609146,24,0.23812651080787,87,0.290310783076411,24,0.258514456211448,87,0.308584720236134,24,0.239421102479521,87,0.29421866922101,24,0.251748129420824,87,0.300500508243188,24,0.270811289661884,87,0.328761591732651,24,0.288543289440303,87,0.344023249750267,24,0.0272912382267356,87,0.0243850228562501,24,0.0231028555323906,87,0.023790932711975,24,0.00692511847126551,87,0.00536291370431755,24,0.0055490420924582,87,0.0052824831687885,24,0.00401489919877886,87,0.00427840723754661,24,0.00393506733854269,87,0.00425346311697295,24,0.0236924716255764,87,0.0243664727314238,24,0.0237141560670409,87,0.0244019128498075
,23,0.240959469529595,88,0.292987965767881,23,0.26310153962015,88,0.311620766987513,23,0.237534633828308,88,0.29151916279524,23,0.257692830031222,88,0.309627837477458,23,0.239023859618324,88,0.295173344610827,23,0.251072843741161,88,0.30125572040546,23,0.270431613355534,88,0.32998348729474,23,0.287910339539651,88,0.345251798995333,23,0.0272634287082124,88,0.0241869488111785,23,0.0230696467161251,88,0.0237668424803376,23,0.0069109640921061,88,0.00532035175299677,23,0.00551605961606525,88,0.00526102615744909,23,0.00402222070817004,88,0.00429188184655127,23,0.00392311230143225,88,0.00426214333821583,23,0.023653485558672,88,0.0243779385347167,23,0.0236977157506462,88,0.0243877345343385
,22,0.240359555221295,89,0.294132061590686,22,0.262445838837694,89,0.312578752562658,22,0.236952097863396,89,0.292762765665367,22,0.256961855913304,89,0.310718888179985,22,0.238589865264509,89,0.296139869007818,22,0.250531574626311,89,0.302011597235884,22,0.27003388834474,89,0.331209279194241,22,0.287366608417892,89,0.346374770241736,22,0.0272403732815916,89,0.0240449750385713,22,0.0230958947222797,89,0.0238214905120335,22,0.00684155329575105,89,0.00529738411925855,22,0.00548824107545563,89,0.005269323353054,22,0.00403276794407649,89,0.00431170043104494,22,0.00394447092607349,89,0.00430487923675918,22,0.0236868728339914,89,0.0243888290751037,22,0.0237118592849048,89,0.0244132392191163
,21.2999992370605,0.240000217698302,89.6999969482422,0.294920073013419,21.2999992370605,0.261986551363954,89.6999969482422,0.313205231756532,21.2999992370605,0.236605314927941,89.6999969482422,0.293738537201131,21.2999992370605,0.256520005563879,89.6999969482422,0.311415480761598,21.2999992370605,0.238296045999388,89.6999969482422,0.296880586514199,21.2999992370605,0.250168374032514,89.6999969482422,0.302508447549146,21.2999992370605,0.26974170964942,89.6999969482422,0.332045778965645,21.2999992370605,0.286999758782434,89.6999969482422,0.347151566739751,21.2999992370605,0.0272221137075431,89.6999969482422,0.0239792729759172,21.2999992370605,0.0230826678744608,89.6999969482422,0.0238301598405978,21.2999992370605,0.00681442134378295,89.6999969482422,0.00528888953107281,21.2999992370605,0.00548505311742552,89.6999969482422,0.00530083015720768,21.2999992370605,0.00400126037387044,89.6999969482422,0.00433847097262648,21.2999992370605,0.00392201321045894,89.6999969482422,0.00431414500136132,21.2999992370605,0.0236546716215604,89.6999969482422,0.02440288084153,21.2999992370605,0.0237175709914638,89.6999969482422,0.0244115826977954
