CSV Report,2023-09-21_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM NaCl_260.00nm_90.0-21.0C,,516 mM NaCl_260.00nm_21.0-90.0C,,516 mM NaCl_260.00nm_90.0-21.0C_R1,,516 mM NaCl_260.00nm_21.0-90.0C_R1,,116 mM NaCl_260.00nm_90.0-21.0C,,116 mM NaCl_260.00nm_21.0-90.0C,,116 mM NaCl_260.00nm_90.0-21.0C_R1,,116 mM NaCl_260.00nm_21.0-90.0C_R1,,66 mM NaCl_260.00nm_90.0-21.0C,,66 mM NaCl_260.00nm_21.0-90.0C,,66 mM NaCl_260.00nm_90.0-21.0C_R1,,66 mM NaCl_260.00nm_21.0-90.0C_R1,,41 mM NaCl_260.00nm_90.0-21.0C,,41 mM NaCl_260.00nm_21.0-90.0C,,41 mM NaCl_260.00nm_90.0-21.0C_R1,,41 mM NaCl_260.00nm_21.0-90.0C_R1,,516 mM NaCl_400.00nm_90.0-21.0C,,516 mM NaCl_400.00nm_21.0-90.0C,,516 mM NaCl_400.00nm_90.0-21.0C_R1,,516 mM NaCl_400.00nm_21.0-90.0C_R1,,116 mM NaCl_400.00nm_90.0-21.0C,,116 mM NaCl_400.00nm_21.0-90.0C,,116 mM NaCl_400.00nm_90.0-21.0C_R1,,116 mM NaCl_400.00nm_21.0-90.0C_R1,,66 mM NaCl_400.00nm_90.0-21.0C,,66 mM NaCl_400.00nm_21.0-90.0C,,66 mM NaCl_400.00nm_90.0-21.0C_R1,,66 mM NaCl_400.00nm_21.0-90.0C_R1,,41 mM NaCl_400.00nm_90.0-21.0C,,41 mM NaCl_400.00nm_21.0-90.0C,,41 mM NaCl_400.00nm_90.0-21.0C_R1,,41 mM NaCl_400.00nm_21.0-90.0C_R1,
,76,0.289773625905686,35,0.192171806045763,76,0.293737163716819,35,0.194566804253901,76,0.738524083408189,35,0.458453800686167,76,0.763389032620763,35,0.473593171127172,76,0.760260984945045,35,0.472488326609706,76,0.785896154627827,35,0.487649985097107,76,0.674922667121057,35,0.435080841115225,76,0.703144652706172,35,0.452382186991087,76,0.0239980518764,35,0.0238370760830126,76,0.0239219215838913,35,0.0238648191294724,76,0.0107999621981327,35,0.0108293184256309,76,0.010708193817784,35,0.0108253524618344,76,0.00478330033769972,35,0.00440443240264861,76,0.00459564248301307,35,0.00440848233484711,76,0.0259295456504865,35,0.0257187196623356,76,0.0257267232909188,35,0.0257243432077695
,75,0.286996027270507,36,0.193665076958833,75,0.290812271758144,36,0.196038136075121,75,0.731127556983737,36,0.463083478086685,75,0.755959215482008,36,0.478327830830013,75,0.752900078079144,36,0.477331286449439,75,0.77838518455268,36,0.492600521133322,75,0.668480369221813,36,0.439284897359284,75,0.696734557173036,36,0.456874110593908,75,0.0240218091004847,36,0.0238512638698466,75,0.0239401375272286,36,0.0238599832543664,75,0.0108037725471076,36,0.0108436178710635,75,0.0107417081025147,36,0.0108187768361337,75,0.00479266061681707,36,0.00441534532650878,75,0.00463443558070982,36,0.00438487178307232,75,0.0259471319172022,36,0.0257373687946126,75,0.025789381469605,36,0.0257053945810431
,74,0.28419787400627,37,0.195289683038285,74,0.287965672593679,37,0.197711538791807,74,0.723784737972633,37,0.468050122011603,74,0.748481052566838,37,0.483448753665261,74,0.745621989520472,37,0.482655441556677,74,0.770828932398479,37,0.498026409900779,74,0.662132554043743,37,0.443900052615274,74,0.690558019145625,37,0.461620119241799,74,0.0240307755506239,37,0.0238477156782045,74,0.0239403390266888,37,0.0238181718824292,74,0.0108014457915161,37,0.0108433988034914,74,0.0107439211551204,37,0.0108330668559512,74,0.00476959287658356,37,0.00442234445954225,74,0.00460572742215426,37,0.00437211131565065,74,0.0259149448325433,37,0.0257429933496906,74,0.025807329082644,37,0.0257027542945043
,73,0.281375216167592,38,0.196942489501743,73,0.285168222038006,38,0.199365972374745,73,0.716500131439223,38,0.47298528362436,73,0.741116303868426,38,0.488610927660837,73,0.738392709752494,38,0.487912058420739,73,0.763418777018733,38,0.503490581037345,73,0.656111667747199,38,0.448399939686444,73,0.684295736633487,38,0.466212083594197,73,0.0240039863793836,38,0.0238573326954606,73,0.0239543576297469,38,0.023857737103293,73,0.0107856520768825,38,0.0108355555804698,73,0.0107509288894805,38,0.0108391802294734,73,0.00474250698135604,38,0.00445578471467604,73,0.00459417578832243,38,0.00441220307281931,73,0.0258603158807553,38,0.0257463023557275,73,0.0258084751318331,38,0.0257127153916818
,72,0.278490734496354,39,0.19856595568497,72,0.282134458339133,39,0.200998150888031,72,0.709000856679291,39,0.478009237755742,72,0.733448578551703,39,0.493834460704239,72,0.730992708795043,39,0.493235670126892,72,0.755653382358534,39,0.50904444843474,72,0.650220311290716,39,0.452930372127471,72,0.677835735760891,39,0.470915945767438,72,0.0240154368760227,39,0.0238632170357058,72,0.0239631206507146,39,0.0238327640881317,72,0.0107632263747071,39,0.0108150841753641,72,0.0107599387460906,39,0.0108287776416244,72,0.00476579019423575,39,0.00445162023094061,72,0.00460573910827406,39,0.00438603948140895,72,0.0258562048882813,39,0.0257496194453645,72,0.0257807624739714,39,0.0256775473422179
,71,0.275637927768656,40,0.20018566734378,71,0.279205001768003,40,0.202636131352643,71,0.701837696527405,40,0.483307620065339,71,0.725668452297571,40,0.499130985429214,71,0.72388500859847,40,0.498767665919387,71,0.747811173652824,40,0.514593228635485,71,0.644053279225452,40,0.457536988459836,71,0.67147622441806,40,0.475709498956605,71,0.0240342011372124,40,0.0238480988211779,71,0.0239554567655021,40,0.0238224569192999,71,0.0107752523102178,40,0.0108059212498522,71,0.0107492145110742,40,0.0108388564578292,71,0.00476016330464157,40,0.00444068902488529,71,0.00460996264238768,40,0.00437216985976369,71,0.0259014459098216,40,0.0257464590214682,71,0.0257814561145495,40,0.0256756531610718
,70,0.272864861001334,41,0.201958900097002,70,0.276434065317995,41,0.204421338278055,70,0.694357247131616,41,0.488558372304083,70,0.717898798498263,41,0.504570442774103,70,0.716525402039105,41,0.504246804793631,70,0.740085767502904,41,0.520301884046545,70,0.63817063359367,41,0.462222785805625,70,0.665214338042619,41,0.480660209892965,70,0.0240076038261709,41,0.0238379895731063,70,0.0239409383242091,41,0.0238430799088056,70,0.0107929233348683,41,0.0108117516115761,70,0.0107644793301983,41,0.0108263677399806,70,0.00471159198984963,41,0.00442381629213437,70,0.00460485663782124,41,0.00436944782872432,70,0.0259097421685027,41,0.0257072055096129,70,0.0257915302697505,41,0.0256930967728524
,69,0.27011486281113,42,0.203716191358446,69,0.273536415083781,42,0.206311143302402,69,0.686698305770823,42,0.494075946420131,69,0.710139505396757,42,0.510047210869,69,0.709029179630506,42,0.509984066846631,69,0.732434610610019,42,0.526076274756104,69,0.632056068722504,42,0.466757614454136,69,0.659054879982755,42,0.485515429640614,69,0.0239880865778345,42,0.0238435790072913,69,0.0239294799369598,42,0.023853502453598,69,0.0107768555671132,42,0.0108116500754851,69,0.0107774954049797,42,0.0108155496953145,69,0.00467020183772621,42,0.00441014973025172,69,0.00458371076089927,42,0.0043982135274266,69,0.0258668867615317,42,0.0257165302391558,69,0.025804058342386,42,0.0257035523953719
,68,0.267222302566831,43,0.205555102425589,68,0.270725309992794,43,0.208065913409637,68,0.678998239397487,43,0.499451266694788,68,0.702125651505496,43,0.515775734950353,68,0.701419709005055,43,0.515568190854742,68,0.724537847045494,43,0.532056552210738,68,0.625869947904801,43,0.471401668016264,68,0.652855098650457,43,0.490569994947032,68,0.0239804847916687,43,0.023873935878411,68,0.0239285741266434,43,0.0238304801674295,68,0.0107844819246103,43,0.0108230474279731,68,0.0107737354568571,43,0.0108306119325232,68,0.00468144908007433,43,0.00442526905351216,68,0.0045811851530811,43,0.00437965881178196,68,0.0258852403915612,43,0.0257364906437631,68,0.0257865914145106,43,0.0256806966179441
,67,0.264600351037467,44,0.20744751177576,67,0.267939847644611,44,0.210017026274206,67,0.671755696350524,44,0.504956488966657,67,0.694110402094702,44,0.521464596450098,67,0.694371272687636,44,0.521287672350495,67,0.716649492475807,44,0.537947094950982,67,0.620037355171664,44,0.476335320495102,67,0.646447786919848,44,0.495528982618198,67,0.0239809513460146,44,0.0238776125884531,67,0.0239271664055629,44,0.0238303735087931,67,0.010777048232376,44,0.0108027015560198,67,0.01078050735555,44,0.0108289038569045,67,0.00469393121120699,44,0.00442527572574425,67,0.00458389860339881,44,0.00437779711171101,67,0.0258963901002621,44,0.0257261565885143,67,0.0258046599689246,44,0.0256748098689783
