CSV Report,2024-01-22_RNA_melting_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM KCl_260.00nm_90.0-21.0C,,4.15 mM KCl_260.00nm_21.0-90.0C,,4.15 mM KCl_260.00nm_90.0-21.0C_R1,,4.15 mM KCl_260.00nm_21.0-90.0C_R1,,1.66 mM KCl_260.00nm_90.0-21.0C,,1.66 mM KCl_260.00nm_21.0-90.0C,,1.66 mM KCl_260.00nm_90.0-21.0C_R1,,1.66 mM KCl_260.00nm_21.0-90.0C_R1,,0.8 mM KCl_260.00nm_90.0-21.0C,,0.8 mM KCl_260.00nm_21.0-90.0C,,0.8 mM KCl_260.00nm_90.0-21.0C_R1,,0.8 mM KCl_260.00nm_21.0-90.0C_R1,,0.08 mM KCl_260.00nm_90.0-21.0C,,0.08 mM KCl_260.00nm_21.0-90.0C,,0.08 mM KCl_260.00nm_90.0-21.0C_R1,,0.08 mM KCl_260.00nm_21.0-90.0C_R1,,4.15 mM KCl_400.00nm_90.0-21.0C,,4.15 mM KCl_400.00nm_21.0-90.0C,,4.15 mM KCl_400.00nm_90.0-21.0C_R1,,4.15 mM KCl_400.00nm_21.0-90.0C_R1,,1.66 mM KCl_400.00nm_90.0-21.0C,,1.66 mM KCl_400.00nm_21.0-90.0C,,1.66 mM KCl_400.00nm_90.0-21.0C_R1,,1.66 mM KCl_400.00nm_21.0-90.0C_R1,,0.8 mM KCl_400.00nm_90.0-21.0C,,0.8 mM KCl_400.00nm_21.0-90.0C,,0.8 mM KCl_400.00nm_90.0-21.0C_R1,,0.8 mM KCl_400.00nm_21.0-90.0C_R1,,0.08 mM KCl_400.00nm_90.0-21.0C,,0.08 mM KCl_400.00nm_21.0-90.0C,,0.08 mM KCl_400.00nm_90.0-21.0C_R1,,0.08 mM KCl_400.00nm_21.0-90.0C_R1,
,38,0.426336207233358,73,0.546190357488746,38,0.4387224362917,73,0.544979586305334,38,0.352661033035838,73,0.396099105561497,38,0.365626881824447,73,0.411831786661023,38,0.371487877120374,73,0.39184480087019,38,0.384622928686866,73,0.405061471670528,38,0.329610391745029,73,0.360182065421773,38,0.337271470259654,73,0.371779775414729,38,0.0295235684776386,73,0.0293944589433481,38,0.0293581272303328,73,0.0292474859030637,38,0.0114405396145065,73,0.0121971236262244,38,0.0120869141744261,73,0.0122121483176154,38,0.0218382775534402,73,0.0218077793869237,38,0.0217841005253042,73,0.0216349358759011,38,0.0282906907197316,73,0.0282648257076674,38,0.0282179072584836,73,0.0281465098312492
,37,0.423246063727521,74,0.549890957594336,37,0.435459132489751,74,0.548691135113047,37,0.351232986785028,74,0.397116514238167,37,0.365252559930729,74,0.413007218599034,37,0.370455672137766,74,0.392332433221197,37,0.383470546564878,74,0.405422881750738,37,0.328305004223994,74,0.360652530999699,37,0.335940307704864,74,0.372314913213264,37,0.0295228823373854,74,0.0293970326397819,37,0.029319666417738,74,0.0292592227269318,37,0.01145501663554,74,0.0122048279467533,37,0.0120798020352596,74,0.0122281335906498,37,0.0218644897766005,74,0.0218178963770549,37,0.0217470812644222,74,0.0216558029378118,37,0.0283298634413425,74,0.0282988016975737,37,0.0281929420799834,74,0.0281738602157841
,36,0.420058936139206,75,0.553481876192849,36,0.432312636804397,75,0.551934919380878,36,0.349813547207305,75,0.39810203787334,36,0.36402532866744,75,0.414145186648514,36,0.369390479500875,75,0.392704002314922,36,0.382316373329531,75,0.405756197755623,36,0.326993815089779,75,0.361100524058381,36,0.334676417185691,75,0.372853097545792,36,0.0295355772215071,75,0.0293744407042781,36,0.0293201215826822,75,0.0292492032403982,36,0.0114831112545635,75,0.0121842570058051,36,0.0120859471522524,75,0.0122310334807558,36,0.0218748368920935,75,0.0217712030234225,36,0.0217372222188298,75,0.0216441609224253,36,0.0283174376300571,75,0.0282923206956203,36,0.0281892163371962,75,0.0281626636730609
,35,0.417034437915913,76,0.557194471898192,35,0.429212559820693,76,0.555416995314346,35,0.348372438455081,76,0.399031480608925,35,0.362259269287794,76,0.415224649531847,35,0.368169502489065,76,0.393066530127076,35,0.381105774067699,76,0.406288437056019,35,0.325659584306461,76,0.361524524038467,35,0.333392481998702,76,0.373408868607372,35,0.0295150981373858,76,0.0293971278634479,35,0.0293983063186513,76,0.0292414462235545,35,0.0115026686349945,76,0.0122079517967026,35,0.0120908277621952,76,0.012252420807648,35,0.0218836044095718,76,0.0217923291125327,35,0.0218224246844246,76,0.0216309165463934,35,0.0283072556106869,76,0.0282831593551909,35,0.0282275999646398,76,0.0281810025821354
,34,0.414022469060575,77,0.560994140795936,34,0.426118739316088,77,0.559224130101685,34,0.347047677882306,77,0.399859506055985,34,0.360700423475878,77,0.416254277853369,34,0.36695925521501,77,0.39352210802978,34,0.379822141535584,77,0.407134902126263,34,0.324341738084791,77,0.361925974475425,34,0.332115132075712,77,0.373978704404307,34,0.0295250617309188,77,0.0294314331282279,34,0.0293403223807714,77,0.0292830563295316,34,0.01149905057621,77,0.0122410126067606,34,0.0120667134668294,77,0.0122838117978898,34,0.0218734072969822,77,0.0218165512547443,34,0.0217805613264588,77,0.0216771752074183,34,0.0283026147514507,77,0.0282893992986823,34,0.0282345557798737,77,0.0281996901714987
,33,0.411129297997774,78,0.565226607534898,33,0.423080938683071,78,0.562822716983673,33,0.345743799322943,78,0.400650753774428,33,0.359234090061622,78,0.417285285412831,33,0.365754297246785,78,0.394117831854283,33,0.378531443842473,78,0.407907890190374,33,0.322971248191596,78,0.362317500500039,33,0.330886993837733,78,0.37456717361021,33,0.0294938903301701,78,0.0293948675904787,33,0.0293030769713652,78,0.0292400640180425,33,0.01149538442326,78,0.0122181209835011,33,0.0120547792176772,78,0.0122758363788268,33,0.0218419860513918,78,0.0217904387013795,33,0.0217456513923201,78,0.0216461050364883,33,0.0282743884299003,78,0.0282760528186186,33,0.0281971771420953,78,0.0281712741235784
,32,0.408176665496113,79,0.569607440754778,32,0.42015521808782,79,0.566385574583807,32,0.344392932436396,79,0.401511650751858,32,0.357863464744702,79,0.418271867382351,32,0.364501500386551,79,0.394670143104288,32,0.377325751117862,79,0.40836388325162,32,0.32159636569312,79,0.362730809346113,32,0.329696231877272,79,0.375099891022524,32,0.0294977173695994,79,0.0293875432944012,32,0.0293574271015727,79,0.0292586368207111,32,0.0114937308445453,79,0.0122059417351314,32,0.0120490157631936,79,0.0122676674188504,32,0.0218772763703258,79,0.0217791041029704,32,0.0217974911212248,79,0.0216617851224068,32,0.0282937695959389,79,0.0282732473413468,32,0.0281895553208595,79,0.0281813827295472
,31,0.4052063943148,80,0.573718617856525,31,0.417196111025508,80,0.570201216375504,31,0.34309383815468,80,0.402401447502665,31,0.356513605339093,80,0.419342758098686,31,0.363347967395901,80,0.395069630285167,31,0.376182126359496,80,0.408621788143086,31,0.320232160236859,80,0.363132527324459,31,0.328527612715873,80,0.375566899588883,31,0.0295152526013379,80,0.0294127672636225,31,0.0293834240376587,80,0.0292981820130036,31,0.011490533639241,80,0.0122123509135494,31,0.0120704929487155,80,0.012258145048546,31,0.0218938759091122,80,0.0218028651633044,31,0.0218337689080119,80,0.0216697058840935,31,0.0282773474252773,80,0.028283224294433,31,0.0282248479734969,80,0.0281815871970871
,30,0.402372857259674,81,0.57794502595343,30,0.414173358201282,81,0.573603745322699,30,0.341759854984344,81,0.403340138975604,30,0.355166544266855,81,0.420381468071667,30,0.362237027459321,81,0.395390559623789,30,0.375008393062145,81,0.408833376457719,30,0.318929940029709,81,0.363488813648367,30,0.327411450687884,81,0.375970943577129,30,0.0295071698198809,81,0.0294227372513833,30,0.0293536564771778,81,0.029307161643592,30,0.0114976005518968,81,0.0122090680702882,30,0.0120549166584531,81,0.0122698703371078,30,0.0218842980272825,81,0.0218076728887309,30,0.021822139849291,81,0.0216532711946282,30,0.0282802535143372,81,0.0282933198106917,30,0.0282156587325439,81,0.0281851159923429
,29,0.39949299559187,82,0.581982541798555,29,0.411164757663036,82,0.577383238383343,29,0.340365296373781,82,0.404561304361209,29,0.353801804249734,82,0.421379630675357,29,0.361143193211872,82,0.395655037641789,29,0.373879444729923,82,0.409121476594648,29,0.317610278491377,82,0.363771047330292,29,0.326315393229798,82,0.376478892991791,29,0.0294936250915464,82,0.0294131438386997,29,0.0293607879187283,82,0.0292770420246189,29,0.0115037099742849,82,0.0122157242318219,29,0.012061215242552,82,0.0122771209684909,29,0.0218791119136416,82,0.0217956219181913,29,0.0218371496751091,82,0.0216402718139427,29,0.0282827418603061,82,0.0282936316028224,29,0.0282149642292686,82,0.028195079786649
,28,0.396608050449387,83,0.585835273084742,28,0.40822907338882,83,0.581133537003684,28,0.338963433897918,83,0.405849427911317,28,0.352397778253971,83,0.422270290142694,28,0.360109744373575,83,0.39593467474664,28,0.372780288573426,83,0.409446824195794,28,0.316275488877075,83,0.364052264948051,28,0.325271693763049,83,0.377075430378364,28,0.0294763888190088,83,0.0294082772140308,28,0.0293287372466124,83,0.0292659397886057,28,0.0114978902078756,83,0.012228902116215,28,0.0120383942479573,83,0.0122773031998551,28,0.0218616859409711,83,0.0218019298413395,28,0.0217675585307759,83,0.0216481744670661,28,0.0282724514316425,83,0.028285456689589,28,0.0282175631618432,83,0.0281923118354695
,27,0.393688290917261,84,0.589575154658241,27,0.405597256252379,84,0.58483369521856,27,0.337609605844001,84,0.406779708770094,27,0.351225376641418,84,0.423266982549326,27,0.359191182847201,84,0.396195563888113,27,0.371949945684265,84,0.40983677829434,27,0.315048398465887,84,0.364378037447653,27,0.324323752526637,84,0.377655666338918,27,0.0295063868911386,84,0.0294034022910593,27,0.0293452771742178,84,0.0292739314979603,27,0.0114932553841862,84,0.0122215548412357,27,0.0120414289161519,84,0.0122665607572668,27,0.0219009871921954,84,0.0217894691722538,27,0.0218024771133349,84,0.0216643360969836,27,0.0282861732407877,84,0.0282750679384841,27,0.0282119972199962,84,0.0281887175823529
,26,0.391250909215622,85,0.593102992337388,26,0.402840602172421,85,0.589008922084681,26,0.336304484809548,85,0.407640666304748,26,0.349884159581636,85,0.424391951089205,26,0.358359229409627,85,0.396425754743237,26,0.37101138395929,85,0.410259149840878,26,0.313896724663787,85,0.364783839750208,26,0.32336423854988,85,0.378171551245425,26,0.0295266755574704,85,0.0294268997006788,26,0.0293570258210209,85,0.0293026286975921,26,0.0115043451359201,85,0.0122206770973668,26,0.0120334714170396,85,0.0122639160326505,26,0.0219316018354467,85,0.0217808799400657,26,0.02183395898522,85,0.0216745233674019,26,0.0282930182475733,85,0.0282745012095455,26,0.0282128283266135,85,0.0281947136153788
,25,0.388468107865202,86,0.596759398110404,25,0.400090437186331,86,0.593661274942864,25,0.334887376093121,86,0.408655131451714,25,0.348473089473603,86,0.425598032844209,25,0.357492831552215,86,0.396607359737585,25,0.370092488897309,86,0.410778108533397,25,0.31270405534217,86,0.365195558737101,25,0.322430696852336,86,0.37862065095386,25,0.0294957672738891,86,0.0294102648999917,25,0.0293376687333241,86,0.0292601604916129,25,0.0115382414444902,86,0.0122304987476717,25,0.0120476276452124,86,0.0122981694560465,25,0.0219211174678716,86,0.0217749172860685,25,0.0218409257823958,86,0.0216608337936287,25,0.0282795333545187,86,0.0282715014522475,25,0.0281927897974765,86,0.0281676889087986
,24,0.385704253278886,87,0.60070621800944,24,0.396993274588308,87,0.598154698757046,24,0.333410677418707,87,0.409901611155014,24,0.346841996158887,87,0.426648394934022,24,0.356616655779127,87,0.396829310484898,24,0.369119086373879,87,0.411557281728007,24,0.311460228956986,87,0.365549246815851,24,0.32142305043159,87,0.379085928292664,24,0.0294647147920241,87,0.0293787628841044,24,0.0293408952691796,87,0.0292363909767497,24,0.0115770449959928,87,0.0122382022082895,24,0.0120686965468719,87,0.0122846835784286,24,0.0219056243665727,87,0.0217684553157478,24,0.0218505000170616,87,0.0216149978717595,24,0.0282814491587651,87,0.028289290015084,24,0.0282037425634892,87,0.0281475794515298
,23,0.38260266358316,88,0.604781009573665,23,0.393968082539486,88,0.602858210675,23,0.331793166188844,88,0.410948699348294,23,0.345304382429668,88,0.427647152638165,23,0.355707342434239,88,0.397358144832741,23,0.368193161519889,88,0.41229215093621,23,0.31029461885436,88,0.365923507055627,23,0.320560813920025,88,0.379673060149305,23,0.0294604728141978,88,0.0293953898352439,23,0.0293632123400216,88,0.0292597066736399,23,0.0115960520444871,88,0.0122384027814996,23,0.0120588043210366,88,0.0122710070160345,23,0.0219082101324497,88,0.0217964460513989,23,0.0218681500473154,88,0.021617544266467,23,0.0282915051504765,88,0.0282927394653402,23,0.0282185564664317,88,0.0281551535997609
,22,0.380005383044108,89,0.609252953543004,22,0.391215959951947,89,0.606970112963263,22,0.330400892318109,89,0.411817822783518,22,0.34386789627442,89,0.428541639264186,22,0.354944444709712,89,0.397933570504584,22,0.367362528621337,89,0.412612076754175,22,0.30925610190422,89,0.366309364457139,22,0.319761410423637,89,0.380317779009391,22,0.0294757721279927,89,0.029405887608667,22,0.0293828234229656,89,0.0292838591117345,22,0.0116237504531986,89,0.0122270575903293,22,0.0120665498352162,89,0.0122788832869755,22,0.0219315935575388,89,0.0217817747426758,22,0.0218753331321094,89,0.0216400138926042,22,0.028283162648237,89,0.0282706254336092,22,0.0282205861767472,89,0.0281682768830453
,21.2999992370605,0.378201736534885,89.6999969482422,0.612584631121421,21.2999992370605,0.389504415694022,89.6999969482422,0.60949387123921,21.2999992370605,0.329457601425781,89.6999969482422,0.412397063115647,21.2999992370605,0.34293829343126,89.6999969482422,0.42902590204052,21.2999992370605,0.354412594105598,89.6999969482422,0.398196363283228,21.2999992370605,0.366808537479381,89.6999969482422,0.412729412096456,21.2999992370605,0.3085599014805,89.6999969482422,0.366578121101282,21.2999992370605,0.31924652181011,89.6999969482422,0.38071858081887,21.2999992370605,0.0294801173245548,89.6999969482422,0.0293981685080799,21.2999992370605,0.0293957814430419,89.6999969482422,0.0292907459331638,21.2999992370605,0.0116622004805487,89.6999969482422,0.0122264474550525,21.2999992370605,0.0120711722266014,89.6999969482422,0.0122791460451584,21.2999992370605,0.0219439367183449,89.6999969482422,0.0217525211984817,21.2999992370605,0.0219060997261085,89.6999969482422,0.0216494963463855,21.2999992370605,0.0282903664444497,89.6999969482422,0.0282661623806601,21.2999992370605,0.0282349099367781,89.6999969482422,0.0281794494262535
