CSV Report,2024-01-29_RNA_melting_NaCl_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,4.15 mM NaCl_260.00nm_90.0-21.0C,,4.15 mM NaCl_260.00nm_21.0-90.0C,,4.15 mM NaCl_260.00nm_90.0-21.0C_R1,,4.15 mM NaCl_260.00nm_21.0-90.0C_R1,,1.66 mM NaCl_260.00nm_90.0-21.0C,,1.66 mM NaCl_260.00nm_21.0-90.0C,,1.66 mM NaCl_260.00nm_90.0-21.0C_R1,,1.66 mM NaCl_260.00nm_21.0-90.0C_R1,,0.8 mM NaCl_260.00nm_90.0-21.0C,,0.8 mM NaCl_260.00nm_21.0-90.0C,,0.8 mM NaCl_260.00nm_90.0-21.0C_R1,,0.8 mM NaCl_260.00nm_21.0-90.0C_R1,,0.08 mM NaCl_260.00nm_90.0-21.0C,,0.08 mM NaCl_260.00nm_21.0-90.0C,,0.08 mM NaCl_260.00nm_90.0-21.0C_R1,,0.08 mM NaCl_260.00nm_21.0-90.0C_R1,,4.15 mM NaCl_400.00nm_90.0-21.0C,,4.15 mM NaCl_400.00nm_21.0-90.0C,,4.15 mM NaCl_400.00nm_90.0-21.0C_R1,,4.15 mM NaCl_400.00nm_21.0-90.0C_R1,,1.66 mM NaCl_400.00nm_90.0-21.0C,,1.66 mM NaCl_400.00nm_21.0-90.0C,,1.66 mM NaCl_400.00nm_90.0-21.0C_R1,,1.66 mM NaCl_400.00nm_21.0-90.0C_R1,,0.8 mM NaCl_400.00nm_90.0-21.0C,,0.8 mM NaCl_400.00nm_21.0-90.0C,,0.8 mM NaCl_400.00nm_90.0-21.0C_R1,,0.8 mM NaCl_400.00nm_21.0-90.0C_R1,,0.08 mM NaCl_400.00nm_90.0-21.0C,,0.08 mM NaCl_400.00nm_21.0-90.0C,,0.08 mM NaCl_400.00nm_90.0-21.0C_R1,,0.08 mM NaCl_400.00nm_21.0-90.0C_R1,
,39,0.435903607874843,72,0.549693367557673,39,0.4499561729773,72,0.567170060089209,39,0.387698019715391,72,0.428457278899928,39,0.384748259934723,72,0.427937690648006,39,0.379318267914669,72,0.398266117030914,39,0.389747280072736,72,0.410420903545428,39,0.410659095435564,72,0.426311767516104,39,0.415224776559839,72,0.434257825034781,39,0.0279951129694395,72,0.0277399222292973,39,0.0278942492285555,72,0.0276085015242342,39,0.00996878761589455,72,0.00997971307761311,39,0.00995315230446269,72,0.00994287732252493,39,0.00987323708455399,72,0.0100897825574162,39,0.00993233900396531,72,0.0100129886822421,39,0.027484467743605,72,0.0274570303294858,39,0.027428297941178,72,0.0273288922941053
,38,0.432578169256061,73,0.553501239857341,38,0.446636875547339,73,0.571025564628931,38,0.385921752406824,73,0.429758707820668,38,0.383041912991096,73,0.429290659610862,38,0.378210550253039,73,0.398614264800502,38,0.388638000098408,73,0.410739266615788,38,0.409781707077578,73,0.426540191772972,38,0.414238754184686,73,0.434488202981389,38,0.0280067021719186,73,0.0277461792129636,38,0.0278988563063149,73,0.0276128484626063,38,0.00996078175332327,73,0.00998674115883786,38,0.00994150560062907,73,0.00994379081254646,38,0.00986661725292479,73,0.0101238967934803,38,0.009983294532167,73,0.0100185274128793,38,0.0275039700699484,73,0.0274688260329062,38,0.027408044871845,73,0.0273257565216498
,37,0.429561821348836,74,0.557215765116296,37,0.443277969877195,74,0.574983312666558,37,0.384234892447726,74,0.431017112332592,37,0.381330030242019,74,0.43045661776276,37,0.377114368951331,74,0.398926509633548,37,0.387447885226017,74,0.411068937347932,37,0.408887693295071,74,0.426746192005644,37,0.413168318239291,74,0.434690888051567,37,0.0280135422624732,74,0.0277606954423503,37,0.0278737340714985,74,0.0276325782850354,37,0.0099579578772704,74,0.00999338740535184,37,0.00993745497019097,74,0.0099617137567284,37,0.0098429877202676,74,0.0101394399514634,37,0.00994843593892255,74,0.0100472699359618,37,0.0275186392078218,74,0.0274862724645108,37,0.027414643639797,74,0.0273276381039783
,36,0.426377230652669,75,0.561082180843759,36,0.439942334453869,75,0.57874529147767,36,0.382549551074246,75,0.432254404648605,36,0.379613937239721,75,0.431611369162571,36,0.375893743736318,75,0.399206253972999,36,0.386132057607866,75,0.411376159100033,36,0.407936329655503,75,0.426925707239385,36,0.412005351271332,75,0.434840105110795,36,0.0280320529760231,75,0.0277679631114498,36,0.027892330134955,75,0.0276454476088723,36,0.00995095397266028,75,0.00999104996887116,36,0.00991737804030279,75,0.00994702675814377,36,0.00984500385886343,75,0.0101343474503345,36,0.0099372820111275,75,0.0100465134192661,36,0.0275253310896377,75,0.0274674209313939,36,0.0274029503920331,75,0.0273461446397037
,35,0.423183639510058,76,0.564867819882958,35,0.43687179410263,76,0.582717946824787,35,0.380909188172995,76,0.433484224248869,35,0.378106074113876,76,0.432835343266008,35,0.374598920175996,76,0.39948115319591,35,0.384858256787142,76,0.411712768942307,35,0.406879941355267,76,0.427120668963195,35,0.410877799752126,76,0.435043829632733,35,0.028029156927279,76,0.0277722936717611,35,0.0278509150388938,76,0.0276288174853015,35,0.00993481437505568,76,0.0100018160601999,35,0.00990864374260311,76,0.00994974301518958,35,0.00985293458705605,76,0.0101323259632316,35,0.0098886107705159,76,0.0100274988235164,35,0.0274961782325081,76,0.0274424910068162,35,0.0274005674308386,76,0.0273339502532795
,34,0.420217335415246,77,0.568723847792388,34,0.433654437916442,77,0.586594545338062,34,0.37927346903941,77,0.43466399477917,34,0.376491220604012,77,0.434069530431304,34,0.373241296158007,77,0.399762991812211,34,0.383443498946813,77,0.412025508305146,34,0.405809734741373,77,0.427330255183754,34,0.409725902097271,77,0.435248611411305,34,0.0280165310595727,77,0.0277751276837415,34,0.027843857701753,77,0.0276399981373196,34,0.00994302126328062,77,0.0100190270080944,34,0.00991415023050058,77,0.00997723659929923,34,0.00985205989993439,77,0.0101492260924587,34,0.00988010846143776,77,0.0100661789174512,34,0.0274966552570107,77,0.0274475895294101,34,0.0273795822122134,77,0.0273477482683824
,33,0.417220759814596,78,0.572611807605049,33,0.430565397164566,78,0.590631428203269,33,0.377703098572252,78,0.435786581719212,33,0.374964000123955,78,0.435228963711737,33,0.371896681429895,78,0.400039590801815,33,0.382092841596097,78,0.412331721383149,33,0.404733679187942,78,0.427538946266018,33,0.408483489959429,78,0.43545015820808,33,0.0280207065941212,78,0.0277857815184623,33,0.0278882034911537,78,0.0276361395585358,33,0.00992585850483102,78,0.00999999525431145,33,0.00991223532317099,78,0.00995475622851725,33,0.00984369234792802,78,0.0101683619429687,33,0.00991423785964662,78,0.0100667651323717,33,0.0275091370845872,78,0.0274600674859691,33,0.0273968307634527,78,0.0273464118080275
,32,0.41433267709674,79,0.576726998908205,32,0.427457505639055,79,0.594536470746734,32,0.376166945663082,79,0.43707979095977,32,0.373383960476717,79,0.436294307929552,32,0.370554072958683,79,0.40035668829681,32,0.380634811401506,79,0.412598377087774,32,0.403511271770335,79,0.427755008220887,32,0.407252615802921,79,0.435644293349617,32,0.0280078432431789,79,0.0277529752128828,32,0.0278545352908872,79,0.0276266149638986,32,0.00992028299484024,79,0.009979242768496,32,0.00992000818210652,79,0.00994508045545592,32,0.00984493715025922,79,0.0101444632160524,32,0.00990418024768174,79,0.0100440373400078,32,0.0275246947093196,79,0.0274432277074113,32,0.0273633394342116,79,0.0273264488170085
,31,0.411338638903567,80,0.580961826469168,31,0.424438494743381,80,0.5988123443699,31,0.374577838690727,80,0.438758937998334,31,0.371873838674614,80,0.437360730964792,31,0.36922072454295,80,0.400685252136463,31,0.379330761698752,80,0.412863372416821,31,0.402341474798911,80,0.427923860718861,31,0.406075905563537,80,0.435806452875095,31,0.0279929299070373,80,0.0277645346742006,31,0.0278952997496634,80,0.0276420470213062,31,0.00991331913134992,80,0.00998582274057277,31,0.00989767818217305,80,0.0099362838988681,31,0.00982583046888764,80,0.0101623724282131,31,0.00989123195077112,80,0.0100729925553246,31,0.0274916471996632,80,0.0274526171352229,31,0.0273955924355968,80,0.0273405640049747
,30,0.408439828886586,81,0.585177865866853,30,0.42141295259123,81,0.602921541250522,30,0.372981297891177,81,0.440517455986443,30,0.370288060883086,81,0.438423450163565,30,0.367926412755886,81,0.400967623195002,30,0.378005162309914,81,0.413193915842286,30,0.401117289559537,81,0.428045956956583,30,0.404880188856844,81,0.435971923389594,30,0.0279593459126762,81,0.0277809341748472,30,0.0278382823951929,81,0.0276398524852873,30,0.00990212132864806,81,0.00998875278584025,30,0.00991698820853644,81,0.00995976869521932,30,0.00981513939607105,81,0.0101840865664729,30,0.00984931237993844,81,0.0100865873918817,30,0.0274776937544435,81,0.0274799284440369,30,0.0273548139531055,81,0.0273410170958406
,29,0.405435350053273,82,0.589230628351887,29,0.418285639532739,82,0.607119686611462,29,0.371315062091638,82,0.441595765502831,29,0.368628759585143,82,0.439397508932788,29,0.36669124669442,82,0.401263325773951,29,0.376719376360297,82,0.41347223593119,29,0.399849615753452,82,0.428284152178215,29,0.403661064033535,82,0.436158121434754,29,0.0279682139252688,82,0.027780310217412,29,0.0278627983576885,82,0.0276314631717611,29,0.0098963433019899,82,0.0099765641648861,29,0.00988374116331634,82,0.00995345879286053,29,0.00982207941492254,82,0.0101581490815556,29,0.00987713583645681,82,0.0101090553686728,29,0.0274755621031006,82,0.0274749119532882,29,0.0273779407317559,82,0.0273542212152759
,28,0.402404351844597,83,0.593472053785866,28,0.415348837592521,83,0.611336638759704,28,0.36971911077659,83,0.442281124312279,28,0.367212288145154,83,0.440397009454083,28,0.365536604507321,83,0.401562807584116,28,0.375650010831615,83,0.413756669876261,28,0.398712301908563,83,0.428519856683496,28,0.40268732905647,83,0.436330343774276,28,0.0279959801574506,83,0.0277711699433435,28,0.0279111985751623,83,0.0276710230847373,28,0.00990855668101778,83,0.00997677459733583,28,0.00991631906635024,83,0.00996580378444676,28,0.00983591304293164,83,0.0101545138181727,28,0.00986697531651956,83,0.01013462776012,28,0.0274917742902282,83,0.027461046703419,28,0.0274101146891456,83,0.0273749847754359
,27,0.399830740875496,84,0.597621855492867,27,0.412723931086907,84,0.615853855341951,27,0.36824863453203,84,0.443181373983364,27,0.365675113945029,84,0.441446839977224,27,0.364544216763455,84,0.401875569913481,27,0.37460828645975,84,0.414057234061969,27,0.397613067991133,84,0.428668185078772,27,0.401609862799582,84,0.43650641285112,27,0.0280115864418253,84,0.0277866142077355,27,0.0278941114285845,84,0.0276472763826124,27,0.00991406404921188,84,0.00997970424461817,27,0.00990715368975583,84,0.00996550120173493,27,0.00983858493003715,84,0.0101956487549204,27,0.00985822444938199,84,0.0100983715445948,27,0.0275099127121177,84,0.0274795060986516,27,0.0274056830338383,84,0.0273649267418165
,26,0.397111179103176,85,0.601876735484928,26,0.409836490276822,85,0.620553700151619,26,0.36656004136599,85,0.444280619716708,26,0.364053274673233,85,0.442570213240731,26,0.363505304278156,85,0.402240437891517,26,0.373526221708084,85,0.414371126075126,26,0.396498749169987,85,0.428786901878287,26,0.40054563904717,85,0.436676063403178,26,0.028002100684218,85,0.0278082764757109,26,0.0278958220760651,85,0.0276411948818363,26,0.00991500145870856,85,0.00997518394712442,26,0.00990755778802755,85,0.00995564728413715,26,0.00983965533740566,85,0.0102186429135592,26,0.00987067516985812,85,0.0101109429622478,26,0.0275181997703152,85,0.0274885192864454,26,0.0273979516233271,85,0.0273816642796667
,25,0.394183729431078,86,0.606210767149067,25,0.406864756076132,86,0.625213832196769,25,0.364808626973076,86,0.445619311040208,25,0.362281934032345,86,0.443697921849842,25,0.362464682121009,86,0.402717659356306,25,0.372475557203523,86,0.414685340577199,25,0.395320224968856,86,0.428853451564007,25,0.399431294402306,86,0.436777535978755,25,0.0280057091824657,86,0.0278033672511414,25,0.0278783537281345,86,0.0276597020082931,25,0.00991723369866792,86,0.00996901480892478,25,0.00990048530229311,86,0.00993788290371217,25,0.00983608391281334,86,0.0101820937448258,25,0.00985932475220406,86,0.0101348118155134,25,0.0275117081836009,86,0.0274770677052541,25,0.0273876535577485,86,0.0273670591444044
,24,0.391070100553298,87,0.610611315899996,24,0.403546655476334,87,0.629661330344832,24,0.362950455743823,87,0.446905911922439,24,0.360402430468803,87,0.44499860965071,24,0.36138068697782,87,0.403193830387186,24,0.371322613597714,87,0.414961290643853,24,0.394158718653727,87,0.429014678017499,24,0.398323500342134,87,0.43688275964452,24,0.0279929248392362,87,0.0278035580581926,24,0.0278583686144551,87,0.0276260952814684,24,0.00990838330926764,87,0.0099804531606167,24,0.00989608058938274,87,0.00992822043261046,24,0.00978265249364225,87,0.0101681860662704,24,0.00984554858117741,87,0.0100918165116007,24,0.0274792797341592,87,0.027480316300334,24,0.0274051538651276,87,0.0273396567739176
,23,0.38825387529271,88,0.615193481359872,23,0.400634844643336,88,0.634090161072001,23,0.361237101335002,88,0.44815659218515,23,0.358793693045512,88,0.446592119183946,23,0.360404282640031,88,0.403578682561605,23,0.370342346518537,88,0.415239089081888,23,0.393141634947857,88,0.429280409307731,23,0.397384153868501,88,0.43031144374901,23,0.0279703798267276,88,0.0278200314415589,23,0.0278698824261637,88,0.0276534326141564,23,0.00990638061965831,88,0.00997990736497301,23,0.00990547694557446,88,0.00993958777392366,23,0.00980195267766665,88,0.0102050062869996,23,0.00984595949502003,88,0.0101229136667672,23,0.0274961456780426,88,0.0274864268378866,23,0.0273743037664076,88,0.0273665629680064
,22,0.385656906379213,89,0.619512178235117,22,0.398069091638969,89,0.638944442475545,22,0.359613616894339,89,0.449302702263258,22,0.357146217453759,89,0.447693228220118,22,0.359507160845327,89,0.403981692906575,22,0.36944735089747,89,0.415521543243456,22,0.392182815065772,89,0.429480874111468,22,0.396475585521397,89,0.419813828792796,22,0.027984420072914,89,0.027829081616848,22,0.0278469806022836,89,0.0276707533664624,22,0.00989521282110361,89,0.00997858533117855,22,0.00987306798805036,89,0.0099597502261266,22,0.00980806456252587,89,0.0102344500494525,22,0.0097992444496909,89,0.0101510423734869,22,0.0275130187270065,89,0.0274959891568517,22,0.0273325170981424,89,0.027378033124944
,21.2999992370605,0.383933783583163,89.6999969482422,0.622700957320869,21.2999992370605,0.396251322686076,89.6999969482422,0.642257987631029,21.2999992370605,0.358476925427328,89.6999969482422,0.449257669204726,21.2999992370605,0.356051427287222,89.6999969482422,0.448293252354275,21.2999992370605,0.358872229485068,89.6999969482422,0.404379635464697,21.2999992370605,0.368764145317449,89.6999969482422,0.415726269692438,21.2999992370605,0.391569751877148,89.6999969482422,0.429593377287626,21.2999992370605,0.395825683319742,89.6999969482422,0.418438563215487,21.2999992370605,0.02797040903029,89.6999969482422,0.0278292059126729,21.2999992370605,0.0278286089340765,89.6999969482422,0.0276543068709816,21.2999992370605,0.00989562581924802,89.6999969482422,0.00998985707962943,21.2999992370605,0.00988576907083511,89.6999969482422,0.00995859208153962,21.2999992370605,0.00980585694658861,89.6999969482422,0.0102405383728387,21.2999992370605,0.00981010959751789,89.6999969482422,0.0101274584537802,21.2999992370605,0.0275152466037467,89.6999969482422,0.027508453529379,21.2999992370605,0.027358585121235,89.6999969482422,0.0273638409519908
