CSV Report,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,10 mM EDTA_260.00nm_90.0-21.0C,,10 mM EDTA_260.00nm_21.0-90.0C,,10 mM EDTA_260.00nm_90.0-21.0C_R1,,10 mM EDTA_260.00nm_21.0-90.0C_R1,,5 mM EDTA_260.00nm_90.0-21.0C,,5 mM EDTA_260.00nm_21.0-90.0C,,5 mM EDTA_260.00nm_90.0-21.0C_R1,,5 mM EDTA_260.00nm_21.0-90.0C_R1,,1 mM EDTA_260.00nm_90.0-21.0C,,1 mM EDTA_260.00nm_21.0-90.0C,,1 mM EDTA_260.00nm_90.0-21.0C_R1,,1 mM EDTA_260.00nm_21.0-90.0C_R1,,0 mM EDTA_260.00nm_90.0-21.0C,,0 mM EDTA_260.00nm_21.0-90.0C,,0 mM EDTA_260.00nm_90.0-21.0C_R1,,0 mM EDTA_260.00nm_21.0-90.0C_R1,,10 mM EDTA_400.00nm_90.0-21.0C,,10 mM EDTA_400.00nm_21.0-90.0C,,10 mM EDTA_400.00nm_90.0-21.0C_R1,,10 mM EDTA_400.00nm_21.0-90.0C_R1,,5 mM EDTA_400.00nm_90.0-21.0C,,5 mM EDTA_400.00nm_21.0-90.0C,,5 mM EDTA_400.00nm_90.0-21.0C_R1,,5 mM EDTA_400.00nm_21.0-90.0C_R1,,1 mM EDTA_400.00nm_90.0-21.0C,,1 mM EDTA_400.00nm_21.0-90.0C,,1 mM EDTA_400.00nm_90.0-21.0C_R1,,1 mM EDTA_400.00nm_21.0-90.0C_R1,,0 mM EDTA_400.00nm_90.0-21.0C,,0 mM EDTA_400.00nm_21.0-90.0C,,0 mM EDTA_400.00nm_90.0-21.0C_R1,,0 mM EDTA_400.00nm_21.0-90.0C_R1,
,76,0.363314659451005,35,0.310247308972153,76,0.375017624236297,35,0.321160143623004,76,0.333544878681939,35,0.293431875417154,76,0.333366531286463,35,0.29249378249179,76,0.386998643219845,35,0.348874528766469,76,0.401911011457381,35,0.36180169531589,76,0.421080330225095,35,0.383527075240781,76,0.435684915772024,35,0.394068115319974,76,0.0258302235278688,35,0.025491913728614,76,0.0255116238149936,35,0.0251783108346876,76,0.00622872530893542,35,0.00656861915756757,76,0.00623878736096859,35,0.00639932791703904,76,0.0106499206065756,35,0.0106622643608661,76,0.010423533657827,35,0.0103726614351629,76,0.027866703130151,35,0.02784702560497,76,0.0276961017270536,35,0.0276119525668241
,75,0.361650253705365,36,0.311640307094865,75,0.374052734605359,36,0.322442987527259,75,0.33303923054559,36,0.294639040989912,75,0.33276530432586,36,0.293685188292005,75,0.38662486715666,36,0.350141620471117,75,0.401412546691131,36,0.363116103742381,75,0.420768320073311,36,0.38484855350091,75,0.435277542814209,36,0.395647070076451,75,0.0258049457105129,36,0.0254918208331222,75,0.0254846966282345,36,0.0251860070772028,75,0.00623481085402058,36,0.00657355021421447,75,0.00625216894572497,36,0.00641466603735536,75,0.0105766897946989,36,0.010642766825236,75,0.0104249033353036,36,0.0103554227109145,75,0.0278704141507005,36,0.0278355550133953,75,0.0276756759232343,36,0.0276298966726127
,74,0.360811861538667,37,0.313003532263133,74,0.373139057444772,37,0.323899911093417,74,0.332485534603873,37,0.295847519416458,74,0.332230845168882,37,0.294909222565502,74,0.38626906688899,37,0.351378701303187,74,0.400942887578899,37,0.364424777385995,74,0.420558859346336,37,0.3861034444288,74,0.434848646711183,37,0.396837280670849,74,0.0257873168545279,37,0.0254746470015521,74,0.0254749607809509,37,0.0251391176050277,74,0.00624039725752817,37,0.00656392905675904,74,0.00625278874275495,37,0.00639783922436799,74,0.0105567894778303,37,0.01061376064531,74,0.0104131930040899,37,0.010322327549438,74,0.0278809502798175,37,0.0278171917041094,74,0.0276888765512683,37,0.0276045693649322
,73,0.359973917193145,38,0.31436264153597,73,0.372205290142424,38,0.325369618074606,73,0.332013178666138,38,0.297099543223577,73,0.331607939550536,38,0.296104643140667,73,0.385924742366168,38,0.352637251879707,73,0.400472537639784,38,0.365684277473002,73,0.420316846060625,38,0.387372455031121,73,0.434349982534366,38,0.398396593785183,73,0.0257737846964925,38,0.0254883553993941,73,0.0254413745338598,38,0.0251111362837829,73,0.00626482573887262,38,0.00654348246469646,73,0.00624168087639219,38,0.00638945309352108,73,0.0105800261841361,38,0.0106198248775156,73,0.010390467527013,38,0.0103254068078862,73,0.0279089317163058,38,0.0278074088161425,73,0.0276753226747216,38,0.0276053124992792
,72,0.359111360082564,39,0.315796661760522,72,0.371323511348447,39,0.326791242310776,72,0.331501636554797,39,0.298323950287377,72,0.330948189447156,39,0.29732339471443,72,0.385542175073978,39,0.353859262131372,72,0.400017571251026,39,0.367005541543089,72,0.419906991142053,39,0.38865424688444,72,0.433882306523718,39,0.399481670989508,72,0.0258094657233218,39,0.0255051429106476,72,0.025425418225829,39,0.0251500294246951,72,0.00628557879394316,39,0.00652671431710881,72,0.00624988634530624,39,0.00638983038426454,72,0.0106079834080393,39,0.0106355358593547,72,0.0103789266418375,39,0.0103375102672206,72,0.0278930478934558,39,0.0278240165071254,72,0.0276751095524357,39,0.027628892690903
,71,0.358224487162513,40,0.317276909892587,71,0.370925648555246,40,0.32837382513481,71,0.330947012668747,40,0.299523911187866,71,0.330389045322794,40,0.298542617392363,71,0.385185647823036,40,0.355059988148143,71,0.399569556905564,40,0.368340622272593,71,0.419581002588098,40,0.389843594173238,71,0.433442392084544,40,0.401004285850421,71,0.025785657150501,40,0.0254766476861876,71,0.0254639336528919,40,0.0251493471763718,71,0.00627835554015501,40,0.00652166270327857,71,0.00627992421578103,40,0.00638539459862907,71,0.0106016848866182,40,0.0106241711310067,71,0.0104160504528637,40,0.0103181838982781,71,0.0278704411341132,40,0.0278130288561196,71,0.0276903116780298,40,0.0275915500208548
,70,0.357290443976472,41,0.318714165101619,70,0.370228263512687,41,0.32989805031386,70,0.330456738135364,41,0.300758679767977,70,0.329854211299392,41,0.299755203946304,70,0.38468285506973,41,0.356297687006092,70,0.399116495559104,41,0.369631404669117,70,0.419115409317433,41,0.391114499183599,70,0.432987962717743,41,0.402209809371243,70,0.0257833981325735,41,0.025475913854601,70,0.0254827546225949,41,0.0251454560077108,70,0.00629688817186447,41,0.00652814702490128,70,0.00627293599759606,41,0.00637559195144099,70,0.0106074012617342,41,0.0106063160962589,70,0.0104326674194491,41,0.0103239512803495,70,0.0278817580128387,41,0.0277887164077229,70,0.0276873644950713,41,0.027578043540865
,69,0.356293734278937,42,0.32014222081156,69,0.369214332991077,42,0.331336135842536,69,0.329933386608372,42,0.302016563897487,69,0.329239203356868,42,0.300948118617259,69,0.384186861858058,42,0.357510208416583,69,0.398656903497933,42,0.370896407622918,69,0.418720906428752,42,0.392345112904627,69,0.432517720135286,42,0.403515456174402,69,0.0257937986994057,42,0.0255085864754894,69,0.0254652403627817,42,0.0251698138805972,69,0.00630119315484088,42,0.00652673319727029,69,0.00625396619525193,42,0.00636587793280792,69,0.0106342169321309,42,0.0106329922296795,69,0.0104299568731258,42,0.0103405786880023,69,0.0279015662753835,42,0.027799310856694,69,0.0276921732656514,42,0.027593269700659
,68,0.355376941185073,43,0.321601293699631,68,0.368261209407654,43,0.33291324806339,68,0.329384689514176,43,0.303243720755112,68,0.328638257704065,43,0.302157320514123,68,0.38374182830185,43,0.358723775860798,68,0.398178294750387,43,0.372187665935327,68,0.418308539524938,43,0.393582792714028,68,0.432004932321129,43,0.404889899967993,68,0.0258040812253173,43,0.0255001320987655,68,0.0254123918386611,43,0.0251793904268182,68,0.00632232301045557,43,0.0065035551930876,68,0.00624652724525894,43,0.0063623371216341,68,0.0106220658564831,43,0.0106283408343877,68,0.0104167604344763,43,0.0103326842717047,68,0.0279029444841732,43,0.0278028510566444,68,0.0276793981194684,43,0.0276097077909959
,67,0.354503236248867,44,0.32316471376417,67,0.367268351300807,44,0.334467914172485,67,0.328785532103835,44,0.30454650944397,67,0.328034902187369,44,0.303383599892649,67,0.38323937237055,44,0.360075881599395,67,0.397671781282687,44,0.373515031155302,67,0.417894033496526,44,0.394862799248697,67,0.431682276890267,44,0.406195554402148,67,0.0257495504325082,44,0.0255266194451505,67,0.0254099858310611,44,0.0251825803996612,67,0.00632144508354957,44,0.00650011527397848,67,0.00626795318483275,44,0.00634809914887581,67,0.0105953483333862,44,0.0106266491281415,67,0.0104100990647166,44,0.0103156228374911,67,0.0278842697501854,44,0.0278040299064193,67,0.0276846906430294,44,0.0276143852469447
