	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	gi	file_name	Sample	bg in mM	[Buffer] in mM	Monovalent Ion	Concentration	Concentration Unit	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm
82	19	10 mM MgCl2	400.0	90.0	21.0	2	Cooling	83	2023-08-16_RNA_melting_CaCl2_VS.csv																							
83	20	10 mM MgCl2	400.0	21.0	90.0	2	Heating	84	2023-08-16_RNA_melting_CaCl2_VS.csv																							
84	21	5 mM MgCl2	400.0	90.0	21.0	1	Cooling	85	2023-08-16_RNA_melting_CaCl2_VS.csv																							
85	22	5 mM MgCl2	400.0	21.0	90.0	1	Heating	86	2023-08-16_RNA_melting_CaCl2_VS.csv																							
86	23	5 mM MgCl2	400.0	90.0	21.0	2	Cooling	87	2023-08-16_RNA_melting_CaCl2_VS.csv																							
87	24	5 mM MgCl2	400.0	21.0	90.0	2	Heating	88	2023-08-16_RNA_melting_CaCl2_VS.csv																							
88	25	1 mM MgCl2	400.0	90.0	21.0	1	Cooling	89	2023-08-16_RNA_melting_CaCl2_VS.csv																							
89	26	1 mM MgCl2	400.0	21.0	90.0	1	Heating	90	2023-08-16_RNA_melting_CaCl2_VS.csv																							
90	27	1 mM MgCl2	400.0	90.0	21.0	2	Cooling	91	2023-08-16_RNA_melting_CaCl2_VS.csv																							
91	28	1 mM MgCl2	400.0	21.0	90.0	2	Heating	92	2023-08-16_RNA_melting_CaCl2_VS.csv																							
92	29	0.1 mM MgCl2	400.0	90.0	21.0	1	Cooling	93	2023-08-16_RNA_melting_CaCl2_VS.csv																							
93	30	0.1 mM MgCl2	400.0	21.0	90.0	1	Heating	94	2023-08-16_RNA_melting_CaCl2_VS.csv																							
94	31	0.1 mM MgCl2	400.0	90.0	21.0	2	Cooling	95	2023-08-16_RNA_melting_CaCl2_VS.csv																							
95	32	0.1 mM MgCl2	400.0	21.0	90.0	2	Heating	96	2023-08-16_RNA_melting_CaCl2_VS.csv																							
96	1	500 mM MgCl2	260.0	90.0	21.0	1	Cooling	97	2023-08-16_RNA_melting_VS.csv																							
97	2	500 mM MgCl2	260.0	21.0	90.0	1	Heating	98	2023-08-16_RNA_melting_VS.csv																							
98	3	500 mM MgCl2	260.0	90.0	21.0	2	Cooling	99	2023-08-16_RNA_melting_VS.csv																							
99	4	500 mM MgCl2	260.0	21.0	90.0	2	Heating	100	2023-08-16_RNA_melting_VS.csv																							
100	5	100 mM MgCl2	260.0	90.0	21.0	1	Cooling	101	2023-08-16_RNA_melting_VS.csv																							
101	6	100 mM MgCl2	260.0	21.0	90.0	1	Heating	102	2023-08-16_RNA_melting_VS.csv																							
102	7	100 mM MgCl2	260.0	90.0	21.0	2	Cooling	103	2023-08-16_RNA_melting_VS.csv																							
103	8	100 mM MgCl2	260.0	21.0	90.0	2	Heating	104	2023-08-16_RNA_melting_VS.csv																							
104	9	50 mM MgCl2	260.0	90.0	21.0	1	Cooling	105	2023-08-16_RNA_melting_VS.csv																							
105	10	50 mM MgCl2	260.0	21.0	90.0	1	Heating	106	2023-08-16_RNA_melting_VS.csv																							
106	11	50 mM MgCl2	260.0	90.0	21.0	2	Cooling	107	2023-08-16_RNA_melting_VS.csv																							
107	12	50 mM MgCl2	260.0	21.0	90.0	2	Heating	108	2023-08-16_RNA_melting_VS.csv																							
108	13	10 mM MgCl2	260.0	90.0	21.0	1	Cooling	109	2023-08-16_RNA_melting_VS.csv																							
109	14	10 mM MgCl2	260.0	21.0	90.0	1	Heating	110	2023-08-16_RNA_melting_VS.csv																							
110	15	10 mM MgCl2	260.0	90.0	21.0	2	Cooling	111	2023-08-16_RNA_melting_VS.csv																							
111	16	10 mM MgCl2	260.0	21.0	90.0	2	Heating	112	2023-08-16_RNA_melting_VS.csv																							
112	17	500 mM MgCl2	400.0	90.0	21.0	1	Cooling	113	2023-08-16_RNA_melting_VS.csv																							
113	18	500 mM MgCl2	400.0	21.0	90.0	1	Heating	114	2023-08-16_RNA_melting_VS.csv																							
114	19	500 mM MgCl2	400.0	90.0	21.0	2	Cooling	115	2023-08-16_RNA_melting_VS.csv																							
115	20	500 mM MgCl2	400.0	21.0	90.0	2	Heating	116	2023-08-16_RNA_melting_VS.csv																							
116	21	100 mM MgCl2	400.0	90.0	21.0	1	Cooling	117	2023-08-16_RNA_melting_VS.csv																							
117	22	100 mM MgCl2	400.0	21.0	90.0	1	Heating	118	2023-08-16_RNA_melting_VS.csv																							
118	23	100 mM MgCl2	400.0	90.0	21.0	2	Cooling	119	2023-08-16_RNA_melting_VS.csv																							
119	24	100 mM MgCl2	400.0	21.0	90.0	2	Heating	120	2023-08-16_RNA_melting_VS.csv																							
120	25	50 mM MgCl2	400.0	90.0	21.0	1	Cooling	121	2023-08-16_RNA_melting_VS.csv																							
121	26	50 mM MgCl2	400.0	21.0	90.0	1	Heating	122	2023-08-16_RNA_melting_VS.csv																							
122	27	50 mM MgCl2	400.0	90.0	21.0	2	Cooling	123	2023-08-16_RNA_melting_VS.csv																							
123	28	50 mM MgCl2	400.0	21.0	90.0	2	Heating	124	2023-08-16_RNA_melting_VS.csv																							
124	29	10 mM MgCl2	400.0	90.0	21.0	1	Cooling	125	2023-08-16_RNA_melting_VS.csv																							
125	30	10 mM MgCl2	400.0	21.0	90.0	1	Heating	126	2023-08-16_RNA_melting_VS.csv																							
126	31	10 mM MgCl2	400.0	90.0	21.0	2	Cooling	127	2023-08-16_RNA_melting_VS.csv																							
127	32	10 mM MgCl2	400.0	21.0	90.0	2	Heating	128	2023-08-16_RNA_melting_VS.csv																							
128	1	500 mM MgCl2	260.0	90.0	21.0	1	Cooling	129	2023-08-18_RNA_melting_CaCl2_VS.csv																							
129	2	500 mM MgCl2	260.0	21.0	90.0	1	Heating	130	2023-08-18_RNA_melting_CaCl2_VS.csv																							
130	3	500 mM MgCl2	260.0	90.0	21.0	2	Cooling	131	2023-08-18_RNA_melting_CaCl2_VS.csv																							
131	4	500 mM MgCl2	260.0	21.0	90.0	2	Heating	132	2023-08-18_RNA_melting_CaCl2_VS.csv																							
132	5	100 mM MgCl2	260.0	90.0	21.0	1	Cooling	133	2023-08-18_RNA_melting_CaCl2_VS.csv																							
133	6	100 mM MgCl2	260.0	21.0	90.0	1	Heating	134	2023-08-18_RNA_melting_CaCl2_VS.csv																							
134	7	100 mM MgCl2	260.0	90.0	21.0	2	Cooling	135	2023-08-18_RNA_melting_CaCl2_VS.csv																							
135	8	100 mM MgCl2	260.0	21.0	90.0	2	Heating	136	2023-08-18_RNA_melting_CaCl2_VS.csv																							
136	9	50 mM MgCl2	260.0	90.0	21.0	1	Cooling	137	2023-08-18_RNA_melting_CaCl2_VS.csv																							
137	10	50 mM MgCl2	260.0	21.0	90.0	1	Heating	138	2023-08-18_RNA_melting_CaCl2_VS.csv																							
138	11	50 mM MgCl2	260.0	90.0	21.0	2	Cooling	139	2023-08-18_RNA_melting_CaCl2_VS.csv																							
139	12	50 mM MgCl2	260.0	21.0	90.0	2	Heating	140	2023-08-18_RNA_melting_CaCl2_VS.csv																							
140	13	0 mM MgCl2	260.0	90.0	21.0	1	Cooling	141	2023-08-18_RNA_melting_CaCl2_VS.csv																							
