Measurement,Sample Name,Wavelength (nm),Temperature Start (°C),Temperature End (°C),Run,Ramp Type,gi,file_name,Sample,bg in mM,[Buffer] in mM,Monovalent Ion,Concentration,Concentration Unit
4,516 mM NaCl,260.0,21.0,90.0,2,Heating,388,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),516.0,mM
5,116 mM NaCl,260.0,90.0,21.0,1,Cooling,389,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),116.0,mM
6,116 mM NaCl,260.0,21.0,90.0,1,Heating,390,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),116.0,mM
7,116 mM NaCl,260.0,90.0,21.0,2,Cooling,391,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),116.0,mM
8,116 mM NaCl,260.0,21.0,90.0,2,Heating,392,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),116.0,mM
9,66 mM NaCl,260.0,90.0,21.0,1,Cooling,393,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),66.0,mM
10,66 mM NaCl,260.0,21.0,90.0,1,Heating,394,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),66.0,mM
11,66 mM NaCl,260.0,90.0,21.0,2,Cooling,395,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),66.0,mM
12,66 mM NaCl,260.0,21.0,90.0,2,Heating,396,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),66.0,mM
13,41 mM NaCl,260.0,90.0,21.0,1,Cooling,397,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),41.0,mM
14,41 mM NaCl,260.0,21.0,90.0,1,Heating,398,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),41.0,mM
15,41 mM NaCl,260.0,90.0,21.0,2,Cooling,399,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),41.0,mM
16,41 mM NaCl,260.0,21.0,90.0,2,Heating,400,2023-09-21_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),41.0,mM
1,26 mM NaCl,260.0,90.0,21.0,1,Cooling,417,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),26.0,mM
2,26 mM NaCl,260.0,21.0,90.0,1,Heating,418,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),26.0,mM
3,26 mM NaCl,260.0,90.0,21.0,2,Cooling,419,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),26.0,mM
4,26 mM NaCl,260.0,21.0,90.0,2,Heating,420,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),26.0,mM
5,21 mM NaCl,260.0,90.0,21.0,1,Cooling,421,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),21.0,mM
6,21 mM NaCl,260.0,21.0,90.0,1,Heating,422,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),21.0,mM
7,21 mM NaCl,260.0,90.0,21.0,2,Cooling,423,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),21.0,mM
8,21 mM NaCl,260.0,21.0,90.0,2,Heating,424,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),21.0,mM
9,17 mM NaCl,260.0,90.0,21.0,1,Cooling,425,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),17.0,mM
10,17 mM NaCl,260.0,21.0,90.0,1,Heating,426,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),17.0,mM
11,17 mM NaCl,260.0,90.0,21.0,2,Cooling,427,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),17.0,mM
12,17 mM NaCl,260.0,21.0,90.0,2,Heating,428,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),17.0,mM
13,8.3 mM NaCl,260.0,90.0,21.0,1,Cooling,429,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),8.3,mM
14,8.3 mM NaCl,260.0,21.0,90.0,1,Heating,430,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),8.3,mM
15,8.3 mM NaCl,260.0,90.0,21.0,2,Cooling,431,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),8.3,mM
16,8.3 mM NaCl,260.0,21.0,90.0,2,Heating,432,2023-09-24_RNA_melting_NaCl.csv,RNA,16.0,20.0,Na(I),8.3,mM
1,4.15 mM NaCl,260.0,90.0,21.0,1,Cooling,449,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),4.15,mM
2,4.15 mM NaCl,260.0,21.0,90.0,1,Heating,450,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),4.15,mM
3,4.15 mM NaCl,260.0,90.0,21.0,2,Cooling,451,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),4.15,mM
4,4.15 mM NaCl,260.0,21.0,90.0,2,Heating,452,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),4.15,mM
5,1.66 mM NaCl,260.0,90.0,21.0,1,Cooling,453,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),1.66,mM
6,1.66 mM NaCl,260.0,21.0,90.0,1,Heating,454,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),1.66,mM
7,1.66 mM NaCl,260.0,90.0,21.0,2,Cooling,455,2023-11-01_RNA_melting_HEPES_NaCl.csv,RNA,0.0,0.0,Na(I),1.66,mM
