	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	Sample	bg in mM	[Buffer] in mM	Divalent Ion	Monovalent Ion	gi	file_name	Concentration	Concentration Unit	Ion	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS
265	10	500 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	266	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	MgCl2																	
266	11	500 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	267	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	MgCl2																	
267	12	500 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	268	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	MgCl2																	
268	13	100 mM MgCl2	260.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	269	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	MgCl2																	
269	14	100 mM MgCl2	260.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	270	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	MgCl2																	
270	15	100 mM MgCl2	260.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	271	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	MgCl2																	
271	16	100 mM MgCl2	260.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	272	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	MgCl2																	
272	17	500 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	273	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	CaCl2																	
273	18	500 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	274	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	CaCl2																	
274	19	500 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	275	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	CaCl2																	
275	20	500 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	276	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	CaCl2																	
276	21	100 mM CaCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	277	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	CaCl2																	
277	22	100 mM CaCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	278	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	CaCl2																	
278	23	100 mM CaCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	279	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	CaCl2																	
279	24	100 mM CaCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	280	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	CaCl2																	
280	25	500 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	281	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	MgCl2																	
281	26	500 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	282	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	MgCl2																	
282	27	500 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	283	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	MgCl2																	
283	28	500 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	284	2023-08-23_RNA_melting_NaCl_VS.csv	500.0	mM	MgCl2																	
284	29	100 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0		Na(I)	285	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	MgCl2																	
285	30	100 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0		Na(I)	286	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	MgCl2																	
286	31	100 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0		Na(I)	287	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	MgCl2																	
287	32	100 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0		Na(I)	288	2023-08-23_RNA_melting_NaCl_VS.csv	100.0	mM	MgCl2																	
288	1	100 mM KCl	260.0	90.0	21.0	1	Cooling						289	2023-09-19_RNA_melting_KCl.csv																				
289	2	100 mM KCl	260.0	21.0	90.0	1	Heating						290	2023-09-19_RNA_melting_KCl.csv																				
290	3	100 mM KCl	260.0	90.0	21.0	2	Cooling						291	2023-09-19_RNA_melting_KCl.csv																				
291	4	100 mM KCl	260.0	21.0	90.0	2	Heating						292	2023-09-19_RNA_melting_KCl.csv																				
292	5	50 mM KCl	260.0	90.0	21.0	1	Cooling						293	2023-09-19_RNA_melting_KCl.csv																				
293	6	50 mM KCl	260.0	21.0	90.0	1	Heating						294	2023-09-19_RNA_melting_KCl.csv																				
294	7	50 mM KCl	260.0	90.0	21.0	2	Cooling						295	2023-09-19_RNA_melting_KCl.csv																				
295	8	50 mM KCl	260.0	21.0	90.0	2	Heating						296	2023-09-19_RNA_melting_KCl.csv																				
296	9	25 mM KCl	260.0	90.0	21.0	1	Cooling						297	2023-09-19_RNA_melting_KCl.csv																				
297	10	25 mM KCl	260.0	21.0	90.0	1	Heating						298	2023-09-19_RNA_melting_KCl.csv																				
298	11	25 mM KCl	260.0	90.0	21.0	2	Cooling						299	2023-09-19_RNA_melting_KCl.csv																				
299	12	25 mM KCl	260.0	21.0	90.0	2	Heating						300	2023-09-19_RNA_melting_KCl.csv																				
300	13	10 mM KCl	260.0	90.0	21.0	1	Cooling						301	2023-09-19_RNA_melting_KCl.csv																				
301	14	10 mM KCl	260.0	21.0	90.0	1	Heating						302	2023-09-19_RNA_melting_KCl.csv																				
302	15	10 mM KCl	260.0	90.0	21.0	2	Cooling						303	2023-09-19_RNA_melting_KCl.csv																				
303	16	10 mM KCl	260.0	21.0	90.0	2	Heating						304	2023-09-19_RNA_melting_KCl.csv																				
304	17	100 mM KCl	400.0	90.0	21.0	1	Cooling						305	2023-09-19_RNA_melting_KCl.csv																				
305	18	100 mM KCl	400.0	21.0	90.0	1	Heating						306	2023-09-19_RNA_melting_KCl.csv																				
306	19	100 mM KCl	400.0	90.0	21.0	2	Cooling						307	2023-09-19_RNA_melting_KCl.csv																				
307	20	100 mM KCl	400.0	21.0	90.0	2	Heating						308	2023-09-19_RNA_melting_KCl.csv																				
308	21	50 mM KCl	400.0	90.0	21.0	1	Cooling						309	2023-09-19_RNA_melting_KCl.csv																				
309	22	50 mM KCl	400.0	21.0	90.0	1	Heating						310	2023-09-19_RNA_melting_KCl.csv																				
310	23	50 mM KCl	400.0	90.0	21.0	2	Cooling						311	2023-09-19_RNA_melting_KCl.csv																				
311	24	50 mM KCl	400.0	21.0	90.0	2	Heating						312	2023-09-19_RNA_melting_KCl.csv																				
312	25	25 mM KCl	400.0	90.0	21.0	1	Cooling						313	2023-09-19_RNA_melting_KCl.csv																				
313	26	25 mM KCl	400.0	21.0	90.0	1	Heating						314	2023-09-19_RNA_melting_KCl.csv																				
314	27	25 mM KCl	400.0	90.0	21.0	2	Cooling						315	2023-09-19_RNA_melting_KCl.csv																				
315	28	25 mM KCl	400.0	21.0	90.0	2	Heating						316	2023-09-19_RNA_melting_KCl.csv																				
316	29	10 mM KCl	400.0	90.0	21.0	1	Cooling						317	2023-09-19_RNA_melting_KCl.csv																				
317	30	10 mM KCl	400.0	21.0	90.0	1	Heating						318	2023-09-19_RNA_melting_KCl.csv																				
318	31	10 mM KCl	400.0	90.0	21.0	2	Cooling						319	2023-09-19_RNA_melting_KCl.csv																				
319	32	10 mM KCl	400.0	21.0	90.0	2	Heating						320	2023-09-19_RNA_melting_KCl.csv																				
320	1	500 mM KCl	260.0	90.0	21.0	1	Cooling						321	2023-09-20_RNA_melting_KCl.csv																				
321	2	500 mM KCl	260.0	21.0	90.0	1	Heating						322	2023-09-20_RNA_melting_KCl.csv																				
322	3	500 mM KCl	260.0	90.0	21.0	2	Cooling						323	2023-09-20_RNA_melting_KCl.csv																				
323	4	500 mM KCl	260.0	21.0	90.0	2	Heating						324	2023-09-20_RNA_melting_KCl.csv																				
324	5	5 mM KCl	260.0	90.0	21.0	1	Cooling						325	2023-09-20_RNA_melting_KCl.csv																				
325	6	5 mM KCl	260.0	21.0	90.0	1	Heating						326	2023-09-20_RNA_melting_KCl.csv																				
326	7	5 mM KCl	260.0	90.0	21.0	2	Cooling						327	2023-09-20_RNA_melting_KCl.csv																				
327	8	5 mM KCl	260.0	21.0	90.0	2	Heating						328	2023-09-20_RNA_melting_KCl.csv																				
328	9	1 mM KCl	260.0	90.0	21.0	1	Cooling						329	2023-09-20_RNA_melting_KCl.csv																				
329	10	1 mM KCl	260.0	21.0	90.0	1	Heating						330	2023-09-20_RNA_melting_KCl.csv																				
330	11	1 mM KCl	260.0	90.0	21.0	2	Cooling						331	2023-09-20_RNA_melting_KCl.csv																				
331	12	1 mM KCl	260.0	21.0	90.0	2	Heating						332	2023-09-20_RNA_melting_KCl.csv																				
332	13	0.1 mM KCl	260.0	90.0	21.0	1	Cooling						333	2023-09-20_RNA_melting_KCl.csv																				
333	14	0.1 mM KCl	260.0	21.0	90.0	1	Heating						334	2023-09-20_RNA_melting_KCl.csv																				
334	15	0.1 mM KCl	260.0	90.0	21.0	2	Cooling						335	2023-09-20_RNA_melting_KCl.csv																				
335	16	0.1 mM KCl	260.0	21.0	90.0	2	Heating						336	2023-09-20_RNA_melting_KCl.csv																				
336	17	500 mM KCl	400.0	90.0	21.0	1	Cooling						337	2023-09-20_RNA_melting_KCl.csv																				
337	18	500 mM KCl	400.0	21.0	90.0	1	Heating						338	2023-09-20_RNA_melting_KCl.csv																				
338	19	500 mM KCl	400.0	90.0	21.0	2	Cooling						339	2023-09-20_RNA_melting_KCl.csv																				
339	20	500 mM KCl	400.0	21.0	90.0	2	Heating						340	2023-09-20_RNA_melting_KCl.csv																				
340	21	5 mM KCl	400.0	90.0	21.0	1	Cooling						341	2023-09-20_RNA_melting_KCl.csv																				
341	22	5 mM KCl	400.0	21.0	90.0	1	Heating						342	2023-09-20_RNA_melting_KCl.csv																				
342	23	5 mM KCl	400.0	90.0	21.0	2	Cooling						343	2023-09-20_RNA_melting_KCl.csv																				
343	24	5 mM KCl	400.0	21.0	90.0	2	Heating						344	2023-09-20_RNA_melting_KCl.csv																				
344	25	1 mM KCl	400.0	90.0	21.0	1	Cooling						345	2023-09-20_RNA_melting_KCl.csv																				
345	26	1 mM KCl	400.0	21.0	90.0	1	Heating						346	2023-09-20_RNA_melting_KCl.csv																				
346	27	1 mM KCl	400.0	90.0	21.0	2	Cooling						347	2023-09-20_RNA_melting_KCl.csv																				
347	28	1 mM KCl	400.0	21.0	90.0	2	Heating						348	2023-09-20_RNA_melting_KCl.csv																				
348	29	0.1 mM KCl	400.0	90.0	21.0	1	Cooling						349	2023-09-20_RNA_melting_KCl.csv																				
349	30	0.1 mM KCl	400.0	21.0	90.0	1	Heating						350	2023-09-20_RNA_melting_KCl.csv																				
350	31	0.1 mM KCl	400.0	90.0	21.0	2	Cooling						351	2023-09-20_RNA_melting_KCl.csv																				
351	32	0.1 mM KCl	400.0	21.0	90.0	2	Heating						352	2023-09-20_RNA_melting_KCl.csv																				
352	1	4.15 mM KCl	260.0	90.0	21.0	1	Cooling						353	2023-09-21_RNA_melting_HEPES_KCl.csv																				
353	2	4.15 mM KCl	260.0	21.0	90.0	1	Heating						354	2023-09-21_RNA_melting_HEPES_KCl.csv																				
354	3	4.15 mM KCl	260.0	90.0	21.0	2	Cooling						355	2023-09-21_RNA_melting_HEPES_KCl.csv																				
355	4	4.15 mM KCl	260.0	21.0	90.0	2	Heating						356	2023-09-21_RNA_melting_HEPES_KCl.csv																				
356	5	1.66 mM KCl	260.0	90.0	21.0	1	Cooling						357	2023-09-21_RNA_melting_HEPES_KCl.csv																				
357	6	1.66 mM KCl	260.0	21.0	90.0	1	Heating						358	2023-09-21_RNA_melting_HEPES_KCl.csv																				
358	7	1.66 mM KCl	260.0	90.0	21.0	2	Cooling						359	2023-09-21_RNA_melting_HEPES_KCl.csv																				
359	8	1.66 mM KCl	260.0	21.0	90.0	2	Heating						360	2023-09-21_RNA_melting_HEPES_KCl.csv																				
360	9	0.8 mM KCl	260.0	90.0	21.0	1	Cooling						361	2023-09-21_RNA_melting_HEPES_KCl.csv																				
361	10	0.8 mM KCl	260.0	21.0	90.0	1	Heating						362	2023-09-21_RNA_melting_HEPES_KCl.csv																				
362	11	0.8 mM KCl	260.0	90.0	21.0	2	Cooling						363	2023-09-21_RNA_melting_HEPES_KCl.csv																				
363	12	0.8 mM KCl	260.0	21.0	90.0	2	Heating						364	2023-09-21_RNA_melting_HEPES_KCl.csv																				
364	13	0.08 mM KCl	260.0	90.0	21.0	1	Cooling						365	2023-09-21_RNA_melting_HEPES_KCl.csv																				
365	14	0.08 mM KCl	260.0	21.0	90.0	1	Heating						366	2023-09-21_RNA_melting_HEPES_KCl.csv																				
366	15	0.08 mM KCl	260.0	90.0	21.0	2	Cooling						367	2023-09-21_RNA_melting_HEPES_KCl.csv																				
367	16	0.08 mM KCl	260.0	21.0	90.0	2	Heating						368	2023-09-21_RNA_melting_HEPES_KCl.csv																				
368	17	4.15 mM KCl	400.0	90.0	21.0	1	Cooling						369	2023-09-21_RNA_melting_HEPES_KCl.csv																				
369	18	4.15 mM KCl	400.0	21.0	90.0	1	Heating						370	2023-09-21_RNA_melting_HEPES_KCl.csv																				
370	19	4.15 mM KCl	400.0	90.0	21.0	2	Cooling						371	2023-09-21_RNA_melting_HEPES_KCl.csv																				
371	20	4.15 mM KCl	400.0	21.0	90.0	2	Heating						372	2023-09-21_RNA_melting_HEPES_KCl.csv																				
372	21	1.66 mM KCl	400.0	90.0	21.0	1	Cooling						373	2023-09-21_RNA_melting_HEPES_KCl.csv																				
373	22	1.66 mM KCl	400.0	21.0	90.0	1	Heating						374	2023-09-21_RNA_melting_HEPES_KCl.csv																				
374	23	1.66 mM KCl	400.0	90.0	21.0	2	Cooling						375	2023-09-21_RNA_melting_HEPES_KCl.csv																				
375	24	1.66 mM KCl	400.0	21.0	90.0	2	Heating						376	2023-09-21_RNA_melting_HEPES_KCl.csv																				
376	25	0.8 mM KCl	400.0	90.0	21.0	1	Cooling						377	2023-09-21_RNA_melting_HEPES_KCl.csv																				
377	26	0.8 mM KCl	400.0	21.0	90.0	1	Heating						378	2023-09-21_RNA_melting_HEPES_KCl.csv																				
378	27	0.8 mM KCl	400.0	90.0	21.0	2	Cooling						379	2023-09-21_RNA_melting_HEPES_KCl.csv																				
379	28	0.8 mM KCl	400.0	21.0	90.0	2	Heating						380	2023-09-21_RNA_melting_HEPES_KCl.csv																				
380	29	0.08 mM KCl	400.0	90.0	21.0	1	Cooling						381	2023-09-21_RNA_melting_HEPES_KCl.csv																				
381	30	0.08 mM KCl	400.0	21.0	90.0	1	Heating						382	2023-09-21_RNA_melting_HEPES_KCl.csv																				
382	31	0.08 mM KCl	400.0	90.0	21.0	2	Cooling						383	2023-09-21_RNA_melting_HEPES_KCl.csv																				
383	32	0.08 mM KCl	400.0	21.0	90.0	2	Heating						384	2023-09-21_RNA_melting_HEPES_KCl.csv																				
384	1	516 mM NaCl	260.0	90.0	21.0	1	Cooling						385	2023-09-21_RNA_melting_NaCl.csv																				
385	2	516 mM NaCl	260.0	21.0	90.0	1	Heating						386	2023-09-21_RNA_melting_NaCl.csv																				
386	3	516 mM NaCl	260.0	90.0	21.0	2	Cooling						387	2023-09-21_RNA_melting_NaCl.csv																				
387	4	516 mM NaCl	260.0	21.0	90.0	2	Heating						388	2023-09-21_RNA_melting_NaCl.csv																				
388	5	116 mM NaCl	260.0	90.0	21.0	1	Cooling						389	2023-09-21_RNA_melting_NaCl.csv																				
389	6	116 mM NaCl	260.0	21.0	90.0	1	Heating						390	2023-09-21_RNA_melting_NaCl.csv																				
390	7	116 mM NaCl	260.0	90.0	21.0	2	Cooling						391	2023-09-21_RNA_melting_NaCl.csv																				
391	8	116 mM NaCl	260.0	21.0	90.0	2	Heating						392	2023-09-21_RNA_melting_NaCl.csv																				
392	9	66 mM NaCl	260.0	90.0	21.0	1	Cooling						393	2023-09-21_RNA_melting_NaCl.csv																				
393	10	66 mM NaCl	260.0	21.0	90.0	1	Heating						394	2023-09-21_RNA_melting_NaCl.csv																				
394	11	66 mM NaCl	260.0	90.0	21.0	2	Cooling						395	2023-09-21_RNA_melting_NaCl.csv																				
395	12	66 mM NaCl	260.0	21.0	90.0	2	Heating						396	2023-09-21_RNA_melting_NaCl.csv																				
396	13	41 mM NaCl	260.0	90.0	21.0	1	Cooling						397	2023-09-21_RNA_melting_NaCl.csv																				
397	14	41 mM NaCl	260.0	21.0	90.0	1	Heating						398	2023-09-21_RNA_melting_NaCl.csv																				
398	15	41 mM NaCl	260.0	90.0	21.0	2	Cooling						399	2023-09-21_RNA_melting_NaCl.csv																				
399	16	41 mM NaCl	260.0	21.0	90.0	2	Heating						400	2023-09-21_RNA_melting_NaCl.csv																				
400	17	516 mM NaCl	400.0	90.0	21.0	1	Cooling						401	2023-09-21_RNA_melting_NaCl.csv																				
401	18	516 mM NaCl	400.0	21.0	90.0	1	Heating						402	2023-09-21_RNA_melting_NaCl.csv																				
402	19	516 mM NaCl	400.0	90.0	21.0	2	Cooling						403	2023-09-21_RNA_melting_NaCl.csv																				
403	20	516 mM NaCl	400.0	21.0	90.0	2	Heating						404	2023-09-21_RNA_melting_NaCl.csv																				
404	21	116 mM NaCl	400.0	90.0	21.0	1	Cooling						405	2023-09-21_RNA_melting_NaCl.csv																				
405	22	116 mM NaCl	400.0	21.0	90.0	1	Heating						406	2023-09-21_RNA_melting_NaCl.csv																				
406	23	116 mM NaCl	400.0	90.0	21.0	2	Cooling						407	2023-09-21_RNA_melting_NaCl.csv																				
407	24	116 mM NaCl	400.0	21.0	90.0	2	Heating						408	2023-09-21_RNA_melting_NaCl.csv																				
408	25	66 mM NaCl	400.0	90.0	21.0	1	Cooling						409	2023-09-21_RNA_melting_NaCl.csv																				
409	26	66 mM NaCl	400.0	21.0	90.0	1	Heating						410	2023-09-21_RNA_melting_NaCl.csv																				
410	27	66 mM NaCl	400.0	90.0	21.0	2	Cooling						411	2023-09-21_RNA_melting_NaCl.csv																				
411	28	66 mM NaCl	400.0	21.0	90.0	2	Heating						412	2023-09-21_RNA_melting_NaCl.csv																				
412	29	41 mM NaCl	400.0	90.0	21.0	1	Cooling						413	2023-09-21_RNA_melting_NaCl.csv																				
413	30	41 mM NaCl	400.0	21.0	90.0	1	Heating						414	2023-09-21_RNA_melting_NaCl.csv																				
414	31	41 mM NaCl	400.0	90.0	21.0	2	Cooling						415	2023-09-21_RNA_melting_NaCl.csv																				
415	32	41 mM NaCl	400.0	21.0	90.0	2	Heating						416	2023-09-21_RNA_melting_NaCl.csv																				
416	1	26 mM NaCl	260.0	90.0	21.0	1	Cooling						417	2023-09-24_RNA_melting_NaCl.csv																				
417	2	26 mM NaCl	260.0	21.0	90.0	1	Heating						418	2023-09-24_RNA_melting_NaCl.csv																				
418	3	26 mM NaCl	260.0	90.0	21.0	2	Cooling						419	2023-09-24_RNA_melting_NaCl.csv																				
419	4	26 mM NaCl	260.0	21.0	90.0	2	Heating						420	2023-09-24_RNA_melting_NaCl.csv																				
420	5	21 mM NaCl	260.0	90.0	21.0	1	Cooling						421	2023-09-24_RNA_melting_NaCl.csv																				
421	6	21 mM NaCl	260.0	21.0	90.0	1	Heating						422	2023-09-24_RNA_melting_NaCl.csv																				
422	7	21 mM NaCl	260.0	90.0	21.0	2	Cooling						423	2023-09-24_RNA_melting_NaCl.csv																				
423	8	21 mM NaCl	260.0	21.0	90.0	2	Heating						424	2023-09-24_RNA_melting_NaCl.csv																				
424	9	17 mM NaCl	260.0	90.0	21.0	1	Cooling						425	2023-09-24_RNA_melting_NaCl.csv																				
425	10	17 mM NaCl	260.0	21.0	90.0	1	Heating						426	2023-09-24_RNA_melting_NaCl.csv																				
426	11	17 mM NaCl	260.0	90.0	21.0	2	Cooling						427	2023-09-24_RNA_melting_NaCl.csv																				
427	12	17 mM NaCl	260.0	21.0	90.0	2	Heating						428	2023-09-24_RNA_melting_NaCl.csv																				
428	13	8.3 mM NaCl	260.0	90.0	21.0	1	Cooling						429	2023-09-24_RNA_melting_NaCl.csv																				
429	14	8.3 mM NaCl	260.0	21.0	90.0	1	Heating						430	2023-09-24_RNA_melting_NaCl.csv																				
430	15	8.3 mM NaCl	260.0	90.0	21.0	2	Cooling						431	2023-09-24_RNA_melting_NaCl.csv																				
431	16	8.3 mM NaCl	260.0	21.0	90.0	2	Heating						432	2023-09-24_RNA_melting_NaCl.csv																				
432	17	26 mM NaCl	400.0	90.0	21.0	1	Cooling						433	2023-09-24_RNA_melting_NaCl.csv																				
433	18	26 mM NaCl	400.0	21.0	90.0	1	Heating						434	2023-09-24_RNA_melting_NaCl.csv																				
434	19	26 mM NaCl	400.0	90.0	21.0	2	Cooling						435	2023-09-24_RNA_melting_NaCl.csv																				
435	20	26 mM NaCl	400.0	21.0	90.0	2	Heating						436	2023-09-24_RNA_melting_NaCl.csv																				
436	21	21 mM NaCl	400.0	90.0	21.0	1	Cooling						437	2023-09-24_RNA_melting_NaCl.csv																				
437	22	21 mM NaCl	400.0	21.0	90.0	1	Heating						438	2023-09-24_RNA_melting_NaCl.csv																				
438	23	21 mM NaCl	400.0	90.0	21.0	2	Cooling						439	2023-09-24_RNA_melting_NaCl.csv																				
439	24	21 mM NaCl	400.0	21.0	90.0	2	Heating						440	2023-09-24_RNA_melting_NaCl.csv																				
440	25	17 mM NaCl	400.0	90.0	21.0	1	Cooling						441	2023-09-24_RNA_melting_NaCl.csv																				
441	26	17 mM NaCl	400.0	21.0	90.0	1	Heating						442	2023-09-24_RNA_melting_NaCl.csv																				
442	27	17 mM NaCl	400.0	90.0	21.0	2	Cooling						443	2023-09-24_RNA_melting_NaCl.csv																				
443	28	17 mM NaCl	400.0	21.0	90.0	2	Heating						444	2023-09-24_RNA_melting_NaCl.csv																				
444	29	8.3 mM NaCl	400.0	90.0	21.0	1	Cooling						445	2023-09-24_RNA_melting_NaCl.csv																				
445	30	8.3 mM NaCl	400.0	21.0	90.0	1	Heating						446	2023-09-24_RNA_melting_NaCl.csv																				
446	31	8.3 mM NaCl	400.0	90.0	21.0	2	Cooling						447	2023-09-24_RNA_melting_NaCl.csv																				
447	32	8.3 mM NaCl	400.0	21.0	90.0	2	Heating						448	2023-09-24_RNA_melting_NaCl.csv																				
448	1	4.15 mM NaCl	260.0	90.0	21.0	1	Cooling						449	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
449	2	4.15 mM NaCl	260.0	21.0	90.0	1	Heating						450	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
450	3	4.15 mM NaCl	260.0	90.0	21.0	2	Cooling						451	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
451	4	4.15 mM NaCl	260.0	21.0	90.0	2	Heating						452	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
452	5	1.66 mM NaCl	260.0	90.0	21.0	1	Cooling						453	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
453	6	1.66 mM NaCl	260.0	21.0	90.0	1	Heating						454	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
454	7	1.66 mM NaCl	260.0	90.0	21.0	2	Cooling						455	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
455	8	1.66 mM NaCl	260.0	21.0	90.0	2	Heating						456	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
456	9	0.8 mM NaCl	260.0	90.0	21.0	1	Cooling						457	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
457	10	0.8 mM NaCl	260.0	21.0	90.0	1	Heating						458	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
458	11	0.8 mM NaCl	260.0	90.0	21.0	2	Cooling						459	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
459	12	0.8 mM NaCl	260.0	21.0	90.0	2	Heating						460	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
460	13	0.08 mM NaCl	260.0	90.0	21.0	1	Cooling						461	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
461	14	0.08 mM NaCl	260.0	21.0	90.0	1	Heating						462	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
462	15	0.08 mM NaCl	260.0	90.0	21.0	2	Cooling						463	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
463	16	0.08 mM NaCl	260.0	21.0	90.0	2	Heating						464	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
464	17	4.15 mM NaCl	400.0	90.0	21.0	1	Cooling						465	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
465	18	4.15 mM NaCl	400.0	21.0	90.0	1	Heating						466	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
466	19	4.15 mM NaCl	400.0	90.0	21.0	2	Cooling						467	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
467	20	4.15 mM NaCl	400.0	21.0	90.0	2	Heating						468	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
468	21	1.66 mM NaCl	400.0	90.0	21.0	1	Cooling						469	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
469	22	1.66 mM NaCl	400.0	21.0	90.0	1	Heating						470	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
470	23	1.66 mM NaCl	400.0	90.0	21.0	2	Cooling						471	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
471	24	1.66 mM NaCl	400.0	21.0	90.0	2	Heating						472	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
472	25	0.8 mM NaCl	400.0	90.0	21.0	1	Cooling						473	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
473	26	0.8 mM NaCl	400.0	21.0	90.0	1	Heating						474	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
474	27	0.8 mM NaCl	400.0	90.0	21.0	2	Cooling						475	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
475	28	0.8 mM NaCl	400.0	21.0	90.0	2	Heating						476	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
476	29	0.08 mM NaCl	400.0	90.0	21.0	1	Cooling						477	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
477	30	0.08 mM NaCl	400.0	21.0	90.0	1	Heating						478	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
478	31	0.08 mM NaCl	400.0	90.0	21.0	2	Cooling						479	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
479	32	0.08 mM NaCl	400.0	21.0	90.0	2	Heating						480	2023-11-01_RNA_melting_HEPES_NaCl.csv																				
480	1	10 mM EDTA	260.0	90.0	21.0	1	Cooling						481	2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv																				
481	2	10 mM EDTA	260.0	21.0	90.0	1	Heating						482	2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv																				
482	3	10 mM EDTA	260.0	90.0	21.0	2	Cooling						483	2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv																				
