Temperature (C),Abs,Measurement,Name,norm_Abs,dabs_dt
85.0,0.3238313286832911,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.9874409394944684,0.007694712154625749
84.0,0.3231793589246505,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.9741186412607229,0.014095208252290381
83.0,0.3224517394621224,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.9592505229898877,0.01439686180857408
82.0,0.3217702449183685,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.9453249176435747,0.014364490825242049
81.0,0.3210457938134045,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.9305215413394036,0.015411383199700868
80.0,0.3202618331400499,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.914502151244173,0.016930033960505964
79.0,0.3193887418601537,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.8966614734183916,0.018130426381427034
78.0,0.3184872910145765,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.8782412984813189,0.020292304403777273
77.0,0.317402602746276,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.8560768646108371,0.023025357611932196
76.0,0.316233650301619,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.8321905832574545,0.023348919964714443
75.0,0.315117292892552,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.8093790246814082,0.023694144341364798
74.0,0.3139145511047092,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.784802294574725,0.027262948094273154
73.0,0.3124488917838256,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.7548531284928619,0.02883920607489726
72.0,0.3110918714297547,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.7271238824249304,0.02668295764377221
71.0,0.3098372580927613,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.7014872132053175,0.02527603699647829
70.0,0.3086179421645708,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.6765718084319738,0.02411330076944329
69.0,0.3074771333444861,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.6532606116664309,0.023412531615355447
68.0,0.3063264062270604,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.629746745201263,0.022727398974715263
67.0,0.3052526557710084,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.6078058137170004,0.02092876725484283
66.0,0.3042779723763269,13,10 mM MgCl2_260.00nm_90.0-21.0C,0.5878892106915773,0.018923529980497678
