CSV Report,2023-08-04_RNA_melting_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,5 mM CaCl2_260.00nm_90.0-21.0C,,5 mM CaCl2_260.00nm_21.0-90.0C,,5 mM CaCl2_260.00nm_90.0-21.0C_R1,,5 mM CaCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM CaCl2_400.00nm_90.0-21.0C,,5 mM CaCl2_400.00nm_21.0-90.0C,,5 mM CaCl2_400.00nm_90.0-21.0C_R1,,5 mM CaCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,
,39,0.25661616838878,72,0.285875377342612,39,0.269573424626005,72,0.297362578445787,39,0.23326073419064,72,0.259929569955377,39,0.242817939144988,72,0.263574584571363,39,0.246221963923678,72,0.261674937603513,39,0.266579042277612,72,0.289049795729473,39,0.27444357111847,72,0.300475568870638,39,0.290937485308065,72,0.31655645053901,39,0.023773940506057,72,0.024034223718863,39,0.0236328329609569,72,0.0238834608016301,39,0.00458217827762955,72,0.00459905628174675,39,0.00463641887934796,72,0.00461940201054888,39,0.013304143751535,72,0.0146922869599237,39,0.00594817974478781,72,0.00578731748366719,39,0.0241463743329959,72,0.0246047991141506,39,0.0240555548537124,72,0.024514144215129
,38,0.256005274723684,73,0.287188364905306,38,0.268900952614436,73,0.298309544492495,38,0.232706184650099,73,0.261109794316123,38,0.242209722493052,73,0.26457861838241,38,0.245593281337822,73,0.262601685683758,38,0.265918988514608,73,0.289818868987675,38,0.273801345525221,73,0.301732301578549,38,0.290257393984891,73,0.317562771633105,38,0.0237736227496597,73,0.0240672248915489,38,0.0236166346615268,73,0.0238807679816779,38,0.00456248135526195,73,0.00461712409295005,38,0.00462225243405124,73,0.00461887626414212,38,0.0132475704544204,73,0.0145561728535118,38,0.00596157693891162,73,0.00575548715048318,38,0.0241359439748804,73,0.0246134246586018,38,0.0240280157111257,73,0.0245110452873055
,37,0.255402873052866,74,0.288408269552321,37,0.268218892451983,74,0.299380133053222,37,0.232165193149138,74,0.26228430282521,37,0.241618237754339,74,0.265651822208461,37,0.24495322365842,74,0.263492760046743,37,0.265200477903479,74,0.290759586237617,37,0.273315827987066,74,0.303006459599775,37,0.28956750870349,74,0.318645574533972,37,0.0237634808697374,74,0.0240829392653612,37,0.0236102734694548,74,0.0239105600084135,37,0.00456035060154909,74,0.00462845436461895,37,0.00462777884799781,74,0.00463560693048503,37,0.0131358726660469,74,0.0143352898143172,37,0.00598301568308033,74,0.00577823277886644,37,0.0241456584737291,74,0.0246111073282873,37,0.0240419878378965,74,0.0245477907837026
,36,0.254776435735635,75,0.289581276786579,36,0.267558039539527,75,0.300540422416483,36,0.23165351512126,75,0.26359925756864,36,0.241038104525801,75,0.266771952966235,36,0.244370031888087,75,0.264683613661123,36,0.264541432488907,75,0.291767226664018,36,0.272768181146667,75,0.3044243700592,36,0.288919710022838,75,0.319774855472898,36,0.0237123800041191,75,0.0241089004039136,36,0.0235871755029551,75,0.0239229861688256,36,0.00455431318793333,75,0.00462965890094919,36,0.0046111016965519,75,0.00464812964909732,36,0.0130524095751526,75,0.0141094975364282,36,0.00597497383398043,75,0.00580004739611507,36,0.0241131767040856,75,0.0246205743274169,36,0.0240209850027043,75,0.0245722411272916
,35,0.254216488988673,76,0.290682985693067,35,0.26691361081462,76,0.301623903429973,35,0.231171565597779,76,0.264845720183999,35,0.24043070167816,76,0.267880081298611,35,0.243854247503848,76,0.265952366017271,35,0.263883282090277,76,0.292635161142562,35,0.272193220384363,76,0.30584502039533,35,0.288253750544899,76,0.32091633617968,35,0.0236929211663364,76,0.0241019671311617,35,0.0235809713686679,76,0.023898063271623,35,0.00455677421359024,76,0.00465287171029297,35,0.00461862297225835,76,0.00465113060657119,35,0.0130036857380287,76,0.0138375967640882,35,0.00600168185025152,76,0.00578778928211354,35,0.0240863509842643,76,0.0246072823678484,35,0.0240204723153203,76,0.024542382420123
,34,0.253705784423325,77,0.29177924591952,34,0.266350385823881,77,0.302622061008703,34,0.230681361098028,77,0.26609635171002,34,0.239878440794391,77,0.268991175579056,34,0.243416123032876,77,0.267401149971756,34,0.26320895067819,77,0.293450532093151,34,0.2717281390929,77,0.30716884777,34,0.28760112107374,77,0.322183800504313,34,0.0237097940193529,77,0.0240640032681839,34,0.0235564264618248,77,0.0238869853637922,34,0.00453174058526335,77,0.00466620095864968,34,0.00460748636503082,77,0.00466878596585101,34,0.0130101814524837,77,0.0134687084436051,34,0.00595680342246041,77,0.0057695515458189,34,0.0240995212366107,77,0.0246083073315397,34,0.0239758633050878,77,0.0245482656623048
,33,0.253196531102184,78,0.29283667935989,33,0.265785011336061,78,0.303577973723944,33,0.230208264906907,78,0.267384633888615,33,0.239317450149137,78,0.270082232603131,33,0.242890029455366,78,0.269216932380904,33,0.262526359503571,78,0.294357333585976,33,0.271228212685058,78,0.308604393350803,33,0.286983629071306,78,0.32340382173915,33,0.0237285482411644,78,0.0240801532553367,33,0.0235819082230642,78,0.0239172087120602,33,0.00452420977082889,78,0.00464559868071142,33,0.00459813176990186,78,0.00467051413134109,33,0.0129576315672632,78,0.0131442896037394,33,0.00597628760418986,78,0.00578640644911105,33,0.0240950626609785,78,0.0246431212921854,33,0.023992400375065,78,0.0245703952203416
,32,0.252675481052397,79,0.293847805169785,32,0.265231927115131,79,0.304522227620697,32,0.229764011637721,79,0.268559567908343,32,0.238755255624679,79,0.271133791007029,32,0.242279269133326,79,0.2705963678126,32,0.261816121137569,79,0.295309963575072,32,0.27068656742596,79,0.30991072165027,32,0.286397953435272,79,0.324501628365694,32,0.0237176214732269,79,0.0240818139078841,32,0.0236101530955157,79,0.0239228602643237,32,0.00453385181193833,79,0.00463915155756938,32,0.00457503207122285,79,0.00465295185471256,32,0.0128711991598852,79,0.0126181376111244,32,0.00599246451315,79,0.00578008734859128,32,0.0240725532905842,79,0.0246418708736141,32,0.0240129951216537,79,0.0245639719025051
,31,0.252183946199458,80,0.294846945376928,31,0.264636281760456,80,0.305514813943445,31,0.229318290485849,80,0.269667412533494,31,0.238221960050994,80,0.272224322195438,31,0.241773756943698,80,0.271697211490564,31,0.261179273144207,80,0.296171906250989,31,0.270243854141789,80,0.311189456189656,31,0.285739698764462,80,0.325724959397012,31,0.0236918779899722,80,0.0240804386309478,31,0.0235993663215801,80,0.023941724580297,31,0.00453050943298028,80,0.00463309311791755,31,0.00457066366556435,80,0.00467299420279265,31,0.0128231816356029,80,0.011946551848942,31,0.00600472368484688,80,0.00576710258527397,31,0.0240757976976574,80,0.0246225319573295,31,0.023978466136866,80,0.0245645877040945
,30,0.251702198573001,81,0.295800004262065,30,0.264065842745277,81,0.3063643828799,30,0.228890993716702,81,0.270763092408433,30,0.237701346944623,81,0.273250548658559,30,0.241276301182623,81,0.273035020123806,30,0.260454590139756,81,0.297021057344662,30,0.269841007780722,81,0.312503382428275,30,0.285109623266786,81,0.326901306720933,30,0.0237092498349279,81,0.0240909346356287,30,0.02358881438956,81,0.0239273418973978,30,0.00454357710157588,81,0.00465568863025457,30,0.0045576030927115,81,0.00467811229669517,30,0.012816229153087,81,0.0113136608064216,30,0.00598827077293948,81,0.00574043217275946,30,0.0241068031828418,81,0.024632256334053,30,0.0239682222215096,81,0.0245532721511054
,29,0.251188165935386,82,0.296716908927966,29,0.263522414613948,82,0.307159905898123,29,0.228472616984216,82,0.271807204628257,29,0.237212967276463,82,0.274208685244257,29,0.240755108149474,82,0.274320886930293,29,0.259716099247871,82,0.297788461171985,29,0.269341890406019,82,0.31374894264329,29,0.284516935796899,82,0.328003500704584,29,0.0236593391025362,82,0.0241113923434794,29,0.0235916109758245,82,0.0239521812342619,29,0.00452483261550119,82,0.00466014835246846,29,0.00459205973397026,82,0.00469377295369506,29,0.0127053631277869,82,0.0106616785846392,29,0.00598377096078679,82,0.0057545663737044,29,0.0240495700577751,82,0.0246403250731511,29,0.0239763341859916,82,0.024588646581761
,28,0.250711855389012,83,0.29756750294486,28,0.263018446706475,83,0.30790938554558,28,0.228040046801362,83,0.272817724181005,28,0.236671577970724,83,0.275128080973151,28,0.240288138876232,83,0.275685184745542,28,0.259120298546578,83,0.298607678896973,28,0.268889008720044,83,0.314920355358893,28,0.284014222597639,83,0.329075698831064,28,0.0236432606386103,83,0.0241295268645398,28,0.0236192847405552,83,0.0239367058862142,28,0.00451408630865543,83,0.00464516398925894,28,0.0045719967161443,83,0.00469562948255158,28,0.0126833553297935,83,0.0100160049662973,28,0.00603230505845845,83,0.00573938036564813,28,0.0240360585060069,83,0.0246421594470477,28,0.023976197000241,83,0.0245960356760075
,27,0.250318497831341,84,0.298352548824534,27,0.262499371115826,84,0.308704723964185,27,0.227699348611869,84,0.273796488428893,27,0.236253362630041,84,0.276099196989373,27,0.239873513013427,84,0.277327596900257,27,0.258523242585946,84,0.299553980593861,27,0.268502146436159,84,0.315982779359364,27,0.283479604639657,84,0.330171846466131,27,0.0236529361241316,84,0.0241176178036014,27,0.0235939198879152,84,0.0239573743746022,27,0.00451894037297083,84,0.00466456199617448,27,0.00456988760570216,84,0.00470319001423038,27,0.0126556117653958,84,0.00945194363308093,27,0.00601030455753167,84,0.00574707246880363,27,0.0240446690678739,84,0.0246409862987227,27,0.0239715162855719,84,0.0246054840415472
,26,0.249909441672648,85,0.299232778952267,26,0.262025407204108,85,0.309456005316683,26,0.22730746566938,85,0.274740741105381,26,0.235791537349367,85,0.276991675239854,26,0.239373522932173,85,0.2789139692837,26,0.257895639436684,85,0.300391266140385,26,0.268093415107574,85,0.317080305565401,26,0.282955195277247,85,0.331282669737173,26,0.0236250625722923,85,0.024104213339037,26,0.0235828081828654,85,0.0239595534661685,26,0.00449856761643999,85,0.00468992554451654,26,0.00455628694701448,85,0.00470530257014015,26,0.012607539796296,85,0.00886266788287661,26,0.00598980386314514,85,0.00573848248142303,26,0.0240439674664384,85,0.0246399834190778,26,0.0239648514316029,85,0.0246048119879783
,25,0.249463031935118,86,0.300089273840733,25,0.261515408477061,86,0.310210701045866,25,0.226900264627316,86,0.27564611018027,25,0.235306625549323,86,0.277854946917946,25,0.238832205387539,86,0.2803186890011,25,0.257243168761451,86,0.301199575772603,25,0.26769394398022,86,0.318170043604598,25,0.282361001458467,86,0.332230698865882,25,0.0236247642189207,86,0.0241138235066075,25,0.0235552827030336,86,0.0239656610523882,25,0.00445824452359089,86,0.00470990371140447,25,0.00453387445287967,86,0.00470862886012241,25,0.0125748575402979,86,0.00823395076540561,25,0.00596925019122133,86,0.00571819203550775,25,0.0240646305261559,86,0.0246450714007026,25,0.0239327665854264,86,0.024602775775283
,24,0.24900019237263,87,0.300870808914927,24,0.260943097716521,87,0.311013733520286,24,0.22644668348097,87,0.276539871739604,24,0.234752066907077,87,0.278760064663039,24,0.238213449163958,87,0.281860148090979,24,0.256524254140426,87,0.302096810047787,24,0.267272690457439,87,0.31927561009044,24,0.281805653384097,87,0.33323779425236,24,0.0236239433028555,87,0.0241327401114912,24,0.0235590713089972,87,0.0239826569429678,24,0.00444047486474478,87,0.00470994366264555,24,0.00451345395501873,87,0.0047205897120446,24,0.0124914194947692,87,0.0077643313479116,24,0.0059751886622277,87,0.00570847020779492,24,0.024061373650291,87,0.0246458189967058,24,0.0239587368147849,87,0.0246044442932429
,23,0.248596396550664,88,0.301615865306661,23,0.260358429861718,88,0.311601581739387,23,0.226020043985894,88,0.27742906591332,23,0.234205660535811,88,0.279622615923387,23,0.237742092437961,88,0.283611935530746,23,0.255823294785024,88,0.3029593915737,23,0.266876065851777,88,0.320359452611656,23,0.281254585859363,88,0.334214721008433,23,0.0236085668389777,88,0.0241408570266391,23,0.0235316464584351,88,0.0239682323217478,23,0.00437712543706251,88,0.00473260104685329,23,0.00446893673571788,88,0.0047301646101156,23,0.0124484953284884,88,0.00738139023534224,23,0.00596006362117634,88,0.00570633112557091,23,0.0240191408372846,88,0.0246573565855992,23,0.0239219444742273,88,0.0245983621023275
,22,0.248187956206428,89,0.302408634445448,22,0.259824793721834,89,0.311850635554406,22,0.225655139794015,89,0.278298337724846,22,0.233741497472048,89,0.280456211679227,22,0.237367701599079,89,0.285210754536147,22,0.255202935119542,89,0.30378235857448,22,0.26657497270593,89,0.321408622680442,22,0.280769080702784,89,0.335260378205819,22,0.0236012097009904,89,0.0241336142680938,22,0.023565225787434,89,0.023986469631357,22,0.00433355449632624,89,0.00473426467488685,22,0.00444910555146368,89,0.00473467094636108,22,0.0124370496642904,89,0.00705384980507523,22,0.00595833748420102,89,0.0057125756735099,22,0.0240341412898843,89,0.0246701998229267,22,0.0239555943115471,89,0.0246184894830594
,21.2999992370605,0.247964464148916,89.6999969482422,0.302962023564158,21.2999992370605,0.259484104485882,89.6999969482422,0.31158449779455,21.2999992370605,0.22540825279383,89.6999969482422,0.278898479030884,21.2999992370605,0.233413542137737,89.6999969482422,0.281089250277389,21.2999992370605,0.237111133175301,89.6999969482422,0.286167073725672,21.2999992370605,0.254794759483241,89.6999969482422,0.304479715806627,21.2999992370605,0.266420782629406,89.6999969482422,0.322171244609612,21.2999992370605,0.280423711402226,89.6999969482422,0.336053969212564,21.2999992370605,0.0236081541397403,89.6999969482422,0.0241277936041496,21.2999992370605,0.0235702172409291,89.6999969482422,0.024005133999805,21.2999992370605,0.0043283675347053,89.6999969482422,0.00472638098904922,21.2999992370605,0.00442039653422505,89.6999969482422,0.00474437148821636,21.2999992370605,0.012424325627971,89.6999969482422,0.00685157519942507,21.2999992370605,0.00596018017303793,89.6999969482422,0.00572425107026414,21.2999992370605,0.0240645031333746,89.6999969482422,0.0246763877148724,21.2999992370605,0.0239363392202257,89.6999969482422,0.0246342812928464
