CSV Report,2023-09-20_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM KCl_260.00nm_90.0-21.0C,,500 mM KCl_260.00nm_21.0-90.0C,,500 mM KCl_260.00nm_90.0-21.0C_R1,,500 mM KCl_260.00nm_21.0-90.0C_R1,,5 mM KCl_260.00nm_90.0-21.0C,,5 mM KCl_260.00nm_21.0-90.0C,,5 mM KCl_260.00nm_90.0-21.0C_R1,,5 mM KCl_260.00nm_21.0-90.0C_R1,,1 mM KCl_260.00nm_90.0-21.0C,,1 mM KCl_260.00nm_21.0-90.0C,,1 mM KCl_260.00nm_90.0-21.0C_R1,,1 mM KCl_260.00nm_21.0-90.0C_R1,,0.1 mM KCl_260.00nm_90.0-21.0C,,0.1 mM KCl_260.00nm_21.0-90.0C,,0.1 mM KCl_260.00nm_90.0-21.0C_R1,,0.1 mM KCl_260.00nm_21.0-90.0C_R1,,500 mM KCl_400.00nm_90.0-21.0C,,500 mM KCl_400.00nm_21.0-90.0C,,500 mM KCl_400.00nm_90.0-21.0C_R1,,500 mM KCl_400.00nm_21.0-90.0C_R1,,5 mM KCl_400.00nm_90.0-21.0C,,5 mM KCl_400.00nm_21.0-90.0C,,5 mM KCl_400.00nm_90.0-21.0C_R1,,5 mM KCl_400.00nm_21.0-90.0C_R1,,1 mM KCl_400.00nm_90.0-21.0C,,1 mM KCl_400.00nm_21.0-90.0C,,1 mM KCl_400.00nm_90.0-21.0C_R1,,1 mM KCl_400.00nm_21.0-90.0C_R1,,0.1 mM KCl_400.00nm_90.0-21.0C,,0.1 mM KCl_400.00nm_21.0-90.0C,,0.1 mM KCl_400.00nm_90.0-21.0C_R1,,0.1 mM KCl_400.00nm_21.0-90.0C_R1,
,76,0.666138781377668,35,0.430506155741665,76,0.675021921029246,35,0.431408243449011,76,0.509589759139823,35,0.364886269270439,76,0.529242167828929,35,0.377439687029672,76,0.38235325005372,35,0.329452968402993,76,0.398063722079961,35,0.340884407781658,76,0.356742718465405,35,0.325849406535065,76,0.369194034268154,35,0.335836072416632,76,0.0248818698156661,35,0.0247940921109391,76,0.0246879462043747,35,0.0246142050346482,76,0.00582534308454871,35,0.0055116838858063,76,0.00567069772257644,35,0.005418409398229,76,0.00744892794070322,35,0.0075123120871337,76,0.00727569519404879,35,0.00728566142286782,76,0.0245390543530312,35,0.0243302562644248,76,0.0244003934118597,35,0.0241570251794042
,75,0.659366960275368,36,0.43426275300151,75,0.667603465067951,36,0.435157201004667,75,0.506340692529381,36,0.36772100730362,75,0.525962433606397,36,0.380454850798335,75,0.381557721957273,36,0.330885481717907,75,0.397182686642937,36,0.342342091366139,75,0.356467558479982,36,0.326894071059612,75,0.368819903337383,36,0.336947554828282,75,0.0248719105470615,36,0.0247483487782118,75,0.0247121897679326,36,0.0245856654003508,75,0.00580972162033086,36,0.00550323270378125,75,0.00565554397357654,36,0.00544508355855447,75,0.00743625830304188,36,0.00749920855455188,75,0.00728505336663807,36,0.00725501367470953,75,0.0245101087461469,36,0.0243499007124099,75,0.0244146494139393,36,0.0241502158573961
,74,0.652412122430963,37,0.438040742698513,74,0.660491296371469,37,0.438948192822074,74,0.503020490218726,37,0.370690757181069,74,0.522589797139714,37,0.383441533714439,74,0.380747810400808,37,0.332328448894025,74,0.396332411590208,37,0.343818005225175,74,0.356141382596964,37,0.327931807601215,74,0.368452873034794,37,0.338046567979625,74,0.0248716372354501,37,0.0247750879798417,74,0.0246885501862528,37,0.0245407748920817,74,0.00581556137517026,37,0.00553307748714422,74,0.00564149756743789,37,0.00545718657200332,74,0.00744828977934468,37,0.00752710319043084,74,0.00729658416232074,37,0.00721818178123655,74,0.0245109729374855,37,0.0243806930822396,74,0.0243931937373067,37,0.0241164480852948
,73,0.64580000333159,38,0.44201932463296,73,0.6531245753601,38,0.442905038114793,73,0.499664984505973,38,0.373538301676574,73,0.519240447420621,38,0.386524582470969,73,0.379897160997986,38,0.33373425321169,73,0.395471184941661,38,0.345416050549926,73,0.355807413679898,38,0.328909907780666,73,0.36812673776827,38,0.339100828279213,73,0.024913080011497,38,0.0248610847072371,73,0.0246233911873147,38,0.0245743952202781,73,0.00579870354856529,38,0.00554242932317233,73,0.00565581112485881,38,0.00545499077007641,73,0.00742325627066983,38,0.00755853330644521,73,0.00725468054961553,38,0.00725674999341088,73,0.0245068381915619,38,0.0243579428082839,73,0.0243532769964263,38,0.024113135509754
,72,0.638646771405515,39,0.446139780466,72,0.646061408577548,39,0.446755482676354,72,0.49636555245489,39,0.376470490644004,72,0.515806644874214,39,0.389510852056127,72,0.379092027345535,39,0.335254854714608,72,0.394546265839287,39,0.346966157482959,72,0.355477019059393,39,0.329945702108759,72,0.367717570199593,39,0.340167070586835,72,0.0249228844719115,39,0.0249141955831213,72,0.0246380871599849,39,0.0245959352003453,72,0.00581705284996593,39,0.00553801212344695,72,0.00564856801182579,39,0.00546565525682564,72,0.00743476684160595,39,0.00756704244274286,72,0.00724417294421267,39,0.00728255977357832,72,0.024510269045668,39,0.0243581544459213,72,0.0243423716696245,39,0.0241437585926991
,71,0.631542564732429,40,0.450293365280141,71,0.638567860602573,40,0.450727871538052,71,0.493018953099893,40,0.379480563432088,71,0.512340095358337,40,0.392553806870688,71,0.378221380912374,40,0.3368044911462,71,0.393608175106304,40,0.348522191033466,71,0.355122762382898,40,0.33096388805423,71,0.367250878914354,40,0.341219125014804,71,0.02491133233624,40,0.0248119726896661,71,0.0246599556429259,40,0.0246099803096443,71,0.00582198977486092,40,0.00555341735804525,71,0.00565746183095256,40,0.00545117664241337,71,0.00744420044315497,40,0.00752550540875099,71,0.00724896971002049,40,0.00728576407586452,71,0.0245235355458114,40,0.024346581995608,71,0.024337962426686,40,0.024149265243353
,70,0.624694369037687,41,0.454547965676675,70,0.631467426410874,41,0.454685198175017,70,0.490035722016144,41,0.382506615981075,70,0.508701921302801,41,0.395650115757802,70,0.377405934025348,41,0.338357293136315,70,0.392629726440913,41,0.350128313425398,70,0.354738530799557,41,0.331981524932319,70,0.366795722235316,41,0.342274926887733,70,0.0248341509727641,41,0.0247854356810491,70,0.0246606148092591,41,0.0246403936207717,70,0.00579664311583663,41,0.0055641504351648,70,0.00567491011253565,41,0.00547069582651725,70,0.00745430023272931,41,0.00750378115501287,70,0.00726762331594728,41,0.00731382600917441,70,0.0245059400586045,41,0.0243216994937819,70,0.024345468744593,41,0.0241750926234722
,69,0.618022878310827,42,0.458947006758596,69,0.62450768358467,42,0.458897246446822,69,0.487100978865817,42,0.385448295557912,69,0.505376181709522,42,0.398837358267777,69,0.376498772162222,42,0.339863290096094,69,0.391732265531968,42,0.351721887851371,69,0.354399257009316,42,0.333038145368699,69,0.36634531304576,42,0.343328178714434,69,0.0248868791272706,42,0.024826368836109,69,0.0246589852631666,42,0.0246170897428774,69,0.00578740086406271,42,0.00554891658902337,69,0.00567213766908557,42,0.00547780607941342,69,0.00744776135662764,42,0.00752497911089297,69,0.00726468964764733,42,0.00728987672853813,69,0.0245158475631661,42,0.0243422557514799,69,0.0243342653106493,42,0.0241819263083652
,68,0.611245546017556,43,0.463286451277908,68,0.617793425110272,43,0.463310593086825,68,0.483553632456464,43,0.388537754350968,68,0.501929075665264,43,0.40197332934011,68,0.375634575482412,43,0.341398320101627,68,0.390815022459611,43,0.353311843863619,68,0.35404880677542,43,0.334107779258205,68,0.365890564819269,43,0.344405441323743,68,0.024872588665401,43,0.0248115237141568,68,0.0246514924713665,43,0.0245899644113564,68,0.00576763222019937,43,0.00554710559549693,68,0.00565442137566334,43,0.00545422205818728,68,0.00742846074116234,43,0.00753010911290264,68,0.00724077878015811,43,0.00724384434364688,68,0.0245219747212649,43,0.0243734139812072,68,0.0243199275414071,43,0.0241598264499381
,67,0.604784960282344,44,0.46800335904276,67,0.610703978252858,44,0.468148333936239,67,0.48026435695485,44,0.391670243127265,67,0.498350441241593,44,0.405206003751432,67,0.374843436155507,44,0.342999249543448,67,0.389818554214069,44,0.354983402982979,67,0.353604723808172,44,0.335118100381593,67,0.365455268872685,44,0.345509751103043,67,0.0248701273788662,44,0.024793342547834,67,0.0246391349872751,44,0.0245849212112653,67,0.00577253597254496,44,0.00553756599566238,67,0.0056379137249685,44,0.00546584569372774,67,0.00747380122291112,44,0.00751403162414294,67,0.00722525853031374,44,0.00725098977861879,67,0.0245132818175887,44,0.024357526270783,67,0.0243158453769636,44,0.0241508498357158
