CSV Report,2023-09-19_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,100 mM KCl_260.00nm_90.0-21.0C,,100 mM KCl_260.00nm_21.0-90.0C,,100 mM KCl_260.00nm_90.0-21.0C_R1,,100 mM KCl_260.00nm_21.0-90.0C_R1,,50 mM KCl_260.00nm_90.0-21.0C,,50 mM KCl_260.00nm_21.0-90.0C,,50 mM KCl_260.00nm_90.0-21.0C_R1,,50 mM KCl_260.00nm_21.0-90.0C_R1,,25 mM KCl_260.00nm_90.0-21.0C,,25 mM KCl_260.00nm_21.0-90.0C,,25 mM KCl_260.00nm_90.0-21.0C_R1,,25 mM KCl_260.00nm_21.0-90.0C_R1,,10 mM KCl_260.00nm_90.0-21.0C,,10 mM KCl_260.00nm_21.0-90.0C,,10 mM KCl_260.00nm_90.0-21.0C_R1,,10 mM KCl_260.00nm_21.0-90.0C_R1,,100 mM KCl_400.00nm_90.0-21.0C,,100 mM KCl_400.00nm_21.0-90.0C,,100 mM KCl_400.00nm_90.0-21.0C_R1,,100 mM KCl_400.00nm_21.0-90.0C_R1,,50 mM KCl_400.00nm_90.0-21.0C,,50 mM KCl_400.00nm_21.0-90.0C,,50 mM KCl_400.00nm_90.0-21.0C_R1,,50 mM KCl_400.00nm_21.0-90.0C_R1,,25 mM KCl_400.00nm_90.0-21.0C,,25 mM KCl_400.00nm_21.0-90.0C,,25 mM KCl_400.00nm_90.0-21.0C_R1,,25 mM KCl_400.00nm_21.0-90.0C_R1,,10 mM KCl_400.00nm_90.0-21.0C,,10 mM KCl_400.00nm_21.0-90.0C,,10 mM KCl_400.00nm_90.0-21.0C_R1,,10 mM KCl_400.00nm_21.0-90.0C_R1,
,76,0.487781635467547,35,0.348083682106192,76,0.505197830006962,35,0.35960117388217,76,0.490708860173969,35,0.345974462832806,76,0.491918797418272,35,0.346450824621999,76,0.506548140197191,35,0.36299462414284,76,0.525919536309086,35,0.376658030685164,76,0.535356287682769,35,0.39341637180527,76,0.554604511517093,35,0.40609741664949,76,0.0239462846503413,35,0.0235921691522849,76,0.023670897066316,35,0.0233692989409317,76,0.00511803821685017,35,0.00526953635017406,76,0.00513654879696414,35,0.00520380796666708,76,0.00872269005302074,35,0.00871973189626189,76,0.00858076302042617,35,0.00858338876736202,76,0.0247115089320031,35,0.0246657106075317,76,0.0244005807467698,35,0.0244850352358577
,75,0.484376987262831,36,0.350491765255956,75,0.501465426551648,36,0.362168449692022,75,0.487312435920886,36,0.34877187602813,75,0.488437468679062,36,0.349219886636385,75,0.503212370552377,36,0.365895207447859,75,0.522538366040539,36,0.379609799165984,75,0.532065328219815,36,0.396150856047152,75,0.551189817091607,36,0.408998905161651,75,0.023947369339406,36,0.0236227117927725,75,0.0236732843894977,36,0.0233421465617869,75,0.00509848773325249,36,0.00526349866025077,75,0.00513378094427136,36,0.00522042551204266,75,0.00871510862839897,36,0.00873075991866383,75,0.00856262891283835,36,0.00857645697571084,75,0.0247191813364746,36,0.0246665118294177,75,0.0243940270084351,36,0.0244579032755111
,74,0.481053520526061,37,0.353147292421214,74,0.498064323250502,37,0.364829340126869,74,0.484049179468225,37,0.351604826555638,74,0.484859876973766,37,0.352014766719527,74,0.499974283777219,37,0.368685528081366,74,0.519051741347805,37,0.382540595384625,74,0.528682500394977,37,0.3990278438897,74,0.547796568514021,37,0.412054061949852,74,0.0239165701865693,37,0.0236606389687179,74,0.0236914971609006,37,0.0233459767712441,74,0.00510904983602724,37,0.00526271037186989,74,0.00510448563747265,37,0.00519554262778383,74,0.00868861952882319,37,0.00872648898194512,74,0.00858277586755729,37,0.00857932810960965,74,0.0247297289264507,37,0.0246658237349169,74,0.0243772950189586,37,0.0244515110079433
,73,0.477614947656305,38,0.355704959236047,73,0.494539940312776,38,0.367439731461812,73,0.480573116496312,38,0.35443825990613,73,0.481492916660588,38,0.354808181466928,73,0.496582782454721,38,0.371534682099085,73,0.515739545466671,38,0.385428079356384,73,0.525358374117059,38,0.401802245843936,73,0.544697570526494,38,0.414905005063456,73,0.0239249338044971,38,0.0236657804342053,73,0.0236716207427449,38,0.0233394656733995,73,0.00512925289475302,38,0.00526411633813471,73,0.00511016465942196,38,0.005176372758911,73,0.00869772980108927,38,0.00874635009174547,73,0.00860063047629764,38,0.00855864630120061,73,0.0247060385626986,38,0.0246355741880689,73,0.024369420364853,38,0.024419798962884
,72,0.474223398455632,39,0.358449388135794,72,0.491057076491066,39,0.370271382333057,72,0.477323307555654,39,0.357295296850168,72,0.478020303351287,39,0.357725324968646,72,0.49339376435551,39,0.374414757391695,72,0.51226157766658,39,0.388533934190268,72,0.522099601194561,39,0.404561621674454,72,0.541182421104123,39,0.417963272462081,72,0.0239029084724143,39,0.0236557855160611,72,0.0236773634018252,39,0.0233837691760444,72,0.00513357973202374,39,0.0052599814858995,72,0.00513024124658132,39,0.00518166206657938,72,0.00867372083311567,39,0.00874767852897573,72,0.00859133416497075,39,0.00858202561377515,72,0.0246609406799324,39,0.0246017633968069,72,0.0243821161609456,39,0.0243896628798044
,71,0.470722099269961,40,0.361262234032081,71,0.487411904441419,40,0.373088094982835,71,0.473876103626769,40,0.360313841227132,71,0.474442540337695,40,0.360586710603436,71,0.490004351164844,40,0.377403104338137,71,0.508657098667224,40,0.391430350176247,71,0.518925536199414,40,0.407600248440416,71,0.537664868684461,40,0.420966102977186,71,0.0238932114932313,40,0.0236395493850986,71,0.0236992889903876,40,0.0234038329544364,71,0.00514258778631338,40,0.00526842748447894,71,0.00511869500530378,40,0.00520759342970282,71,0.00865998706796647,40,0.00873071066178399,71,0.00863305836501474,40,0.00859732332963694,71,0.0246531575107431,40,0.0245846036602713,71,0.024398829117653,40,0.024398762770012
,70,0.46724828533985,41,0.364049335863311,70,0.483803505565976,41,0.376043794864796,70,0.47057803661971,41,0.363135968266289,70,0.471137845824708,41,0.363482747478094,70,0.486806136293012,41,0.380159700450563,70,0.505306129273709,41,0.39441028756802,70,0.515708635856829,41,0.410443213227419,70,0.534306565450353,41,0.423941464525468,70,0.0238823448999462,41,0.0236323520544472,70,0.0236626741923687,41,0.0234453335839168,70,0.00516931173330658,41,0.00527955975636772,70,0.00511643669690636,41,0.0052321195706876,70,0.00863171710624175,41,0.00870003283406431,70,0.00858700609664804,41,0.00862267874868763,70,0.0246616414267566,41,0.0245681466446855,70,0.0243761641157618,41,0.0244188259252801
,69,0.4639042721274,42,0.366913541640644,69,0.480060987991998,42,0.378929839359776,69,0.467077251337187,42,0.366188747775632,69,0.467666088784999,42,0.366487132341178,69,0.483573234491767,42,0.383153820050229,69,0.501832873723871,42,0.397539317864058,69,0.512474226993382,42,0.41326281548518,69,0.531007879964455,42,0.427009866772293,69,0.0239046839786704,42,0.0236574959947364,69,0.0236324802027804,42,0.0234330139554451,69,0.00515264108672002,42,0.00528706953088764,69,0.00512484430297472,42,0.00520870031112723,69,0.00861983782924268,42,0.00871842221794047,69,0.00855834701405981,42,0.00861544453525423,69,0.0246696804272576,42,0.0245614538763147,69,0.0243698112121674,42,0.0243737028012265
,68,0.460176435018919,43,0.369822862587148,68,0.476135032525403,43,0.381882923722289,68,0.46353600539948,43,0.369214739649228,68,0.464075513502056,43,0.369453729181747,68,0.480220794270095,43,0.386156621946599,68,0.498349775220007,43,0.400566205601891,68,0.509197838480652,43,0.416254135770819,68,0.527617782369623,43,0.430163861055205,68,0.0238735081730207,43,0.0236487708584087,68,0.0236380506655746,43,0.0234371626192144,68,0.00513563640775406,43,0.00527199623955679,68,0.00512519354984242,43,0.00521925920891734,68,0.00861767062095267,43,0.00870993434231067,68,0.00859718080399667,43,0.0086228163236006,68,0.0246450675719117,43,0.0245248927973642,68,0.0243741921009649,43,0.0243602678469308
,67,0.456329621585229,44,0.372717271036225,67,0.472132040201697,44,0.384869845032679,67,0.460013840496752,44,0.372291076042276,67,0.460500238141466,44,0.372384765088755,67,0.47682454662543,44,0.389192737279089,67,0.494864562908882,44,0.403572521351281,67,0.505860831416118,44,0.419297613337117,67,0.524157110168694,44,0.433362816292548,67,0.0238630435139396,44,0.0236175831220019,67,0.023639287929777,44,0.0234598445410466,67,0.0051871279159808,44,0.00524396035843209,67,0.00512033288277523,44,0.00521997496447265,67,0.00863424902003693,44,0.00868232093480007,67,0.00858202029864426,44,0.008637210015557,67,0.0246551311707892,44,0.0244990397717877,67,0.0243302154087639,44,0.0243671752436848
