CSV Report,2024-02-22_RNA_melting_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,500 mM MgCl2_260.00nm_90.0-21.0C,,500 mM MgCl2_260.00nm_21.0-90.0C,,500 mM MgCl2_260.00nm_90.0-21.0C_R1,,500 mM MgCl2_260.00nm_21.0-90.0C_R1,,0 mM NaCl_260.00nm_90.0-21.0C,,0 mM NaCl_260.00nm_21.0-90.0C,,0 mM NaCl_260.00nm_90.0-21.0C_R1,,0 mM NaCl_260.00nm_21.0-90.0C_R1,,0 mM NaCl_EDTA_260.00nm_90.0-21.0C,,0 mM NaCl_EDTA_260.00nm_21.0-90.0C,,0 mM NaCl_EDTA_260.00nm_90.0-21.0C_R1,,0 mM NaCl_EDTA_260.00nm_21.0-90.0C_R1,,0 mM KCl_EDTA_260.00nm_90.0-21.0C,,0 mM KCl_EDTA_260.00nm_21.0-90.0C,,0 mM KCl_EDTA_260.00nm_90.0-21.0C_R1,,0 mM KCl_EDTA_260.00nm_21.0-90.0C_R1,,500 mM MgCl2_400.00nm_90.0-21.0C,,500 mM MgCl2_400.00nm_21.0-90.0C,,500 mM MgCl2_400.00nm_90.0-21.0C_R1,,500 mM MgCl2_400.00nm_21.0-90.0C_R1,,0 mM NaCl_400.00nm_90.0-21.0C,,0 mM NaCl_400.00nm_21.0-90.0C,,0 mM NaCl_400.00nm_90.0-21.0C_R1,,0 mM NaCl_400.00nm_21.0-90.0C_R1,,0 mM NaCl_EDTA_400.00nm_90.0-21.0C,,0 mM NaCl_EDTA_400.00nm_21.0-90.0C,,0 mM NaCl_EDTA_400.00nm_90.0-21.0C_R1,,0 mM NaCl_EDTA_400.00nm_21.0-90.0C_R1,,0 mM KCl_EDTA_400.00nm_90.0-21.0C,,0 mM KCl_EDTA_400.00nm_21.0-90.0C,,0 mM KCl_EDTA_400.00nm_90.0-21.0C_R1,,0 mM KCl_EDTA_400.00nm_21.0-90.0C_R1,
,39,0.318775052153817,72,0.343950145254137,39,0.35987744912748,72,0.376792238956932,39,0.312773341973574,72,0.346421117449663,39,0.324362903964125,72,0.35897187042291,39,0.513231223583245,72,0.741468951605133,39,0.53328034773909,72,0.769282023622576,39,0.502534815534039,72,0.724574118669294,39,0.5202203039993,72,0.748974053354014,39,0.0274905767632697,72,0.0274569512835185,39,0.0272972784645632,72,0.0271861189196109,39,0.00668260112513675,72,0.00667016762786887,39,0.00665235532131092,72,0.00663432176072557,39,0.00676253170319092,72,0.0067718812575578,39,0.00678007847269573,72,0.00673584865550469,39,0.0259373106945383,72,0.025853176668342,39,0.0258457107515662,72,0.025864451253343
,38,0.318033090615305,73,0.34494776579085,38,0.359376041683052,73,0.37746424559211,38,0.311493980257548,73,0.347166696539442,38,0.32301075269638,73,0.359571734594114,38,0.507285393914142,73,0.750038893734419,38,0.527154471089981,73,0.77867482663581,38,0.496753353834056,73,0.732665911554206,38,0.514359922714888,73,0.75768775819376,38,0.0274548243923229,73,0.027433789148414,38,0.027314817818912,73,0.0272104078946504,38,0.00670654746112483,73,0.00667516729240701,38,0.00666748327197712,73,0.00662378739987594,38,0.00674735122943792,73,0.00674470326892655,38,0.00677604465300442,73,0.00676556751115692,38,0.0259508949309415,73,0.0258313485586306,38,0.0258699817684802,73,0.0258754487722705
,37,0.317237351824505,74,0.346029734092015,37,0.358881905269761,74,0.378127517956732,37,0.3101886330289,74,0.347991087210341,37,0.321635286671581,74,0.36034733763176,37,0.50143440110528,74,0.758544798056394,37,0.521024966556557,74,0.787797237190619,37,0.49108045437522,74,0.741051965200759,37,0.508286066874228,74,0.766322639237061,37,0.0274397446698726,74,0.027439021948154,37,0.0272752978770939,74,0.0272034853049182,37,0.00671538431359966,74,0.00669478011471494,37,0.00666219949959394,74,0.00664151008342239,37,0.00675318143670283,74,0.00672453612420853,37,0.00677363540026119,74,0.00677415578398952,37,0.0259445849755978,74,0.0258420140766643,37,0.0258758459621798,74,0.0258625702343536
,36,0.316457153762323,75,0.347191558515653,36,0.358400117277929,75,0.378752412180953,36,0.308828303667516,75,0.348771405135277,36,0.320238269676326,75,0.36118022796292,36,0.495509715284451,75,0.767321007778797,36,0.514893358452108,75,0.79670323313483,36,0.48538039297427,75,0.749927955359414,36,0.502387575532172,75,0.77520670981862,36,0.0274399003714162,75,0.0274314003241945,36,0.0273062094462765,75,0.0271882589152061,36,0.00672917057400137,75,0.00670733216236509,36,0.00669804124225793,75,0.00664929077046934,36,0.00675934866191223,75,0.00672780235327891,36,0.00677464315256203,75,0.00675377454564758,36,0.025964803174625,75,0.0258433299293906,36,0.0258508524588037,75,0.0258519495318345
,35,0.315699151514153,76,0.348281053442287,35,0.357796712957111,76,0.37968552954038,35,0.307533617379852,76,0.349478279883013,35,0.318866508043214,76,0.36200900462153,35,0.489814191915327,76,0.776016343335587,35,0.508903612153926,76,0.805903919623354,35,0.479814770361739,76,0.758582047106351,35,0.496683790011265,76,0.784324947034427,35,0.0274537840572787,76,0.0274277132690718,35,0.0272437871071591,76,0.0272191214070574,35,0.00670944419890504,76,0.00668615020220307,35,0.0066859353268117,76,0.00667776959501125,35,0.00675122203899568,76,0.00674538047010724,35,0.00673960197738799,76,0.00676236277653179,35,0.0259539931761656,76,0.0258313886301444,35,0.0258371571680973,76,0.0258718203112643
,34,0.314966303269128,77,0.34942033589398,34,0.357245858131507,77,0.380700767829434,34,0.306241183742545,77,0.350272645553714,34,0.317493243763323,77,0.362747710810106,34,0.484188591201929,77,0.785097354678814,34,0.502921291312679,77,0.815112747901598,34,0.474389004755598,77,0.767401356378675,34,0.490851485439026,77,0.793375106125564,34,0.0274709951786197,77,0.0274346653991289,34,0.0272859274631363,77,0.0271769267776589,34,0.00670145903206136,77,0.00668088031571724,34,0.00668062389650302,77,0.00666858500655242,34,0.00674852120089419,77,0.00678819935207606,34,0.00677671394168647,77,0.00672156504563081,34,0.0259458860439158,77,0.0258369876882713,34,0.0258806569849647,77,0.0258280876208068
,33,0.314173829103827,78,0.350633876859227,33,0.356741462957866,78,0.38129415991266,33,0.304959277776821,78,0.351041425984819,33,0.316149365821478,78,0.363421485814781,33,0.478636552339842,78,0.794166265616882,33,0.49726401584123,78,0.824174786444133,33,0.468902025178847,78,0.776506830827833,33,0.485294605609297,78,0.802198344097672,33,0.0274443558064155,78,0.0274541076661498,33,0.0273005423063348,78,0.0271888328747674,33,0.00671709192129014,78,0.00669899295249211,33,0.00668412721790217,78,0.00667135663525957,33,0.00676552952861537,78,0.00677174839439408,33,0.00678085389329809,78,0.00671633950892649,33,0.0259505371195256,78,0.0258199979184195,33,0.0258726352606832,78,0.0258427968353204
,32,0.31339398997478,79,0.351803190083995,32,0.356249328615683,79,0.382043195352175,32,0.303644991680703,79,0.35178630547194,32,0.314753667670009,79,0.364076378689109,32,0.472967037553316,79,0.802920459625871,32,0.491603330884249,79,0.833626387963576,32,0.463537127899782,79,0.785336362214408,32,0.479921641731718,79,0.811448907248377,32,0.0274345907115253,79,0.0274655220089661,32,0.0272698768429873,79,0.0272403022871652,32,0.00671147595168375,79,0.00669922612162815,32,0.00667511989067859,79,0.0066784960972934,32,0.00677707786689542,79,0.00678456985118629,32,0.0067636470995135,79,0.00676488123055057,32,0.0259563371318071,79,0.0258267982691715,32,0.0258657819773405,79,0.0259109114119074
,31,0.312665491617704,80,0.35316133939756,31,0.355625482055326,80,0.382987096387429,31,0.302406155953159,80,0.352535136688289,31,0.313402706602033,80,0.364778093661886,31,0.467701451657079,80,0.812560408057147,31,0.485927495961221,80,0.844014027679246,31,0.458251223610345,80,0.794638783512479,31,0.474392478225349,80,0.820993223118669,31,0.0274489971277339,80,0.0274373549963825,31,0.0272501036280702,80,0.0272425141153047,31,0.00671593315253198,80,0.00669727618817783,31,0.006668305814299,80,0.00667401171458568,31,0.00677281332215706,80,0.00681179835501912,31,0.00675055110209477,80,0.00677982187006522,31,0.0259542051099435,80,0.0258338800277756,31,0.0258587857809481,80,0.0259151033296859
,30,0.311974010293683,81,0.354513733597268,30,0.355108980730061,81,0.384027426427264,30,0.30107606331098,81,0.353202960017011,30,0.312056083403501,81,0.365634134276147,30,0.462374641569667,81,0.82173958462221,30,0.48054636021495,81,0.853903520155252,30,0.453088141077324,81,0.803253782060298,30,0.469110647938299,81,0.830756993678157,30,0.027453036902638,81,0.0274212881265381,30,0.0272677161042242,81,0.0272359121913286,30,0.00671529409488003,81,0.0066903285601396,30,0.0066892144949987,81,0.00665647079941939,30,0.00679108646459536,81,0.00679388936958878,30,0.00678721900198158,81,0.00676181911131654,30,0.0259700832829376,81,0.0258197394590141,30,0.0258809412730501,81,0.0258891771407408
,29,0.311260152931951,82,0.355836740488791,29,0.354521124022701,82,0.384801512550139,29,0.299788514288261,82,0.353838304719848,29,0.310657310540018,82,0.366568582311934,29,0.457279976611476,82,0.830380609561053,29,0.474969559044968,82,0.863466587820185,29,0.448118782218571,82,0.811796005633468,29,0.463757183059395,82,0.840687739268589,29,0.0274596461856728,82,0.02745863882118,29,0.0272995021263769,82,0.0272741219762363,29,0.00669855607536205,82,0.00668529821541848,29,0.00667847299158929,82,0.00668454859520195,29,0.00681331003562728,82,0.00679732016075003,29,0.00681224460127115,82,0.00678785437040176,29,0.0259718739390152,82,0.025819527849113,29,0.0258933664985437,82,0.025903968828616
,28,0.310475710944653,83,0.357439407715416,28,0.35402274314345,83,0.385651415624872,28,0.298450144619076,83,0.354521828148935,28,0.309283199697612,83,0.367330820331411,28,0.451931605677976,83,0.840000242206203,28,0.469681342435213,83,0.872717358671492,28,0.442988780661214,83,0.821280254655059,28,0.459109309564199,83,0.850575852433312,28,0.0274308425414671,83,0.0274995312484892,28,0.0273149257755509,83,0.0272541020858363,28,0.00670575213175644,83,0.00668443024840732,28,0.00667587013763131,83,0.0066969834335761,28,0.00679095614818649,83,0.00683449043020571,28,0.00680340686284978,83,0.00680337969342561,28,0.025979955515301,83,0.0258325971255654,28,0.0259095648875512,83,0.0259035777681138
,27,0.309807378363847,84,0.35893699781331,27,0.353489849157415,84,0.386638924478679,27,0.297259672058815,84,0.355210627463516,27,0.308164047678337,84,0.368246694725091,27,0.447353585364046,84,0.849258735445675,27,0.46529418504446,84,0.88302643266821,27,0.438684861762987,84,0.830457363708853,27,0.454447974018034,84,0.86042779987068,27,0.0274284823669317,84,0.0274936903384867,27,0.0272935064088783,84,0.0272590773718311,27,0.00671687023548982,84,0.00669880938144405,27,0.0066768958812963,84,0.00668291408288767,27,0.0067788038531286,84,0.00684107972170483,27,0.00678683687178626,84,0.0068102276130825,27,0.0259677456256644,84,0.0258205900472845,27,0.0259040180650538,84,0.0258862267912087
,26,0.309193406450797,85,0.360022868724122,26,0.352966695055067,85,0.387729678884756,26,0.296054719905144,85,0.355879654326326,26,0.306892555216564,85,0.36902427807551,26,0.442779536878885,85,0.85859149385342,26,0.460435360227114,85,0.893130790893555,26,0.433877723620131,85,0.839647062851515,26,0.449672626832046,85,0.870145913049731,26,0.0273951755401095,85,0.0274659423610203,26,0.0272814561294092,85,0.0272631433971044,26,0.00671230404044554,85,0.00669894340061477,26,0.00668335919630268,85,0.00668222205367326,26,0.00679322660098682,85,0.0068021523557675,26,0.00678045224332264,85,0.00681285905248224,26,0.0259729672210494,85,0.0258017905499691,26,0.0259041267559148,85,0.0258960021283136
,25,0.308572889305543,86,0.361329848041883,25,0.352454510047647,86,0.388711195771212,25,0.294782293348948,86,0.356522976202805,25,0.305561579226938,86,0.36977482679495,25,0.438047783229695,86,0.867990439197916,25,0.455369678701884,86,0.903459997270185,25,0.429541852819079,86,0.84891125856477,25,0.444609445650907,86,0.880213895156897,25,0.0274169645893373,86,0.0274550141768765,25,0.027295403567568,86,0.0272562498869618,25,0.00669987087807483,86,0.00668744465543199,25,0.00668013698427341,86,0.00669868612855631,25,0.00679122250078213,86,0.00679410408727493,25,0.00678406253306658,86,0.00682636145957129,25,0.0259895992984924,86,0.0258212622110318,25,0.0259290108345834,86,0.02590124738514
,24,0.307870871450658,87,0.36269952044144,24,0.351817189128254,87,0.389848279463488,24,0.293404613379978,87,0.35722367638685,24,0.304110249595554,87,0.370615881320503,24,0.433119557598424,87,0.877940983619816,24,0.449866118698772,87,0.913862630347288,24,0.424536817444352,87,0.858906708357932,24,0.439352932463129,87,0.89035527775179,24,0.0274189216778303,87,0.0274609613870719,24,0.0272876977004925,87,0.0272213454656791,24,0.00669432594398146,87,0.00670614457027336,24,0.00667916322960193,87,0.00669884993571984,24,0.00676275957275169,87,0.00682208609996621,24,0.00677093987477876,87,0.00679087299962008,24,0.0259849876472743,87,0.0258397747147607,24,0.0259394874922851,87,0.0258707737907699
,23,0.307227114489185,88,0.364125348799178,23,0.351184015467789,88,0.391071710003649,23,0.292115231393886,88,0.35789182405393,23,0.302832203441864,88,0.371471218219378,23,0.428341151452244,88,0.887331193086411,23,0.444984284121404,88,0.912231315274005,23,0.420154242688099,88,0.868569196488762,23,0.434729207776989,88,0.900304185271255,23,0.0274126051306764,88,0.0274774333017973,23,0.0272097719891717,88,0.0272586354047343,23,0.00670252132440496,88,0.00670615895609717,23,0.0066782329278907,88,0.00670953690883655,23,0.00677015743379301,88,0.00684332779852129,23,0.00674471451212872,88,0.00680384899557432,23,0.0260083049637265,88,0.0258455631763533,23,0.0259102036060736,88,0.0258755921583525
,22,0.306617644360134,89,0.365768951478042,22,0.350593746965748,89,0.392293685719757,22,0.290979492614417,89,0.358668025497467,22,0.301716467730265,89,0.372291251665368,22,0.424100953407338,89,0.897648840758975,22,0.440587439847294,89,0.905524868903802,22,0.416013339441291,89,0.878127714157223,22,0.4304651879813,89,0.909996888380398,22,0.02742163104329,89,0.0274982828250019,22,0.0272275208790702,89,0.0272876875548698,22,0.00669028045890613,89,0.00669357889013022,22,0.00667471166993084,89,0.00671015585786555,22,0.00674410803020009,89,0.00684601116426914,22,0.00674746781856661,89,0.00682388198068357,22,0.0260289401732079,89,0.0258356081862687,22,0.0259262790976721,89,0.025897796262779
,21.2999992370605,0.306179528124312,89.6999969482422,0.366875057807772,21.2999992370605,0.350276814061868,89.6999969482422,0.393368411708996,21.2999992370605,0.290189279077001,89.6999969482422,0.359257557251082,21.2999992370605,0.300933523614689,89.6999969482422,0.372899441209866,21.2999992370605,0.421156880369835,89.6999969482422,0.904925717465901,21.2999992370605,0.437513189432746,89.6999969482422,0.908915882072732,21.2999992370605,0.413178414716889,89.6999969482422,0.885638973315102,21.2999992370605,0.427465526648234,89.6999969482422,0.916894849811982,21.2999992370605,0.0273965473950611,89.6999969482422,0.0274864780709212,21.2999992370605,0.0272647222523027,89.6999969482422,0.0272877736175468,21.2999992370605,0.00668202904642015,89.6999969482422,0.00670090884521972,21.2999992370605,0.0066714298950593,89.6999969482422,0.00670979449146026,21.2999992370605,0.00672017914867652,89.6999969482422,0.00684251680168433,21.2999992370605,0.00674793630603577,89.6999969482422,0.00683632646887726,21.2999992370605,0.0260251673427223,89.6999969482422,0.0258164677359549,21.2999992370605,0.0259489408738744,89.6999969482422,0.0259180759211775
