CSV Report,2024-02-01_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,516 mM NaCl_260.00nm_90.0-21.0C,,516 mM NaCl_260.00nm_21.0-90.0C,,516 mM NaCl_260.00nm_90.0-21.0C_R1,,516 mM NaCl_260.00nm_21.0-90.0C_R1,,116 mM NaCl_260.00nm_90.0-21.0C,,116 mM NaCl_260.00nm_21.0-90.0C,,116 mM NaCl_260.00nm_90.0-21.0C_R1,,116 mM NaCl_260.00nm_21.0-90.0C_R1,,66 mM NaCl_260.00nm_90.0-21.0C,,66 mM NaCl_260.00nm_21.0-90.0C,,66 mM NaCl_260.00nm_90.0-21.0C_R1,,66 mM NaCl_260.00nm_21.0-90.0C_R1,,41 mM NaCl_260.00nm_90.0-21.0C,,41 mM NaCl_260.00nm_21.0-90.0C,,41 mM NaCl_260.00nm_90.0-21.0C_R1,,41 mM NaCl_260.00nm_21.0-90.0C_R1,,516 mM NaCl_400.00nm_90.0-21.0C,,516 mM NaCl_400.00nm_21.0-90.0C,,516 mM NaCl_400.00nm_90.0-21.0C_R1,,516 mM NaCl_400.00nm_21.0-90.0C_R1,,116 mM NaCl_400.00nm_90.0-21.0C,,116 mM NaCl_400.00nm_21.0-90.0C,,116 mM NaCl_400.00nm_90.0-21.0C_R1,,116 mM NaCl_400.00nm_21.0-90.0C_R1,,66 mM NaCl_400.00nm_90.0-21.0C,,66 mM NaCl_400.00nm_21.0-90.0C,,66 mM NaCl_400.00nm_90.0-21.0C_R1,,66 mM NaCl_400.00nm_21.0-90.0C_R1,,41 mM NaCl_400.00nm_90.0-21.0C,,41 mM NaCl_400.00nm_21.0-90.0C,,41 mM NaCl_400.00nm_90.0-21.0C_R1,,41 mM NaCl_400.00nm_21.0-90.0C_R1,
,76,0.597795485248419,35,0.379344582927215,76,0.615855531575199,35,0.390018568289348,76,0.618480183922596,35,0.374951694026536,76,0.638918974605694,35,0.389291916488183,76,0.644671963423164,35,0.395405357993123,76,0.669212297645798,35,0.409296821960653,76,0.671831580010257,35,0.424622593243843,76,0.701341181096812,35,0.441035768282783,76,0.0243158605796815,35,0.0240745301430069,76,0.0242215430424196,35,0.0239584903431857,76,0.00560649106760175,35,0.00551849581904133,76,0.00573094956838773,35,0.00557384308454933,76,0.00771942662987801,35,0.00774837070581465,76,0.00783125473887681,35,0.00769750224032994,76,0.0259026896670398,35,0.0259674861394055,76,0.0258402835852671,35,0.0258763818834647
,75,0.591333552283738,36,0.382795124375868,75,0.609130016783839,36,0.393590605621691,75,0.61185773823994,36,0.378826890116941,75,0.632227844449761,36,0.393435306957846,75,0.638345020718555,36,0.39962452724656,75,0.662221675588978,36,0.413743887848059,75,0.665280693061334,36,0.429105510817274,75,0.694523542388713,36,0.445709490183862,75,0.0243003612582805,36,0.0241072602666997,75,0.0242401540384669,36,0.0239762007734698,75,0.0056010599745931,36,0.00551570451511442,75,0.00572104631452807,36,0.00558561636132937,75,0.00772321133408418,36,0.00775843925079244,75,0.00785137823062794,36,0.0077105314929098,75,0.0258903850062955,36,0.0259746797068858,75,0.0258548853981337,36,0.0258840472862207
,74,0.585156607283423,37,0.386341070802165,74,0.602392395349026,37,0.397207768096198,74,0.605563369432164,37,0.382980516104332,74,0.625838217746959,37,0.397474341473969,74,0.632053442957897,37,0.404145784344987,74,0.655581368575711,37,0.418176190708338,74,0.65922551393591,37,0.433768744724757,74,0.687898371772095,37,0.450451438738724,74,0.024297704193198,37,0.024093398615801,74,0.0242425904149294,37,0.0239899416089598,74,0.0055891140771679,37,0.00553481930453304,74,0.00572227153785383,37,0.00556918640890697,74,0.00771394066456737,37,0.00775161589103038,74,0.00785437001240543,37,0.00770606238681043,74,0.0258944011747176,37,0.0259616737872801,74,0.0258722565310301,37,0.0258857883734576
,73,0.578630008026402,38,0.390030024210001,73,0.595838073615312,38,0.400943092279974,73,0.599201150311162,38,0.38722139509113,73,0.619134802201276,38,0.401767336124119,73,0.625608658215061,38,0.40867052905425,73,0.648679564506148,38,0.422865018837442,73,0.652880998221296,38,0.438419850406294,73,0.68130687645779,38,0.455196907498844,73,0.0243058100111794,38,0.0241051827295725,73,0.0242217011406336,38,0.0239709673546594,73,0.00560205518667835,38,0.00553983568588412,73,0.0057274960801327,38,0.00555765117131203,73,0.00771901481988916,38,0.00776033974794653,73,0.00784426011632907,38,0.00769970276423383,73,0.0259291322218266,38,0.0259700748197314,73,0.0258629365186128,38,0.0258734173105107
,72,0.572216008419622,39,0.393719488108811,72,0.588976761953086,39,0.404724905989468,72,0.593348629399743,39,0.391550452989039,72,0.612758839594347,39,0.406141896191547,72,0.619650227916884,39,0.413230486411874,72,0.642114828605937,39,0.427717545920061,72,0.646657658419708,39,0.443121702912272,72,0.674523431956257,39,0.460225232291419,72,0.0243126014135414,39,0.0241335736618927,72,0.0241986108444675,39,0.0240037875412795,72,0.00560159906693869,39,0.00553548460864519,72,0.00572524857344192,39,0.00557876329739157,72,0.00772205894664489,39,0.00778502961686112,72,0.00782707056555075,39,0.00773098879620388,72,0.0259253084775718,39,0.0260081704902721,72,0.0258436215799414,39,0.0259284063343701
,71,0.566038974721596,40,0.39749576766832,71,0.582565329994561,40,0.408614364935929,71,0.58733144203015,40,0.396169764829647,71,0.606140749767874,40,0.410541773828816,71,0.613369645775689,40,0.418045148179186,71,0.635377225577678,40,0.432548565690561,71,0.640350401330382,40,0.44788047517472,71,0.667943295250817,40,0.465113243220225,71,0.024271521526853,40,0.0240989792285183,71,0.0242116294155691,40,0.0239894595460626,71,0.00561660738990337,40,0.00551893652401275,71,0.00571698065407647,40,0.00557605503938255,71,0.00770358412844963,40,0.00772893733239569,71,0.00784351563329697,40,0.00770127207935227,71,0.0259015466399493,40,0.0259808313224302,71,0.025851035912058,40,0.0259091533036966
,70,0.559426151212412,41,0.401434529523338,70,0.575857843567366,41,0.41266316597846,70,0.581226875403969,41,0.400772269396217,70,0.599433549663546,41,0.415086771253977,70,0.607042068784208,41,0.422834973582444,70,0.628609102192312,41,0.437606813403901,70,0.634154601793783,41,0.452779293762881,70,0.661212752566775,41,0.470213989726921,70,0.0242652394787075,41,0.0240824327361223,70,0.0241881062615959,41,0.0239798383916084,70,0.00561691845536482,41,0.00552458595986741,70,0.00568627448910099,41,0.00557165330324865,70,0.00771088658465651,41,0.00771138747810787,70,0.00783248179708407,41,0.00768263893443851,70,0.0259000567285593,41,0.0259556344751263,70,0.0258446466249561,41,0.0259084882715746
,69,0.553125171497012,42,0.405322243747974,69,0.569406725017982,42,0.416687654878045,69,0.574660465498765,42,0.405431613019902,69,0.592839605239329,42,0.419669780242382,69,0.600639035167534,42,0.427667943705339,69,0.621960898436375,42,0.442705185049338,69,0.627955904562399,42,0.457587881238478,69,0.654659884152958,42,0.475418765898849,69,0.0242895444591075,42,0.0240973244513454,69,0.0241780846771082,42,0.0239747442013749,69,0.0056078159271791,42,0.00553366656802584,69,0.00568930585438198,42,0.00556389320472646,69,0.0076948572695137,42,0.00775159195948942,69,0.00782136904908935,42,0.00768328139725802,69,0.0259018504066298,42,0.0259522283131406,69,0.0258297694269354,42,0.0259055040896206
,68,0.546959403608672,43,0.409434040118738,68,0.562932922238299,43,0.420981449126409,68,0.568000376827252,43,0.410204116192363,68,0.586097203555731,43,0.424262665559815,68,0.594349852019772,43,0.432604171474089,68,0.615148738716988,43,0.447798801594642,68,0.621746830241212,43,0.462600350018353,68,0.648306135619301,43,0.480493511762387,68,0.0242425229337258,43,0.0240850639278954,68,0.0241941501700267,43,0.0240122891169629,68,0.00559138774589906,43,0.00552829574778122,68,0.00571717162475964,43,0.00556949811160494,68,0.00767599998376701,43,0.00775473116569876,68,0.00783625315401656,43,0.00771603582421041,68,0.0258933636537193,43,0.0259579086484339,68,0.0258424378082547,43,0.025904147978243
,67,0.540983348634795,44,0.41365314547628,67,0.556829130537672,44,0.425172225639583,67,0.561286517149772,44,0.415140651674142,67,0.579231796005265,44,0.42888532762844,67,0.588008621467881,44,0.437705586656936,67,0.608261995044259,44,0.452988173322466,67,0.615830808569989,44,0.467604445277032,67,0.64170612756953,44,0.485625858973991,67,0.0242602955564795,44,0.0241114294935863,67,0.0242028265549009,44,0.0240186161943558,67,0.0056066167047036,44,0.00553812452302863,67,0.00573644742158897,44,0.00556328062858375,67,0.00770535134466496,44,0.00776272209713995,67,0.00784452809299917,44,0.00772717580012142,67,0.0259124962592965,44,0.0259822369493726,67,0.0258587088797657,44,0.0258904445841091
