CSV Report,2023-09-24_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM NaCl_260.00nm_90.0-21.0C,,26 mM NaCl_260.00nm_21.0-90.0C,,26 mM NaCl_260.00nm_90.0-21.0C_R1,,26 mM NaCl_260.00nm_21.0-90.0C_R1,,21 mM NaCl_260.00nm_90.0-21.0C,,21 mM NaCl_260.00nm_21.0-90.0C,,21 mM NaCl_260.00nm_90.0-21.0C_R1,,21 mM NaCl_260.00nm_21.0-90.0C_R1,,17 mM NaCl_260.00nm_90.0-21.0C,,17 mM NaCl_260.00nm_21.0-90.0C,,17 mM NaCl_260.00nm_90.0-21.0C_R1,,17 mM NaCl_260.00nm_21.0-90.0C_R1,,8.3 mM NaCl_260.00nm_90.0-21.0C,,8.3 mM NaCl_260.00nm_21.0-90.0C,,8.3 mM NaCl_260.00nm_90.0-21.0C_R1,,8.3 mM NaCl_260.00nm_21.0-90.0C_R1,,26 mM NaCl_400.00nm_90.0-21.0C,,26 mM NaCl_400.00nm_21.0-90.0C,,26 mM NaCl_400.00nm_90.0-21.0C_R1,,26 mM NaCl_400.00nm_21.0-90.0C_R1,,21 mM NaCl_400.00nm_90.0-21.0C,,21 mM NaCl_400.00nm_21.0-90.0C,,21 mM NaCl_400.00nm_90.0-21.0C_R1,,21 mM NaCl_400.00nm_21.0-90.0C_R1,,17 mM NaCl_400.00nm_90.0-21.0C,,17 mM NaCl_400.00nm_21.0-90.0C,,17 mM NaCl_400.00nm_90.0-21.0C_R1,,17 mM NaCl_400.00nm_21.0-90.0C_R1,,8.3 mM NaCl_400.00nm_90.0-21.0C,,8.3 mM NaCl_400.00nm_21.0-90.0C,,8.3 mM NaCl_400.00nm_90.0-21.0C_R1,,8.3 mM NaCl_400.00nm_21.0-90.0C_R1,
,86,0.833261529265752,25,0.42416946230362,86,0.869314361655487,25,0.440043011255724,86,0.561082768734536,25,0.332980527548921,86,0.588845383450764,25,0.346098156765948,86,0.395370622453134,25,0.302704536607255,86,0.411358539782481,25,0.31312823492472,86,0.551683083266919,25,0.354625329117609,86,0.574197808670308,25,0.366414487358648,86,0.0199111121419739,25,0.0196459718325537,86,0.0200257880346916,25,0.0197779405998152,86,0.00173505751789668,25,0.00202693334967974,86,0.00208007103646394,25,0.00225187592214607,86,-0.000194051745264102,25,-0.000288187722946826,86,0.00017529006702411,25,-0.00018778971526063,86,0.0193355232031439,25,0.0194011453139103,86,0.0195727883411511,25,0.019442762967744
,85,0.827415769804026,26,0.428144288572023,85,0.861490308766339,26,0.444247111982065,85,0.557899615388145,26,0.335514064023014,85,0.584687177698555,26,0.348749946826003,85,0.394961776367486,26,0.303995635898341,85,0.410021393286297,26,0.314591519269249,85,0.548406267315433,26,0.357048771129036,85,0.570602983283063,26,0.369076742152625,85,0.0199378148505364,26,0.0196164804440396,85,0.0200711608074833,26,0.0197591495997429,85,0.00177011840092341,26,0.00199302175660276,85,0.00206479608201118,26,0.00224215611087623,85,-0.000188881123594695,26,-0.000358098251392865,85,0.000160370061057995,26,-0.000203555324637939,85,0.019319854832035,26,0.0193491208091154,85,0.019598737998457,26,0.0194487495914954
,84,0.819567338138102,27,0.432120837622784,84,0.853569287019587,27,0.448219384125819,84,0.553966133076167,27,0.337955037088094,84,0.58035240800349,27,0.351210999112548,84,0.393709001264554,27,0.305481608274639,84,0.408578166360357,27,0.316000854774386,84,0.545211081610958,27,0.359518917258763,84,0.567064443962414,27,0.371839240779778,84,0.0199332669065409,27,0.0196105609533944,84,0.0200754545160961,27,0.0197592846499635,84,0.0017694609851113,27,0.00196664795970821,84,0.00208331093534439,27,0.00220181735105309,84,-0.000188088130120155,27,-0.000329257189694208,84,0.000102195474400838,27,-0.000220999082498687,84,0.0193337822393601,27,0.0193335135843303,84,0.0195854080170128,27,0.0194373142904223
,83,0.811807882286635,28,0.436123552402077,83,0.845375790709245,28,0.452269878957583,83,0.549833758102788,28,0.340569961476337,83,0.575959754344113,28,0.353873176188991,83,0.392688292687063,28,0.307095657948585,83,0.407255290617191,28,0.31764166267051,83,0.541764927441257,28,0.36207176444675,83,0.563463456861108,28,0.374626599651085,83,0.0199400221445764,28,0.0195784927127041,83,0.0200545475584709,28,0.0197369814072169,83,0.00176342284044603,28,0.00196882544663544,83,0.00209718313084013,28,0.00219993156745025,83,-0.000181787653446206,28,-0.000339050671997936,83,0.000131881375266267,28,-0.000214170923561206,83,0.019374193782131,28,0.0193442414469308,83,0.0195626950191992,28,0.0194166054320993
,82,0.804040739905674,29,0.440404389296518,82,0.83705548250777,29,0.456812527006144,82,0.546048026510386,29,0.343409504798512,82,0.571743796465606,29,0.356740668270415,82,0.391484124246672,29,0.308677645163205,82,0.406215786764786,29,0.319277301160753,82,0.538434857962899,29,0.364679758308189,82,0.560017365329847,29,0.377404700356349,82,0.0199615239425618,29,0.0196128639632566,82,0.0200599354069092,29,0.0197395358642928,82,0.00177943892219844,29,0.0019823814150037,82,0.00207651882153268,29,0.00220242498621359,82,-0.000185390859676487,29,-0.000355426957273957,82,0.000136250688772463,29,-0.000226744907504651,82,0.0193669525318878,29,0.0193600400717991,82,0.0195545156585701,29,0.0194143370606508
,81,0.796571959823066,30,0.445108982382992,81,0.829217576485098,30,0.461581168101165,81,0.542327865700236,30,0.34636065926164,81,0.5675975555208,30,0.359816284344301,81,0.390462241145783,30,0.310178051075897,81,0.4051100923598,30,0.320850241950562,81,0.535183883125279,30,0.367359585732385,81,0.556719148198287,30,0.380062723086785,81,0.0199365951843691,30,0.0196529706339299,81,0.0200639069034158,30,0.0197047065901604,81,0.00178254637918619,30,0.0019787128180211,81,0.00207493220285837,30,0.00219008929147154,81,-0.000158595442712631,30,-0.000371566332829577,81,9.75766756651868E-05,30,-0.000242359137287143,81,0.01932947656528,30,0.019367684076516,81,0.019561685289532,30,0.0194091337276637
,80,0.788844077820145,31,0.449688171360713,80,0.821366227350312,31,0.466308350299195,80,0.538477652486181,31,0.349174293728777,80,0.563719482838086,31,0.362895746716806,80,0.389620146932171,31,0.311620136335177,80,0.404184975923856,31,0.322555533593568,80,0.532000400737493,31,0.370052604212876,80,0.55336026406322,31,0.382696969244598,80,0.0199586924073416,31,0.0196199567207662,80,0.0200526305495637,31,0.0197147834142324,80,0.00179641180225169,31,0.0019798478251658,80,0.00209355625742529,31,0.00220320102705403,80,-0.000115823391354814,31,-0.000389840517785258,80,6.91465114153266E-05,31,-0.000212268574633991,80,0.0193407326943339,31,0.0193751285906704,80,0.0195709048433941,31,0.0194318443992641
,79,0.781148122663785,32,0.454304824012714,79,0.813238072052099,32,0.471148986955098,79,0.534769618467057,32,0.352281045140499,79,0.559459496501566,32,0.365998002896582,79,0.38866984925151,32,0.313314031806145,79,0.403072183940367,32,0.324246462256608,79,0.529011709199093,32,0.37269921159047,79,0.549888648437944,32,0.385462994889867,79,0.0199284626946014,32,0.019604502134447,79,0.0200679088664241,32,0.0197141324210951,79,0.00180073484332282,32,0.00198983316362876,79,0.00210198506790953,32,0.00221519757602429,79,-0.000163820758314913,32,-0.000373255438419231,79,9.23083240289389E-05,32,-0.000202442785630362,79,0.019360546303829,32,0.0193792990723049,79,0.0195816958252674,32,0.019450291526185
,78,0.773559519820291,33,0.459319278565898,78,0.80514106271452,33,0.476211255101801,78,0.531151393606416,33,0.355432953402882,78,0.555297269129298,33,0.369235193283897,78,0.387573082625338,33,0.314947727039332,78,0.401895364031388,33,0.325858623250343,78,0.526046542281769,33,0.375487659652267,78,0.546490676829094,33,0.388291847804281,78,0.019910402745108,33,0.0196115072992729,78,0.0200756080190935,33,0.0197344981343853,78,0.00180066606045287,33,0.0019694659421833,78,0.00212574604333646,33,0.00220955876663043,78,-0.000162451607547091,33,-0.000364929077992005,78,7.49326328020597E-05,33,-0.000182466415993454,78,0.019350661319781,33,0.019373946730949,78,0.0195925489013706,33,0.0194600930996109
,77,0.766160987365977,34,0.464476258115862,77,0.797150044356502,34,0.481393460949564,77,0.527291336713812,34,0.358523033496269,77,0.551156377950836,34,0.372473987347984,77,0.386331303433124,34,0.316524206957477,77,0.400728303130534,34,0.327460854723017,77,0.522791393040157,34,0.378224271656726,77,0.542963598465685,34,0.391173162729037,77,0.0199215938559655,34,0.0196499305212902,77,0.0200695394652367,34,0.0197447731665397,77,0.00180165049972913,34,0.00196779221387911,77,0.00214548338389553,34,0.00221075513780287,77,-0.000167954262606108,34,-0.000358782414953834,77,5.90573631710011E-05,34,-0.000185406625901813,77,0.0193685149256529,34,0.0193704344657308,77,0.0195766419648302,34,0.0194623739567916
,76,0.758846040403149,35,0.469554860340318,76,0.788935901596464,35,0.486630674534487,76,0.523583997874609,35,0.361790039964535,76,0.546935073931392,35,0.375814593588961,76,0.385173109140838,35,0.318145227483951,76,0.399493659190056,35,0.329099827908932,76,0.519587683559464,35,0.381017514343809,76,0.539431808309359,35,0.394067705610378,76,0.0199658815458452,35,0.0196454177674627,76,0.0200472145660604,35,0.0197393601054913,76,0.00179222022262914,35,0.00199792357587687,76,0.00214928977003267,35,0.00219730973935818,76,-0.000162867336220946,35,-0.000358411879890702,76,9.54174720324484E-05,35,-0.000222337629606679,76,0.0194012297219106,35,0.0193684716176863,76,0.0195580032143543,35,0.019451977584188
,75,0.751322937531868,36,0.474670833497563,75,0.781260417169989,36,0.492144998386876,75,0.519900435583722,36,0.365009750222979,75,0.542925232562165,36,0.379082546022773,75,0.384000773519446,36,0.319710262828919,75,0.398312134205005,36,0.330694080268655,75,0.51643709775289,36,0.383798640574647,75,0.536059008954316,36,0.396937505924467,75,0.0199870694563824,36,0.0196181648280258,75,0.0200388984587992,36,0.019724734506947,75,0.00181824502322698,36,0.00199233875662158,75,0.00213834674638568,36,0.00218047047637502,75,-0.000149605157984868,36,-0.000379509146955576,75,0.000100080764375971,36,-0.000232787354429669,75,0.0193888229674236,36,0.019355765203997,75,0.0195772769347034,36,0.0194268926938355
,74,0.743891024397231,37,0.480021610171547,74,0.773324764384371,37,0.49766822000802,74,0.516254925316065,37,0.368115967511029,74,0.538764582428521,37,0.382465032444109,74,0.382846014078538,37,0.321331001286974,74,0.397053099246946,37,0.332399475388665,74,0.513364654354377,37,0.386603405085979,74,0.532764629099681,37,0.399908238295348,74,0.0199402872413144,37,0.0196373748812646,74,0.0200509405650127,37,0.0197048377081813,74,0.00181141124895385,37,0.00196971363973027,74,0.00210877110274497,37,0.00218808038804712,74,-0.000201318735938712,37,-0.000395235020093425,74,0.000100730680757277,37,-0.000236004186549368,74,0.0193833371520977,37,0.0193388976409075,74,0.0196025961723456,37,0.0194340331017345
,73,0.736620804426018,38,0.485386894027634,73,0.765845453760269,38,0.503361122586485,73,0.512309031993366,38,0.371492799843973,73,0.534624071477792,38,0.385920627129311,73,0.381675740565893,38,0.32311233554584,73,0.395723700252719,38,0.334172733936727,73,0.510206987257067,38,0.389480663634075,73,0.529241087167226,38,0.402903213803963,73,0.0199722708988577,38,0.0196214591769955,73,0.0200285087157255,38,0.0196959545566707,73,0.00177978905666547,38,0.00198115320540507,73,0.0021256422009777,38,0.00219215304077345,73,-0.000194595554477593,38,-0.000359123127422686,73,7.64210996033787E-05,38,-0.000236795526616691,73,0.0193802990503456,38,0.0193407665334736,73,0.0195799250018466,38,0.0194457978009324
,72,0.729542869067318,39,0.491182343040186,72,0.757972505304416,39,0.508849841967818,72,0.508787324530789,39,0.374794284415343,72,0.530729890291387,39,0.389251849229445,72,0.380703570380169,39,0.324778523080757,72,0.394543301576053,39,0.335873778375666,72,0.507082681786776,39,0.392463460585126,72,0.525845043470078,39,0.405840436627504,72,0.0199496809952176,39,0.0196263310345785,72,0.0199948712300064,39,0.0197340498455438,72,0.00178750616299017,39,0.00197359288619115,72,0.00212387943427491,39,0.00215636343593735,72,-0.00015051392587452,39,-0.000326728554339213,72,7.13687413374931E-05,39,-0.000187973560782628,72,0.019388509712718,39,0.0193560216652426,72,0.0195478292630371,39,0.0194425068720795
,71,0.721880475551095,40,0.496385094061525,71,0.750210177900797,40,0.514590701987832,71,0.505045018888064,40,0.378074545892995,71,0.526697707536855,40,0.392648956854916,71,0.379504130562384,40,0.326502397259414,71,0.393259973938524,40,0.337533867231065,71,0.5040243694813,40,0.395392096676865,71,0.522485066920552,40,0.408859827128493,71,0.0199342949807691,40,0.0196227713256376,71,0.0200565031099363,40,0.0197418792863294,71,0.00183040982013883,40,0.00195135267068671,71,0.0021304924792422,40,0.0021471085255482,71,-0.000164842795187429,40,-0.000313812389090704,71,8.80869347959132E-05,40,-0.000204076996702027,71,0.0193866716213477,40,0.0193563350603204,71,0.0195787642453225,40,0.0194506985316799
,70,0.714646488352086,41,0.502267510828008,70,0.742914435130268,41,0.520519672674098,70,0.501358134608517,41,0.381469409742933,70,0.522757790884059,41,0.396112974402953,70,0.378310783393357,41,0.328287012138465,70,0.392053533364666,41,0.339366684753579,70,0.500859163807399,41,0.398424059291847,70,0.519216459137431,41,0.41203572486605,70,0.0199075521648891,41,0.0195912456118284,70,0.0200517732349747,41,0.0197355791726356,70,0.00185715078279363,41,0.00194254709372169,70,0.0021583989842916,41,0.00215934703622966,70,-0.000172358861111577,41,-0.000349561907757357,70,8.23349107344738E-05,41,-0.000212771810055029,70,0.0193696251626519,41,0.0193446312988073,70,0.0195761215021798,41,0.0194465704744172
,69,0.707319653637175,42,0.50769609829355,69,0.735247445068965,42,0.526582580059495,69,0.497622823385442,42,0.384744910472883,69,0.518797302927046,42,0.399731803089975,69,0.37720903684956,42,0.329943364050568,69,0.390781256817839,42,0.341244178746788,69,0.497776844191779,42,0.401321895748031,69,0.515783395670901,42,0.415161947345754,69,0.0199304516265632,42,0.0196137192093382,69,0.0200160605393159,42,0.0197514350019148,69,0.0018506851577327,42,0.00194678633288835,69,0.00218480702876584,42,0.00215942811737367,69,-0.000140684437334567,42,-0.000366273021973009,69,7.82266951319815E-05,42,-0.000228312306676865,69,0.0193882680676796,42,0.0193443921488376,69,0.0195518548979305,42,0.0194568961455032
,68,0.700221922131689,43,0.513599913224821,68,0.727585623425572,43,0.53236331926353,68,0.494048424396643,43,0.388068073904735,68,0.514740933813356,43,0.403280545810592,68,0.376011611632894,43,0.331763013258017,68,0.389517458789783,43,0.343146860614467,68,0.494615362721954,43,0.404450710098992,68,0.512425697988049,43,0.418360486051861,68,0.0199208557246208,43,0.0196685183012896,68,0.020025888589596,43,0.0197245646780817,68,0.00186879954540365,43,0.00195553219047922,68,0.00218444615263355,43,0.0021698245312413,68,-0.000187019160027041,43,-0.000327643604727208,68,8.93461588194136E-05,43,-0.000187442477225909,68,0.0193872415102702,43,0.0193453102021682,68,0.0195596115787633,43,0.0194489026267765
,67,0.69284212891667,44,0.519460062716927,67,0.719772302933788,44,0.538371723960562,67,0.490331125931307,44,0.391621055593791,67,0.510618583016606,44,0.406770227745591,67,0.374756407177582,44,0.333727412353398,67,0.388182545686726,44,0.345041438870475,67,0.491356557515358,44,0.40767357217372,67,0.509045759548664,44,0.421693268545355,67,0.0199247939431951,44,0.0196471433756613,67,0.0199774499757305,44,0.0197015874477309,67,0.00187839916552966,44,0.00194341823658849,67,0.00215825299666056,44,0.00217773376258573,67,-0.000188824672462375,44,-0.000315450877867865,67,3.09045396164749E-05,44,-0.000170141051426789,67,0.0193800896134223,44,0.0193484300221562,67,0.0195461473759354,44,0.0194214684253103
,66,0.685875840888514,45,0.525167592566316,66,0.712088969403664,45,0.544373894609929,66,0.486509829271391,45,0.395118396168192,66,0.506511961263201,45,0.41039118125648,66,0.373492412891078,45,0.335569111880507,66,0.386761936040799,45,0.346999885535066,66,0.488211921578895,45,0.410856557999066,66,0.505648709873844,45,0.424966461999264,66,0.0199095222287204,45,0.0196228151729835,66,0.0199792776486297,45,0.0197432840736523,66,0.00188632993129761,45,0.00194300332721621,66,0.00215715484569278,45,0.00216804759398278,66,-0.000176309401444312,45,-0.000317274116087863,66,-8.61925013176125E-06,45,-0.000155120785856317,66,0.0193709876558863,45,0.0193513988335907,66,0.0195264454153839,45,0.0194534739968004
,65,0.678498189999873,46,0.531062904821712,65,0.704595442968747,46,0.550478447876655,65,0.482690031459976,46,0.39860682139108,65,0.502553646895779,46,0.41407841283745,65,0.37223833014483,46,0.337419779448268,65,0.385429747402074,46,0.348955260698493,65,0.485052853844947,46,0.414230014160527,65,0.502382879927083,46,0.428371574152956,65,0.0199383010398693,46,0.0196022064690593,65,0.0199693081815498,46,0.0197442070246353,65,0.00185346051429422,46,0.00193797399149818,65,0.00215720645598974,46,0.00217386627064531,65,-0.00013798545245708,46,-0.000352019595489298,65,1.52089483626481E-05,46,-0.000178982831874993,65,0.0193789472760785,46,0.0193475506671802,65,0.0195241980106198,46,0.0194480101812362
,64,0.671409452870829,47,0.537153985581278,64,0.69698547217085,47,0.556784680239517,64,0.47891438327977,47,0.402366166564641,64,0.498406599653527,47,0.41778446236698,64,0.370928256177416,47,0.339440629882492,64,0.383971809589835,47,0.350842768654986,64,0.482005070043781,47,0.417623869765143,64,0.499132211822716,47,0.431824332910183,64,0.0199324901296746,47,0.0196105614788214,64,0.0200061187338891,47,0.0197457407178753,64,0.0018573186139557,47,0.00194780027320406,64,0.0021719003897771,47,0.00217586466681894,64,-0.000144130020337613,47,-0.000343148217198741,64,1.64453593314544E-05,47,-0.000186968377496758,64,0.0193977323918178,47,0.0193391357683206,64,0.0195512504098179,47,0.0194359035775203
