CSV Report,2024-01-31_RNA_melting_NaCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM NaCl_260.00nm_90.0-21.0C,,26 mM NaCl_260.00nm_21.0-90.0C,,26 mM NaCl_260.00nm_90.0-21.0C_R1,,26 mM NaCl_260.00nm_21.0-90.0C_R1,,21 mM NaCl_260.00nm_90.0-21.0C,,21 mM NaCl_260.00nm_21.0-90.0C,,21 mM NaCl_260.00nm_90.0-21.0C_R1,,21 mM NaCl_260.00nm_21.0-90.0C_R1,,17 mM NaCl_260.00nm_90.0-21.0C,,17 mM NaCl_260.00nm_21.0-90.0C,,17 mM NaCl_260.00nm_90.0-21.0C_R1,,17 mM NaCl_260.00nm_21.0-90.0C_R1,,8.3 mM NaCl_260.00nm_90.0-21.0C,,8.3 mM NaCl_260.00nm_21.0-90.0C,,8.3 mM NaCl_260.00nm_90.0-21.0C_R1,,8.3 mM NaCl_260.00nm_21.0-90.0C_R1,,26 mM NaCl_400.00nm_90.0-21.0C,,26 mM NaCl_400.00nm_21.0-90.0C,,26 mM NaCl_400.00nm_90.0-21.0C_R1,,26 mM NaCl_400.00nm_21.0-90.0C_R1,,21 mM NaCl_400.00nm_90.0-21.0C,,21 mM NaCl_400.00nm_21.0-90.0C,,21 mM NaCl_400.00nm_90.0-21.0C_R1,,21 mM NaCl_400.00nm_21.0-90.0C_R1,,17 mM NaCl_400.00nm_90.0-21.0C,,17 mM NaCl_400.00nm_21.0-90.0C,,17 mM NaCl_400.00nm_90.0-21.0C_R1,,17 mM NaCl_400.00nm_21.0-90.0C_R1,,8.3 mM NaCl_400.00nm_90.0-21.0C,,8.3 mM NaCl_400.00nm_21.0-90.0C,,8.3 mM NaCl_400.00nm_90.0-21.0C_R1,,8.3 mM NaCl_400.00nm_21.0-90.0C_R1,
,39,0.458281944517113,72,0.648784440040014,39,0.475378179397185,72,0.672336105561213,39,0.4416270928203,72,0.631404240881002,39,0.442398461792064,72,0.629615061301035,39,0.44399950590121,72,0.628874831206796,39,0.440456866128183,72,0.620867432829811,39,0.42649062817856,72,0.537183279804082,39,0.441744281857755,72,0.556305716723323,39,0.0246811923853195,72,0.0246383721160282,39,0.0245785540751405,72,0.0245518752607058,39,0.00631565338498542,72,0.00636730942768649,39,0.00635750595483961,72,0.00634791350450871,39,0.00817789483595131,72,0.00824059191214016,39,0.00817577955282118,72,0.00821421691731134,39,0.025434975015025,72,0.0254241902919709,39,0.025374043168174,72,0.0253421556675461
,38,0.453385237184431,73,0.655808157312557,38,0.470190065000477,73,0.67960364012839,38,0.436724648918273,73,0.638211742281531,38,0.43759735105485,73,0.636415393069749,38,0.439240258375129,73,0.635443751965529,38,0.435817025700893,73,0.627132760721223,38,0.423414507627332,73,0.540898093494883,38,0.438479914471004,73,0.560283975620902,38,0.0246537022329713,73,0.0246482699917167,38,0.0245521655280498,73,0.0245734273720572,38,0.00634043055589745,73,0.00636377284748248,38,0.00633317402005914,73,0.00638234479500864,38,0.00819521747163141,73,0.00826205022522214,38,0.0081544943501467,73,0.00822403259767685,38,0.0254437406870488,73,0.0254286577129739,38,0.0253691956188301,73,0.0253672575580909
,37,0.448570800093734,74,0.662887333100234,37,0.465048803269125,74,0.686613769488548,37,0.431869780093848,74,0.645188033846283,37,0.43245938512143,74,0.643184812382742,37,0.434467785839852,74,0.642215148200452,37,0.430961861677377,74,0.633407919093145,37,0.420357814445971,74,0.544524925558412,37,0.435219659115333,74,0.564123423092801,37,0.024651175204837,74,0.024669788745369,37,0.0245469044083616,74,0.0245661684355582,37,0.00635782939578368,74,0.00638174286220716,37,0.00634781288527871,74,0.00637428489578851,37,0.00815505788938072,74,0.00828128953825554,37,0.00819442258999464,74,0.00821911296246297,37,0.025439972220996,74,0.0254409345131622,37,0.0253655275998929,74,0.0253697621173556
,36,0.443572036611755,75,0.670379665453384,36,0.459941097732737,75,0.693928456666131,36,0.426983335384367,75,0.6522676366537,36,0.427731285876648,75,0.650147706826621,36,0.429726017555422,75,0.649030271520565,36,0.426372824255621,75,0.639856946884951,36,0.417352437974076,75,0.548409237104062,36,0.432047501966772,75,0.568166609514249,36,0.024622135653926,75,0.0246945213404216,36,0.0245550488365417,75,0.024578802719758,36,0.00633934979246812,75,0.00639161185597701,36,0.00637118201515203,75,0.00634800196769442,36,0.00815008382625023,75,0.0082953287526751,36,0.00819437963535804,75,0.00822031290885768,36,0.0254281264482177,75,0.0254419593387334,36,0.0253710445393112,75,0.0253691027679801
,35,0.438788995155203,76,0.677772252671835,35,0.455038985597874,76,0.70122392469242,35,0.422190167444902,76,0.659224571838522,35,0.423150113070996,76,0.657671413311379,35,0.425115259891673,76,0.655692217074835,35,0.421931349797684,76,0.646739318567216,35,0.414377966387678,76,0.552091555343495,35,0.429034017975734,76,0.572219975792846,35,0.0246460796500758,76,0.0246958308825827,35,0.0245280372676539,76,0.0245608605403712,35,0.00633334553403259,76,0.00637862281453317,35,0.00634641330159622,76,0.00635167142229267,35,0.00818287365461487,76,0.00827603294720253,35,0.00817257648728037,76,0.00820645882461727,35,0.0254419627638926,76,0.0254298971855677,35,0.0253532414055296,76,0.0253519956012201
,34,0.434166788055162,77,0.685332994831134,34,0.4502092697276,77,0.708823699123901,34,0.417472108914449,77,0.666376721880267,34,0.418361557739483,77,0.66459901767186,34,0.420572576319853,77,0.66246191369505,34,0.417325220073123,77,0.653091493225839,34,0.411672739306813,77,0.555916714030995,34,0.425995939663065,77,0.576235521408999,34,0.0246625825228416,77,0.0246949732898871,34,0.0245080173740707,77,0.0245487313584271,34,0.00633888261985538,77,0.00638236656480808,34,0.0063639260271817,77,0.00634956807095279,34,0.00819125693066101,77,0.00826967558728304,34,0.00814992247998838,77,0.00820452798375374,34,0.0255160607545076,77,0.0254189870619081,34,0.0253562632508102,77,0.025349682945608
,33,0.42962928481506,78,0.692902941904425,33,0.445414616924337,78,0.71646789297952,33,0.412872456963905,78,0.673707740841694,33,0.413824617781151,78,0.672174907163511,33,0.416090032012357,78,0.669346026263907,33,0.412928819889278,78,0.659980572308969,33,0.408722603219932,78,0.559658515515942,33,0.422971295300878,78,0.580387426258931,33,0.0246604352850721,78,0.024711411703377,33,0.0245742234037464,78,0.0246001223794264,33,0.00634264200498615,78,0.00640522711209535,33,0.00636472565253753,78,0.00635241199123685,33,0.0081867644196615,78,0.00828558335738411,33,0.00818642886194641,78,0.00824434714428666,33,0.0254893852135357,78,0.0254328149973567,33,0.0253793704675199,78,0.0253857533765031
,32,0.424869471297549,79,0.700432032918731,32,0.440572060637307,79,0.724003863787622,32,0.40841193037427,79,0.681089924002795,32,0.409148280171361,79,0.680032251425058,32,0.411765685874954,79,0.67629976155348,32,0.408404606869925,79,0.666961121777396,32,0.405830632169413,79,0.56363388584812,32,0.419934941758403,79,0.584589666592726,32,0.0246485678872658,79,0.0247357326549646,32,0.0245523960300246,79,0.0245916875754277,32,0.00633728791663599,79,0.00640583140363794,32,0.00639595280618099,79,0.00637255301353968,32,0.00820920195901038,79,0.00830681284652838,32,0.00816725803473846,79,0.00826487018912931,32,0.0254545385440406,79,0.0254474038898759,32,0.0253777029473624,79,0.0253749310316239
,31,0.420356339932531,80,0.708237969442081,31,0.435860834413035,80,0.731779571648232,31,0.403742417237887,80,0.688315625574572,31,0.404742459061293,80,0.68760511283077,31,0.407272656261774,80,0.683142478957729,31,0.404134796669861,80,0.673833319057015,31,0.402871683071029,80,0.567923285953736,31,0.416942192265136,80,0.588732030674605,31,0.0246576618817089,80,0.0247165741680565,31,0.0245744658803639,80,0.0246233787839405,31,0.00634980596859811,80,0.00637916603500699,31,0.00637558575767102,80,0.00638697209666329,31,0.00823485436400635,80,0.00830059131447095,31,0.00818028391222842,80,0.00829324126495756,31,0.0254485826244988,80,0.0254357859037214,31,0.025392364425705,80,0.0253810083444956
,30,0.415939834680214,81,0.715961138928221,30,0.431391854709993,81,0.740041506385497,30,0.399221897465314,81,0.696725679610264,30,0.40026905709983,81,0.695928595747643,30,0.402813372876381,81,0.690628774084477,30,0.399765576466146,81,0.680994471374439,30,0.400033128663356,81,0.572415588800314,30,0.413955099900976,81,0.592716053730114,30,0.0246454412884889,81,0.0246878654829243,30,0.0245706816279811,81,0.0246574114041409,30,0.00633802630928933,81,0.00636595704120979,30,0.00635555452011451,81,0.00639487027202912,30,0.00820864313454777,81,0.00830065024872492,30,0.00818501077066189,81,0.008293337534742,30,0.0254395930606091,81,0.025435740901138,30,0.0253810588151483,81,0.025407530497909
,29,0.411701813030661,82,0.723902858540384,29,0.426927955988903,82,0.747923483026716,29,0.394911482088978,82,0.70525603185763,29,0.395945443843562,82,0.704437880907194,29,0.398575454902872,82,0.697675258345581,29,0.395586863054597,82,0.688043621174647,29,0.397150846116151,82,0.57657364614089,29,0.411023822394791,82,0.596861918593854,29,0.02464121964729,82,0.0247078840761197,29,0.0245647911551932,82,0.0246424140882414,29,0.00632931530612272,82,0.00637202083578009,29,0.0063663198287291,82,0.0063851075907675,29,0.00822390226283994,82,0.00832682965831114,29,0.00819423696733665,82,0.00827084895802543,29,0.0254616800779961,82,0.0254575072223929,29,0.0254016425288622,82,0.0253874679319916
,28,0.407397877653776,83,0.731823663690263,28,0.422391053964205,83,0.755972917884675,28,0.390464285047196,83,0.713531429248691,28,0.391916033939613,83,0.712575327096321,28,0.394236549318188,83,0.704968895137956,28,0.391680101034013,83,0.695201875535676,28,0.394276221526622,83,0.580798162429555,28,0.408200444318174,83,0.601031134195947,28,0.0246471240250298,83,0.0247254135322075,28,0.0245847453237133,83,0.0246259401093988,28,0.00633158183290887,83,0.00639252565521531,28,0.00638384640877832,83,0.00640177790237118,28,0.00822572565617125,83,0.00833336964610764,28,0.0082174536111092,83,0.00824824268015364,28,0.0254621451007899,83,0.0254436726416105,28,0.0254014856354438,83,0.0253866388479095
,27,0.403703480982072,84,0.739755870893168,27,0.418851179230233,84,0.764079825866621,27,0.386824613152386,84,0.72128197700353,27,0.388188382077467,84,0.720515991124707,27,0.390641359640893,84,0.712126001822971,27,0.388045234673432,84,0.702271186129196,27,0.391791879587554,84,0.584823207601261,27,0.40553698311832,84,0.605012214846699,27,0.0246347999960896,84,0.0247343139063322,27,0.0245458364873157,84,0.0246525279089253,27,0.00632109614233589,84,0.0064241409559322,27,0.00637434026352496,84,0.00641683743126817,27,0.00822236097020033,84,0.00833798193964269,27,0.00819595683477563,84,0.00829388823799623,27,0.0254484875728908,84,0.0254602120798566,27,0.0253686336746094,84,0.0254215361724814
,26,0.399843766244881,85,0.747620544239606,26,0.414933208378677,85,0.772365958089155,26,0.382746871112848,85,0.729428795112878,26,0.384250757203203,85,0.728719574206622,26,0.386649291145455,85,0.719669376854161,26,0.384263409501747,85,0.709779583220787,26,0.389068764589383,85,0.58914365883878,26,0.402694377254837,85,0.609506573520711,26,0.0246433755118692,85,0.0247473270976909,26,0.0245012745689347,85,0.024665654436255,26,0.00631260999760879,85,0.00640144353375102,26,0.00637283886725659,85,0.0064034399559845,26,0.00823849621607645,85,0.00834401223377118,26,0.00817481781834958,85,0.00831924794467533,26,0.0254567229129391,85,0.0254845303670582,26,0.0253463407200389,85,0.0254012076165062
,25,0.396068495409185,86,0.755656376952832,25,0.410994168740246,86,0.78118167435361,25,0.37885382370565,86,0.737070347691512,25,0.380181294336219,86,0.737118923974792,25,0.38286816241744,86,0.72685920450227,25,0.380279546526381,86,0.71736853257043,25,0.386338787102027,86,0.593245399299301,25,0.39965499025915,86,0.614074023398746,25,0.0246275282338748,86,0.0247441324968347,25,0.0245034917810298,86,0.02466490751022,25,0.00633013898460006,86,0.00638856365509784,25,0.00638558019716325,86,0.00640198766890518,25,0.00825156081685553,86,0.00835523500931123,25,0.00818399285190671,86,0.00832040099078907,25,0.0254771966832533,86,0.0254687631051285,25,0.025380186802517,86,0.0253994222291905
,24,0.391937344219732,87,0.763689143194262,24,0.406462073142705,87,0.790418628733224,24,0.374635514313431,87,0.74450104245489,24,0.375807514622496,87,0.745302251006844,24,0.378715842846869,87,0.733879235498035,24,0.37597657513024,87,0.724873356315761,24,0.383297863087134,87,0.597442074453487,24,0.396533516734879,87,0.618863903756548,24,0.0246478157025131,87,0.0247245667586793,24,0.0245304482747157,87,0.0246252877822764,24,0.00634421345367319,87,0.00640516905524546,24,0.00636390457166606,87,0.00639643511729634,24,0.00824283216416706,87,0.00840575980211467,24,0.00819369327315396,87,0.008297763798016,24,0.0254767826391335,87,0.0254404306390227,24,0.0253975471693032,87,0.025386962083427
,23,0.388023828010651,88,0.771774197677713,23,0.402386884525133,88,0.799034638591955,23,0.370790735625605,88,0.752277624295474,23,0.372076087518381,88,0.75325063392501,23,0.374933224230081,88,0.741219203326061,23,0.372438515231537,88,0.732328812812791,23,0.380635984938739,88,0.601767765737692,23,0.393891168476166,88,0.62365195979957,23,0.0246168196871668,88,0.0247107564317508,23,0.0245350128847541,88,0.0246395425560271,23,0.00632464140624081,88,0.0064070006590674,23,0.00635235363799677,88,0.006399855753309,23,0.00823237242388439,88,0.00839180098092567,23,0.00821947996835074,88,0.00830888830753091,23,0.0254743350906319,88,0.0254233498102571,23,0.0254041984853208,88,0.0253947549396943
,22,0.384553012882113,89,0.779869506144077,22,0.398667931203805,89,0.807825987594605,22,0.367143028682963,89,0.760380560667808,22,0.368450125801691,89,0.761041310982776,22,0.371355409518335,89,0.748902804448669,22,0.368877134296993,89,0.739883471867252,22,0.378148879804891,89,0.606024264950157,22,0.391297063928133,89,0.628435070735109,22,0.0246168735036769,89,0.0247181295211204,22,0.024511368963758,89,0.0246694229151927,22,0.00630242361031358,89,0.00639332474929791,22,0.00634633922044215,89,0.00641813219127098,22,0.00822588640786466,89,0.00832046329444325,22,0.00818113316364442,89,0.00834774168496465,22,0.0254658465471458,89,0.0254197646464428,22,0.0253948816631251,89,0.0254088781821733
,21.2999992370605,0.382170708037029,89.6999969482422,0.785661840010485,21.2999992370605,0.396169418431047,89.6999969482422,0.813952521051294,21.2999992370605,0.364736640025641,89.6999969482422,0.765831477573904,21.2999992370605,0.365924691745692,89.6999969482422,0.766556189284432,21.2999992370605,0.369019438154896,89.6999969482422,0.754110340458283,21.2999992370605,0.366391111434685,89.6999969482422,0.745339801154187,21.2999992370605,0.376508843382668,89.6999969482422,0.609050977361637,21.2999992370605,0.389552663903523,89.6999969482422,0.632013819445966,21.2999992370605,0.0246108375437928,89.6999969482422,0.0247300608030542,21.2999992370605,0.0245248469387338,89.6999969482422,0.0246572483273764,21.2999992370605,0.00629156595257063,89.6999969482422,0.00638996998055495,21.2999992370605,0.00636014607310078,89.6999969482422,0.00641622485123797,21.2999992370605,0.00822739644883949,89.6999969482422,0.00832560923258923,21.2999992370605,0.00820512340397665,89.6999969482422,0.00834083937362873,21.2999992370605,0.0254598484732645,89.6999969482422,0.0254189034885916,21.2999992370605,0.0254069915625632,89.6999969482422,0.0254118488463957
