CSV Report,2023_08_03_DNA_MOPS_75_Na_salz.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,5
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,5.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,5.0,5.00
Stage 5,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_260.00nm_80.0-5.0C,,0_mM_unentsalzen_260.00nm_5.0-80.0C,,0_mM_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_entsalzen_260.00nm_80.0-5.0C,,0_mM_entsalzen_260.00nm_5.0-80.0C,,0_mM_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_400.00nm_80.0-5.0C,,0_mM_unentsalzen_400.00nm_5.0-80.0C,,0_mM_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_entsalzen_400.00nm_80.0-5.0C,,0_mM_entsalzen_400.00nm_5.0-80.0C,,0_mM_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_entsalzen_400.00nm_5.0-80.0C_R1,
,39.5,0.232091316836446,45.5,0.23740648132536,,,,,39.5,0.256883219948719,45.5,0.275575921386791,,,,,39.5,0.240805141527747,45.5,0.24948972562903,,,,,39.5,0.264242030113347,45.5,0.269934234182217,,,,,39.5,0.019199724539698,45.5,0.019623623829006,,,,,39.5,0.0334040050013536,45.5,0.0335487708824208,,,,,39.5,0.0131624232236491,45.5,0.0134688797377654,,,,,39.5,0.0160453117704764,45.5,0.0162477533377006,,,,
,39,0.230892793624963,46,0.237382319195866,,,,,39,0.254266912267814,46,0.277131759947385,,,,,39,0.239414219506625,46,0.24976502655061,,,,,39,0.263137612630591,46,0.269968089145116,,,,,39,0.0192066202230722,46,0.0193303639529053,,,,,39,0.0333989079416823,46,0.0332425357857191,,,,,39,0.0131624558746498,46,0.0131689108880688,,,,,39,0.0160128322111149,46,0.0159658933799396,,,,
,38.5,0.229514612450678,46.5,0.0791082052788364,,,,,38.5,0.251831859754254,46.5,0.120334884246815,,,,,38.5,0.237994314877143,46.5,0.0917761648184762,,,,,38.5,0.261970605002346,46.5,0.111706534005697,,,,,38.5,0.0191963587678454,46.5,-0.137865134740716,,,,,38.5,0.033396744745645,46.5,-0.123930062341609,,,,,38.5,0.0131662794731803,46.5,-0.143960589754221,,,,,38.5,0.0160158153250468,46.5,-0.141178129638513,,,,
,38,0.227937948440407,47,-0.207473501583147,,,,,38,0.249582870139993,47,-0.165090042849447,,,,,38,0.236296182998013,47,-0.185025684588144,,,,,38,0.260531274265094,47,-0.165266856268602,,,,,38,0.0191991824363381,47,-0.407683968682586,,,,,38,0.0333957665152894,47,-0.393742409668388,,,,,38,0.0131631928919523,47,-0.40408824622409,,,,,38,0.0160185339975211,47,-0.401320163238765,,,,
,37.5,0.226070921548937,47.5,-0.363133055133512,,,,,37.5,0.24746191767068,47.5,-0.319850310607943,,,,,37.5,0.234724786879308,47.5,-0.34741632279452,,,,,37.5,0.259129776063787,47.5,-0.327792797679781,,,,,37.5,0.0192069678896527,47.5,-0.560075277748316,,,,,37.5,0.0334027147174745,47.5,-0.54612858327047,,,,,37.5,0.0131597747178983,47.5,-0.563497491420919,,,,,37.5,0.0160245424814338,47.5,-0.56074755623825,,,,
,37,0.224243540041428,48,-0.379882699402229,,,,,37,0.245765246156139,48,-0.335790044781365,,,,,37,0.233088899522715,48,-0.366955409911521,,,,,37,0.257646639850309,48,-0.347399467908337,,,,,37,0.0192135029554418,48,-0.616256126743398,,,,,37,0.0334113064646648,48,-0.602301657495443,,,,,37,0.0131613870691817,48,-0.622385526541138,,,,,37,0.0160384798267938,48,-0.619627221686225,,,,
,36.5,0.221992744840349,48.5,-0.196844803649062,,,,,36.5,0.244040871761993,48.5,-0.152175084450961,,,,,36.5,0.231490581085253,48.5,-0.183888069378957,,,,,36.5,0.256107841543842,48.5,-0.164409050801065,,,,,36.5,0.0192290419699012,48.5,-0.408701346999849,,,,,36.5,0.0334155683757517,48.5,-0.394745520506994,,,,,36.5,0.0131752969789949,48.5,-0.414870293809686,,,,,36.5,0.0160397037937139,48.5,-0.41211891830536,,,,
,36,0.219765906240697,49,-0.367947208641843,,,,,36,0.242636548160723,49,-0.322765244984028,,,,,36,0.229810499869302,49,-0.351099594401642,,,,,36,0.25440785635996,49,-0.331661219112849,,,,,36,0.0192323083589871,49,-0.457565023960941,,,,,36,0.03341335807345,49,-0.443598115072767,,,,,36,0.0131760282260947,49,-0.460917596214416,,,,,36,0.0160255647400939,49,-0.458148756157207,,,,
,35.5,0.217430057235513,49.5,-0.0885525641459698,,,,,35.5,0.241396606570007,49.5,-0.0431326685491516,,,,,35.5,0.228094989845592,49.5,-0.0391667204767157,,,,,35.5,0.252680275817174,49.5,-0.0197274444698697,,,,,35.5,0.0192309557017259,49.5,-0.268908294221391,,,,,35.5,0.0334058328508565,49.5,-0.254947999178385,,,,,35.5,0.0131625046635203,49.5,-0.249811021302747,,,,,35.5,0.0160268352009685,49.5,-0.247043099442445,,,,
,35,0.21513735558022,50,0.0742767814634624,,,,,35,0.240329331569403,50,0.120068492990782,,,,,35,0.226548790389783,50,0.0872649577736239,,,,,35,0.251063397014959,50,0.106707180282197,,,,,35,0.0192417365941678,50,-0.12738532323125,,,,,35,0.0334027822808808,50,-0.113423637707105,,,,,35,0.0131709945361344,50,-0.133515256676873,,,,,35,0.0160352729695977,50,-0.130736720972034,,,,
,34.5,0.212822980188892,50.5,0.0814416561278802,,,,,34.5,0.239384507286458,50.5,0.127491744777933,,,,,34.5,0.22497464629796,50.5,0.0944262092193592,,,,,34.5,0.249367585014331,50.5,0.113896762263752,,,,,34.5,0.0192401991596835,50.5,-0.119871286538997,,,,,34.5,0.0334009936692829,50.5,-0.10589564855066,,,,,34.5,0.0131766920811721,50.5,-0.125992455590095,,,,,34.5,0.0160396112476589,50.5,-0.123227824572804,,,,
,34,0.210643670008523,51,0.0797421251587565,,,,,34,0.238575784684022,51,0.125942725198234,,,,,34,0.223445285406971,51,0.0926999701480426,,,,,34,0.247674854668454,51,0.112174117645656,,,,,34,0.0192426422636743,51,-0.121567982923507,,,,,34,0.0334043198372567,51,-0.107586918129203,,,,,34,0.013171275606839,51,-0.127669203488958,,,,,34,0.0160398189908056,51,-0.124899260464055,,,,
,33.5,0.208599071628701,51.5,0.0723019894312972,,,,,33.5,0.237831279385348,51.5,0.118610473327715,,,,,33.5,0.222037201981595,51.5,0.0848672035491975,,,,,33.5,0.246058016353465,51.5,0.104355580878665,,,,,33.5,0.0192609892381325,51.5,-0.129240989886293,,,,,33.5,0.0334100063754517,51.5,-0.115257849871148,,,,,33.5,0.0131761526810769,51.5,-0.135732433330483,,,,,33.5,0.0160423565388257,51.5,-0.132947968188617,,,,
,33,0.206824060041151,52,0.0696380910541444,,,,,33,0.237191970718121,52,0.116081618772758,,,,,33,0.220622941696309,52,0.0825350055656773,,,,,33,0.244392977716396,52,0.102050962055769,,,,,33,0.0192676507530154,52,-0.133151325443434,,,,,33,0.0334063297825853,52,-0.119156498788832,,,,,33,0.0131735570069591,52,-0.139243943637349,,,,,33,0.0160476141466805,52,-0.13643430064608,,,,
,32.5,0.205245499584152,52.5,0.0560866329154737,,,,,32.5,0.236610604889647,52.5,0.102638709184075,,,,,32.5,0.219369865567637,52.5,0.0692888401676794,,,,,32.5,0.242880068677282,52.5,0.0888417106323152,,,,,32.5,0.0192710729155,52.5,-0.142400442343289,,,,,32.5,0.0334139861677476,52.5,-0.128406727207066,,,,,32.5,0.0131705083512266,52.5,-0.148247635609156,,,,,32.5,0.0160541300780401,52.5,-0.1454489796716,,,,
,32,0.203778929779348,53,0.0522071367960706,,,,,32,0.236028083070447,53,0.0988066338537601,,,,,32,0.218225570727653,53,0.0649351402485884,,,,,32,0.241435718888598,53,0.0845135792195409,,,,,32,0.0192788010671974,53,-0.148820258049454,,,,,32,0.0334245098667489,53,-0.134836711622692,,,,,32,0.013181421040217,53,-0.155147986955762,,,,,32,0.0160628440832192,53,-0.152358064142565,,,,
,31.5,0.20257215607323,,,,,,,31.5,0.235479136024291,,,,,,,31.5,0.217110647291127,,,,,,,31.5,0.239960646553567,,,,,,,31.5,0.0192751749865428,,,,,,,31.5,0.0334173979036404,,,,,,,31.5,0.0131838720344475,,,,,,,31.5,0.0160558410251129,,,,,,
,31,0.201533367194805,,,,,,,31,0.234959553150901,,,,,,,31,0.216180915875863,,,,,,,31,0.238743742535385,,,,,,,31,0.019279196161417,,,,,,,31,0.0334250910952562,,,,,,,31,0.0131809027559545,,,,,,,31,0.0160577853365596,,,,,,
,30.5,0.200618301339236,,,,,,,30.5,0.234459384488018,,,,,,,30.5,0.215249147944463,,,,,,,30.5,0.237497811662159,,,,,,,30.5,0.0192787207730705,,,,,,,30.5,0.0334351822294065,,,,,,,30.5,0.013183785846796,,,,,,,30.5,0.0160597011421804,,,,,,
,30,0.199841898029397,,,,,,,30,0.233965024055601,,,,,,,30,0.21442340714727,,,,,,,30,0.236396016159626,,,,,,,30,0.0192853097656695,,,,,,,30,0.033424871545904,,,,,,,30,0.0131843857702105,,,,,,,30,0.0160592320466256,,,,,,
,29.5,0.199126890989151,,,,,,,29.5,0.233480946420884,,,,,,,29.5,0.213583296000932,,,,,,,29.5,0.235266152783989,,,,,,,29.5,0.0192908464234139,,,,,,,29.5,0.0334245029914567,,,,,,,29.5,0.0131848255855988,,,,,,,29.5,0.0160665823401729,,,,,,
,29,0.198508239775107,,,,,,,29,0.233045753203493,,,,,,,29,0.212843030710232,,,,,,,29,0.234296121033986,,,,,,,29,0.0192932902831686,,,,,,,29,0.0334262764140016,,,,,,,29,0.0131899996425042,,,,,,,29,0.0160677870148152,,,,,,
,28.5,0.197959833319209,,,,,,,28.5,0.232648907819345,,,,,,,28.5,0.212126575152614,,,,,,,28.5,0.233371827416848,,,,,,,28.5,0.0193085926558853,,,,,,,28.5,0.0334401306100537,,,,,,,28.5,0.0131937733756343,,,,,,,28.5,0.0160718089562334,,,,,,
,28,0.197411068900003,,,,,,,28,0.232249952166931,,,,,,,28,0.21141361684897,,,,,,,28,0.232483045191574,,,,,,,28,0.0193160848592387,,,,,,,28,0.0334554721564892,,,,,,,28,0.013194552180208,,,,,,,28,0.016081931122563,,,,,,
,27.5,0.196975646863606,,,,,,,27.5,0.231914917582633,,,,,,,27.5,0.210833908243275,,,,,,,27.5,0.231800170629735,,,,,,,27.5,0.0193172199968401,,,,,,,27.5,0.0334584341737099,,,,,,,27.5,0.0131943836743318,,,,,,,27.5,0.01608121717499,,,,,,
,27,0.196603843146937,,,,,,,27,0.23165163646053,,,,,,,27,0.210282538794511,,,,,,,27,0.231147259063032,,,,,,,27,0.0193188428980105,,,,,,,27,0.0334683983505867,,,,,,,27,0.0131984705260894,,,,,,,27,0.0160746255658484,,,,,,
,26.5,0.196200099578863,,,,,,,26.5,0.231378157006511,,,,,,,26.5,0.209647309732071,,,,,,,26.5,0.230409763529565,,,,,,,26.5,0.0193237075639068,,,,,,,26.5,0.0334853897420676,,,,,,,26.5,0.0132016163242468,,,,,,,26.5,0.0160709834859364,,,,,,
,26,0.195761216222296,,,,,,,26,0.231065720699181,,,,,,,26,0.209040041183832,,,,,,,26,0.229732723389796,,,,,,,26,0.0193411968095449,,,,,,,26,0.0334920245015805,,,,,,,26,0.0131966082617565,,,,,,,26,0.0160765350993488,,,,,,
,25.5,0.195374647638928,,,,,,,25.5,0.230768036882995,,,,,,,25.5,0.208401737292606,,,,,,,25.5,0.22901854123976,,,,,,,25.5,0.0193728603320878,,,,,,,25.5,0.0334709369669556,,,,,,,25.5,0.0132037846601026,,,,,,,25.5,0.0160799940158314,,,,,,
,25,0.194974838603345,,,,,,,25,0.230505209892834,,,,,,,25,0.207760008345471,,,,,,,25,0.228321187288896,,,,,,,25,0.019361622060985,,,,,,,25,0.0334871851700599,,,,,,,25,0.0131941421387041,,,,,,,25,0.0160793196053831,,,,,,
,24.5,0.194563832777046,,,,,,,24.5,0.230280594586194,,,,,,,24.5,0.20701479475462,,,,,,,24.5,0.227537030173057,,,,,,,24.5,0.019354400389956,,,,,,,24.5,0.0334931836217742,,,,,,,24.5,0.0131822501922669,,,,,,,24.5,0.0160613588730858,,,,,,
,24,0.194126323935412,,,,,,,24,0.230025233141551,,,,,,,24,0.206286632889203,,,,,,,24,0.226763571816559,,,,,,,24,0.0193664780990793,,,,,,,24,0.0335098922765366,,,,,,,24,0.0131697882994635,,,,,,,24,0.0160577558034149,,,,,,
,23.5,0.193787976950923,,,,,,,23.5,0.229805446033489,,,,,,,23.5,0.205565529454101,,,,,,,23.5,0.225974383654767,,,,,,,23.5,0.0193674178755044,,,,,,,23.5,0.0335141307881252,,,,,,,23.5,0.0131464278938156,,,,,,,23.5,0.0160543555080698,,,,,,
,23,0.193494883857368,,,,,,,23,0.229629488209448,,,,,,,23,0.204974007572821,,,,,,,23,0.225361737412084,,,,,,,23,0.0194061279982756,,,,,,,23,0.0335392112255356,,,,,,,23,0.0131316085363881,,,,,,,23,0.0160747396685063,,,,,,
,22.5,0.193194180670099,,,,,,,22.5,0.229451476006626,,,,,,,22.5,0.204371886401443,,,,,,,22.5,0.224675928291156,,,,,,,22.5,0.0194153759411722,,,,,,,22.5,0.0335507117717784,,,,,,,22.5,0.0131068703162691,,,,,,,22.5,0.0160838322436094,,,,,,
,22,0.192913904492758,,,,,,,22,0.229283076118016,,,,,,,22,0.203800656492369,,,,,,,22,0.224000885524756,,,,,,,22,0.0194200639625275,,,,,,,22,0.0335504902315193,,,,,,,22,0.0130803299170823,,,,,,,22,0.0160507267367859,,,,,,
,21.5,0.192661663680954,,,,,,,21.5,0.229131472423091,,,,,,,21.5,0.203241047848552,,,,,,,21.5,0.223385536672192,,,,,,,21.5,0.0194336643843205,,,,,,,21.5,0.0335710813303034,,,,,,,21.5,0.0130631595686513,,,,,,,21.5,0.0160555169043395,,,,,,
,21,0.192439153372958,,,,,,,21,0.228971959517044,,,,,,,21,0.202714829907225,,,,,,,21,0.222763521047025,,,,,,,21,0.019450175803045,,,,,,,21,0.0335763635003349,,,,,,,21,0.0130471926447368,,,,,,,21,0.0160621558368905,,,,,,
,20.5,0.192201259480444,,,,,,,20.5,0.228825004254971,,,,,,,20.5,0.202209433755131,,,,,,,20.5,0.222126211384967,,,,,,,20.5,0.0194581574012435,,,,,,,20.5,0.0335775919260732,,,,,,,20.5,0.0130362192127879,,,,,,,20.5,0.0160498250068106,,,,,,
,20,0.191968691962363,,,,,,,20,0.2286656874984,,,,,,,20,0.201710821768372,,,,,,,20,0.221535750054931,,,,,,,20,0.0194612553026933,,,,,,,20,0.03357349403273,,,,,,,20,0.0130066584209959,,,,,,,20,0.0160470232663258,,,,,,
,19.5,0.191730445450652,,,,,,,19.5,0.228498000240699,,,,,,,19.5,0.201257904395308,,,,,,,19.5,0.220980162099944,,,,,,,19.5,0.0194609373729811,,,,,,,19.5,0.0335682806733426,,,,,,,19.5,0.0129806491000495,,,,,,,19.5,0.0160412503593298,,,,,,
,19,0.191500394926974,,,,,,,19,0.228324647699238,,,,,,,19,0.200822101618702,,,,,,,19,0.220376963843372,,,,,,,19,0.019443606830399,,,,,,,19,0.0335422713577693,,,,,,,19,0.0129558707011676,,,,,,,19,0.0160207721255739,,,,,,
,18.5,0.191262710340387,,,,,,,18.5,0.228166068778395,,,,,,,18.5,0.200388049641079,,,,,,,18.5,0.219803905807509,,,,,,,18.5,0.0194197129544854,,,,,,,18.5,0.0335205919312123,,,,,,,18.5,0.0129302051016365,,,,,,,18.5,0.0160120025771839,,,,,,
,18,0.191002479702874,,,,,,,18,0.227979813238321,,,,,,,18,0.199980268428141,,,,,,,18,0.219299323821835,,,,,,,18,0.0193936062098466,,,,,,,18,0.0334976161736869,,,,,,,18,0.0128981924821728,,,,,,,18,0.0160277796013437,,,,,,
,17.5,0.19076097872655,,,,,,,17.5,0.227805521943258,,,,,,,17.5,0.199629067432263,,,,,,,17.5,0.218776233502118,,,,,,,17.5,0.0193647062350899,,,,,,,17.5,0.0334714184134272,,,,,,,17.5,0.0128692859151427,,,,,,,17.5,0.0159940280456277,,,,,,
,17,0.190484338270062,,,,,,,17,0.22763840856307,,,,,,,17,0.199245513729334,,,,,,,17,0.218249859007627,,,,,,,17,0.0193038857566132,,,,,,,17,0.0334259243197084,,,,,,,17,0.0128363557722851,,,,,,,17,0.0159499264272185,,,,,,
,16.5,0.190236933322187,,,,,,,16.5,0.227444750260271,,,,,,,16.5,0.198904558869553,,,,,,,16.5,0.217804483922337,,,,,,,16.5,0.0192705372204847,,,,,,,16.5,0.0333956518017001,,,,,,,16.5,0.0128081037130628,,,,,,,16.5,0.0159522075338319,,,,,,
,16,0.190039640764699,,,,,,,16,0.227326776842739,,,,,,,16,0.198573429972703,,,,,,,16,0.217362517405914,,,,,,,16,0.0192367328332631,,,,,,,16,0.0333757102327271,,,,,,,16,0.0127694130441792,,,,,,,16,0.0159263382280924,,,,,,
,15.5,0.18986839965598,,,,,,,15.5,0.227146359386066,,,,,,,15.5,0.198294563303043,,,,,,,15.5,0.216963742157778,,,,,,,15.5,0.0192048321410451,,,,,,,15.5,0.0333498365944762,,,,,,,15.5,0.012744680075279,,,,,,,15.5,0.0159189575554447,,,,,,
,15,0.189753492950081,,,,,,,15,0.227058082415374,,,,,,,15,0.198045810766941,,,,,,,15,0.216598833157929,,,,,,,15,0.019193130097595,,,,,,,15,0.0333487396109092,,,,,,,15,0.0127221468106459,,,,,,,15,0.0159052619721349,,,,,,
,14.5,0.189682569147066,,,,,,,14.5,0.227027893400684,,,,,,,14.5,0.197814599958551,,,,,,,14.5,0.216283865788577,,,,,,,14.5,0.0192240922046517,,,,,,,14.5,0.0333866075586634,,,,,,,14.5,0.0127263474084744,,,,,,,14.5,0.0159306388135787,,,,,,
,14,0.189645883664929,,,,,,,14,0.227018591973745,,,,,,,14,0.197611190507901,,,,,,,14,0.216006354101232,,,,,,,14,0.019259898444553,,,,,,,14,0.0334413051422957,,,,,,,14,0.012727934351092,,,,,,,14,0.0159749233305521,,,,,,
,13.5,0.189600683570803,,,,,,,13.5,0.227013520150602,,,,,,,13.5,0.197422197768213,,,,,,,13.5,0.215772823187112,,,,,,,13.5,0.0192999317574823,,,,,,,13.5,0.0334979239208082,,,,,,,13.5,0.0127396676417047,,,,,,,13.5,0.0160181256015261,,,,,,
,13,0.189548797308906,,,,,,,13,0.226972970982811,,,,,,,13,0.197235855516476,,,,,,,13,0.215524683985321,,,,,,,13,0.0193478947251108,,,,,,,13,0.0335537173589195,,,,,,,13,0.0127538193262338,,,,,,,13,0.0160646194571583,,,,,,
,12.5,0.189515112266249,,,,,,,12.5,0.226960490780644,,,,,,,12.5,0.197011210895748,,,,,,,12.5,0.215303475728061,,,,,,,12.5,0.0193828803151648,,,,,,,12.5,0.0335951870725412,,,,,,,12.5,0.0127399210694808,,,,,,,12.5,0.0160983636406852,,,,,,
,12,0.18946634914737,,,,,,,12,0.226925420105813,,,,,,,12,0.196825142329572,,,,,,,12,0.215070697214666,,,,,,,12,0.0194149534413876,,,,,,,12,0.0336481390364129,,,,,,,12,0.0127437146874449,,,,,,,12,0.0161212974394281,,,,,,
,11.5,0.189440244500543,,,,,,,11.5,0.226894670494086,,,,,,,11.5,0.196665698032368,,,,,,,11.5,0.21485453575142,,,,,,,11.5,0.0194568293846379,,,,,,,11.5,0.0337073265446964,,,,,,,11.5,0.0127555891420587,,,,,,,11.5,0.0161674326938801,,,,,,
,11,0.189410362775037,,,,,,,11,0.22686144965755,,,,,,,11,0.196483719408921,,,,,,,11,0.214629029592052,,,,,,,11,0.0194854980073526,,,,,,,11,0.0337521381965572,,,,,,,11,0.0127535038996761,,,,,,,11,0.0161737280454922,,,,,,
,10.5,0.189364423337534,,,,,,,10.5,0.226834534401151,,,,,,,10.5,0.196324476592033,,,,,,,10.5,0.2144390104636,,,,,,,10.5,0.0195178173120786,,,,,,,10.5,0.0338007675084638,,,,,,,10.5,0.0127523232217933,,,,,,,10.5,0.016214416597359,,,,,,
,10,0.189341975216821,,,,,,,10,0.226806511028467,,,,,,,10,0.19618080833408,,,,,,,10,0.214213288357452,,,,,,,10,0.0195497167381626,,,,,,,10,0.033830887017853,,,,,,,10,0.0127643311558742,,,,,,,10,0.0162171203493547,,,,,,
,9.5,0.189311930666566,,,,,,,9.5,0.226762194611354,,,,,,,9.5,0.196062498706471,,,,,,,9.5,0.214035261061763,,,,,,,9.5,0.0195777658235333,,,,,,,9.5,0.033871243933551,,,,,,,9.5,0.0127736055436897,,,,,,,9.5,0.0162515853873116,,,,,,
,9,0.189239289231126,,,,,,,9,0.226668183405766,,,,,,,9,0.195917888105381,,,,,,,9,0.213858042529215,,,,,,,9,0.0195955154312859,,,,,,,9,0.0338844021505432,,,,,,,9,0.0127781963647441,,,,,,,9,0.0162737291567199,,,,,,
,8.5,0.189197674608579,,,,,,,8.5,0.226594447654547,,,,,,,8.5,0.19577947672765,,,,,,,8.5,0.213677674364346,,,,,,,8.5,0.0196250783060494,,,,,,,8.5,0.0339069505753266,,,,,,,8.5,0.012787962451284,,,,,,,8.5,0.0162989918414771,,,,,,
,8,0.189157886866469,,,,,,,8,0.226534461412674,,,,,,,8,0.19567338794886,,,,,,,8,0.213468419039501,,,,,,,8,0.0196515364031682,,,,,,,8,0.0339382996046886,,,,,,,8,0.0128146033204345,,,,,,,8,0.0162971799368404,,,,,,
,7.5,0.189093305321983,,,,,,,7.5,0.226449424072726,,,,,,,7.5,0.195528354574845,,,,,,,7.5,0.213272244363554,,,,,,,7.5,0.0196727188250327,,,,,,,7.5,0.033953117377224,,,,,,,7.5,0.0128228179646768,,,,,,,7.5,0.0163073367610339,,,,,,
,7,0.189027994763605,,,,,,,7,0.226354731415122,,,,,,,7,0.195418317902138,,,,,,,7,0.213077438960124,,,,,,,7,0.0196693936019677,,,,,,,7,0.0339543426148914,,,,,,,7,0.012835362267799,,,,,,,7,0.0163141505022477,,,,,,
,6.5,0.188975762522835,,,,,,,6.5,0.226271868751739,,,,,,,6.5,0.195298576253812,,,,,,,6.5,0.212899262350417,,,,,,,6.5,0.0196864653638451,,,,,,,6.5,0.0339656555446666,,,,,,,6.5,0.0128562266623459,,,,,,,6.5,0.0163273469566268,,,,,,
,6,0.188916221728896,,,,,,,6,0.226202797877362,,,,,,,6,0.195179663370006,,,,,,,6,0.212740250881561,,,,,,,6,0.0196987970118019,,,,,,,6,0.0339923573163179,,,,,,,6,0.0128757171581366,,,,,,,6,0.0163508457656812,,,,,,
,5.5,0.188861031878246,,,,,,,5.5,0.226122348370882,,,,,,,5.5,0.195051055103697,,,,,,,5.5,0.21256123426676,,,,,,,5.5,0.0197116676124741,,,,,,,5.5,0.0339975109081073,,,,,,,5.5,0.0128741722581153,,,,,,,5.5,0.0163483466350391,,,,,,
,5.30000019073486,0.188845237640129,,,,,,,5.30000019073486,0.226092620877903,,,,,,,5.30000019073486,0.19499616338201,,,,,,,5.30000019073486,0.212482710595055,,,,,,,5.30000019073486,0.0197155156831183,,,,,,,5.30000019073486,0.0340024952576515,,,,,,,5.30000019073486,0.0128664592969971,,,,,,,5.30000019073486,0.0163328359770944,,,,,,
