CSV Report,2023_08_03_DNA_MOPS_75_Na_salz.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,5
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,5.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,5.0,5.00
Stage 5,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_260.00nm_80.0-5.0C,,0_mM_unentsalzen_260.00nm_5.0-80.0C,,0_mM_unentsalzen_260.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_260.00nm_5.0-80.0C_R1,,0_mM_entsalzen_260.00nm_80.0-5.0C,,0_mM_entsalzen_260.00nm_5.0-80.0C,,0_mM_entsalzen_260.00nm_80.0-5.0C_R1,,0_mM_entsalzen_260.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_pH7.5_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_Na(I)_MOPS_ph7.5_entsalzen_400.00nm_5.0-80.0C_R1,,0_mM_unentsalzen_400.00nm_80.0-5.0C,,0_mM_unentsalzen_400.00nm_5.0-80.0C,,0_mM_unentsalzen_400.00nm_80.0-5.0C_R1,,0_mM_unentsalzen_400.00nm_5.0-80.0C_R1,,0_mM_entsalzen_400.00nm_80.0-5.0C,,0_mM_entsalzen_400.00nm_5.0-80.0C,,0_mM_entsalzen_400.00nm_80.0-5.0C_R1,,0_mM_entsalzen_400.00nm_5.0-80.0C_R1,
,73,0.239712051925908,12,0.21865262936269,,,,,73,0.287831846064748,12,0.246333676379553,,,,,73,0.251754299702903,12,0.232904728591625,,,,,73,0.271279522902607,12,0.217547768515134,,,,,73,0.0185403253995158,12,0.0431034940897716,,,,,73,0.0331338745231882,12,0.0476860906912821,,,,,73,0.0128741784697217,12,0.0380836036007458,,,,,73,0.0156935974648825,12,0.0185979000298836,,,,
,72.5,0.239603964069588,12.5,0.218218845373046,,,,,72.5,0.287713486504713,12.5,0.245434598301411,,,,,72.5,0.251781075002328,12.5,0.233052381018466,,,,,72.5,0.272234578716432,12.5,0.217559466979719,,,,,72.5,0.0185425356959277,12.5,0.0422382959845377,,,,,72.5,0.0331062059195213,12.5,0.0469003988943021,,,,,72.5,0.0128352679996637,12.5,0.0380346794647388,,,,,72.5,0.0156551009843007,12.5,0.0183961424378779,,,,
,72,0.239520458535348,13,0.216801127549919,,,,,72,0.28765250970043,13,0.243427157752987,,,,,72,0.251849468496356,13,0.232323862480676,,,,,72,0.272533809896152,13,0.217403782863434,,,,,72,0.0185028844236335,13,0.0403739503910155,,,,,72,0.0330990413448689,13,0.0453205104296793,,,,,72,0.0128244263321121,13,0.0373140974088564,,,,,72,0.0156396033701992,13,0.0180913937781284,,,,
,71.5,0.239560775149459,13.5,0.214354926122035,,,,,71.5,0.287644335828299,13.5,0.24061461157349,,,,,71.5,0.251942722138699,13.5,0.230741314810585,,,,,71.5,0.272689637287036,13.5,0.217154220872054,,,,,71.5,0.0185183226633571,13.5,0.0376488765033688,,,,,71.5,0.0331096728407391,13.5,0.0431834042430351,,,,,71.5,0.0128287689581139,13.5,0.03597542048865,,,,,71.5,0.015648327339663,13.5,0.0177214097555686,,,,
,71,0.239813510651401,14,0.21060064825264,,,,,71,0.287619633374487,14,0.237273500506856,,,,,71,0.252041865847698,14,0.227520783414673,,,,,71,0.272766197615347,14,0.216916729399901,,,,,71,0.0185665941082442,14,0.0340200998417322,,,,,71,0.0330982509563533,14,0.0406855345749773,,,,,71,0.0128472517504434,14,0.0335145669437736,,,,,71,0.0156550743434162,14,0.0174105253751722,,,,
,70.5,0.2394396231771,14.5,0.205979347101281,,,,,70.5,0.287570399000087,14.5,0.234208364722134,,,,,70.5,0.252126546190865,14.5,0.222316608273519,,,,,70.5,0.272802223593616,14.5,0.216771390106629,,,,,70.5,0.0185250306070539,14.5,0.0301815451099027,,,,,70.5,0.0331057797535262,14.5,0.0383279898738563,,,,,70.5,0.0128416037472355,14.5,0.0296983762786319,,,,,70.5,0.0156469415914534,14.5,0.0171814558206276,,,,
,70,0.239361310862195,15,0.201450674666128,,,,,70,0.287535189094523,15,0.231609284680854,,,,,70,0.252229901772607,15,0.214982245080898,,,,,70,0.272812940230704,15,0.216882038722654,,,,,70,0.0185457528321335,15,0.0267885109435982,,,,,70,0.0331095426653808,15,0.0362338352807109,,,,,70,0.012854682424571,15,0.0245192615241606,,,,,70,0.0156533670342994,15,0.0171382098188811,,,,
,69.5,0.239393412000122,15.5,0.197766323682854,,,,,69.5,0.287514096361053,15.5,0.229810257529077,,,,,69.5,0.252305380619394,15.5,0.208477003421602,,,,,69.5,0.272828358831755,15.5,0.217161137090081,,,,,69.5,0.0185756624425508,15.5,0.024230733895446,,,,,69.5,0.0331360232825104,15.5,0.0347268583366287,,,,,69.5,0.0128699696347211,15.5,0.0201414933610951,,,,,69.5,0.0156861041083044,15.5,0.0172403689660101,,,,
,69,0.239444833541987,16,0.195668223844971,,,,,69,0.287492659932201,16,0.229284027083613,,,,,69,0.252388527467569,16,0.203576347458637,,,,,69,0.272834735708343,16,0.217177791556869,,,,,69,0.0185956328935835,16,0.0228271317752263,,,,,69,0.0331436428303527,16,0.0342434350044393,,,,,69,0.0128973660846146,16,0.0168827988621448,,,,,69,0.0157050180594497,16,0.017127494354569,,,,
,68.5,0.239638515810379,16.5,0.194768776524212,,,,,68.5,0.287437559526112,16.5,0.229147066381734,,,,,68.5,0.252427942093751,16.5,0.20083324458859,,,,,68.5,0.272855475816239,16.5,0.216473853156549,,,,,68.5,0.0185988727556682,16.5,0.0222032770374197,,,,,68.5,0.0331619610532697,16.5,0.0340703354315261,,,,,68.5,0.0128943853544841,16.5,0.0148646318622517,,,,,68.5,0.0157157607581716,16.5,0.0164741901942207,,,,
