CSV Report,2023_08_30_DNA_TRIS-HCl_85_Na.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,7
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,20.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,20.0,5.00
Stage 5,Yes,0.5,1.0,80.0,5.00
Stage 6,Yes,0.5,1.0,20.0,5.00
Stage 7,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,
,78,0.247323477081164,22,0.197482322568657,78,0.256016499177504,22,0.202549482642459,78,0.25357920813996,22,0.200327921423802,78,0.228210318907061,22,0.177986639142526,78,0.23480622862186,22,0.18237822663377,78,0.240129487591962,22,0.186708682156733,78,0.240737438914288,22,0.19116848406582,78,0.246520620097533,22,0.195849460250415,78,0.253149030585528,22,0.200869380615906,78,0.260770323974551,22,0.210658621028141,78,0.268091656724294,22,0.215324939572374,78,0.273368068056483,22,0.219934279814407,78,0.0237495429446146,22,0.0235867548607556,78,0.0235608052365197,22,0.0234460517428637,78,0.0234407254515469,22,0.0234044027070569,78,0.00367960509978672,22,0.00346289483338001,78,0.00365924914566289,22,0.00346889820123516,78,0.00363146455188959,22,0.00366177731430142,78,0.00468136310662268,22,0.00495108610257086,78,0.00459604728434686,22,0.00484448769791196,78,0.00452701795507819,22,0.00473429289427066,78,0.0241913947225728,22,0.024179046942557,78,0.0240930799001199,22,0.0240759379624433,78,0.0240169453994752,22,0.0239945459028352
,77.5,0.247854454573008,22.5,0.197651221134297,77.5,0.256371024853847,22.5,0.20267937875121,77.5,0.253771076385603,22.5,0.200429118368697,77.5,0.229093711617112,22.5,0.178142521015821,77.5,0.234909981898406,22.5,0.182545060813095,77.5,0.240080480692268,22.5,0.186850030197102,77.5,0.240944055821501,22.5,0.191356768981597,77.5,0.247857995252368,22.5,0.195968039231356,77.5,0.253263290263884,22.5,0.20103154763413,77.5,0.261182793197863,22.5,0.210770339329677,77.5,0.268034917505801,22.5,0.21539637766459,77.5,0.273398942074963,22.5,0.220014804398795,77.5,0.0237393621428488,22.5,0.0235795913347504,77.5,0.0235560966115855,22.5,0.0234482969244026,77.5,0.0234413266232435,22.5,0.0234018711867738,77.5,0.00368530073998702,22.5,0.00347451126575876,77.5,0.00364596977508522,22.5,0.00347524575637391,77.5,0.00363259973776865,22.5,0.00367540592779787,77.5,0.00468833904264791,22.5,0.00495483127037191,77.5,0.00460768840038155,22.5,0.00483782994037038,77.5,0.00452851726749789,22.5,0.00473482194747463,77.5,0.0241941548552114,22.5,0.0241799814330865,77.5,0.0240942993434959,22.5,0.0240764929500295,77.5,0.0240257645970566,22.5,0.0239876577251701
,77,0.248164947696913,23,0.197836781164061,77,0.256618271449326,23,0.202787874973837,77,0.253877014538289,23,0.200548254263759,77,0.228898844785405,23,0.178292215221343,77,0.235030552075652,23,0.182671862410605,77,0.24030732205281,23,0.186981369693851,77,0.240898986979016,23,0.191493280013859,77,0.247003622541042,23,0.196108389890223,77,0.253309700125378,23,0.201173122038945,77,0.261232593652733,23,0.210959617190776,77,0.268106408624452,23,0.215447422886391,77,0.273495442895305,23,0.220064615351639,77,0.0237294256535992,23,0.023572059009663,77,0.0235597223781209,23,0.0234384851136009,77,0.0234595760035947,23,0.0233997754428271,77,0.00368575688303529,23,0.00347810128015005,77,0.00364984198306845,23,0.00348388083685905,77,0.00362928554426523,23,0.00369722268168505,77,0.00468219924948759,23,0.00493114017330706,77,0.00460939983520766,23,0.00483713645853352,77,0.00452251343223962,23,0.00473127319501139,77,0.0241997740613106,23,0.0241800203189733,77,0.0240891696332912,23,0.024072148224348,77,0.02402456673644,23,0.023983761358461
,76.5,0.248157540074986,23.5,0.19798909503821,76.5,0.256617212910539,23.5,0.202895537029716,76.5,0.253876121308278,23.5,0.200671751163132,76.5,0.228873541444124,23.5,0.178395891025731,76.5,0.234968101560665,23.5,0.182718798778451,76.5,0.240103579708604,23.5,0.187116677810113,76.5,0.24084333519212,23.5,0.191583489733686,76.5,0.247086346532808,23.5,0.196212549647388,76.5,0.253385252985898,23.5,0.201279949348957,76.5,0.261220086658815,23.5,0.21110378043116,76.5,0.268097582931947,23.5,0.215476780797135,76.5,0.273456010261823,23.5,0.220062991986835,76.5,0.0237053766880457,23.5,0.0235564306518325,76.5,0.0235622306650419,23.5,0.0234420672588646,76.5,0.0234567793917458,23.5,0.0234054273584771,76.5,0.0036893664434756,23.5,0.00348391298521292,76.5,0.00365572003782292,23.5,0.00349067519599493,76.5,0.00362078255019764,23.5,0.00372215989317988,76.5,0.0046760829618936,23.5,0.00490996929647102,76.5,0.00461225465850622,23.5,0.00483572503376225,76.5,0.00452612509782198,23.5,0.00472675233691924,76.5,0.0241958493375906,23.5,0.0241677606653531,76.5,0.0240902091860885,23.5,0.0240731524735621,76.5,0.0240281549528877,23.5,0.0239844773941385
,76,0.24814713735472,24,0.198092949328447,76,0.256602319252717,24,0.202961153594613,76,0.253917887626144,24,0.200757425825855,76,0.229024885763984,24,0.178465830116556,76,0.234981804793744,24,0.182787188492013,76,0.240092067940122,24,0.187206169242003,76,0.24090298373675,24,0.191619232367469,76,0.247026502076778,24,0.196257867194421,76,0.253962403565988,24,0.201337901380646,76,0.261251602422997,24,0.211180556845737,76,0.268122530186607,24,0.21547687594329,76,0.273460738110825,24,0.220026553709445,76,0.0237280195319308,24,0.0235511340735738,76,0.0235711568522182,24,0.0234424630029965,76,0.0234609005626503,24,0.0234118517110898,76,0.00369081390428737,24,0.00350850730139658,76,0.00365418618482384,24,0.00350786116534488,76,0.00363220317437746,24,0.00373780640834498,76,0.00470397589191801,24,0.00492307538821797,76,0.00461362948596618,24,0.00482788666941082,76,0.00452883322357994,24,0.00472172202643206,76,0.024200789785998,24,0.024165753990928,76,0.0240868878786816,24,0.0240719723178617,76,0.024018320091075,24,0.0239886063501885
,75.5,0.248061335227324,24.5,0.198212119693553,75.5,0.256580596631822,24.5,0.203046672164405,75.5,0.2539143307369,24.5,0.200871011269783,75.5,0.229018452769705,24.5,0.178484993808987,75.5,0.235013574829757,24.5,0.182838662654922,75.5,0.24012915705422,24.5,0.187273401368621,75.5,0.240821720098174,24.5,0.19163153106556,75.5,0.247129205607552,24.5,0.196307448928682,75.5,0.253469741782886,24.5,0.201369748774583,75.5,0.261393024349432,24.5,0.211193435244375,75.5,0.268085320128006,24.5,0.21548735623621,75.5,0.2734406014749,24.5,0.220005947063977,75.5,0.0237060004393669,24.5,0.0235469389667678,75.5,0.0235859147960193,24.5,0.0234179273604438,75.5,0.0234690644729575,24.5,0.0234227189335246,75.5,0.00369913507120699,24.5,0.00351419803059922,75.5,0.00365890809327465,24.5,0.00351438533437143,75.5,0.00363096085580147,24.5,0.00376692310577279,75.5,0.00473264944200863,24.5,0.00492012164547891,75.5,0.00461592634212107,24.5,0.00480704858644002,75.5,0.00453949460807325,24.5,0.0047170748601423,75.5,0.0242001300387229,24.5,0.0241648042479949,75.5,0.0240943022520189,24.5,0.0240599452607636,75.5,0.0240364393352029,24.5,0.0239849468567864
,75,0.247917210254558,25,0.198381121473469,75,0.256472747384799,25,0.203146205756101,75,0.253951050841016,25,0.200996105047449,75,0.22905034240816,25,0.178544499151194,75,0.235015302096631,25,0.182887997516933,75,0.240013860384674,25,0.187367855622281,75,0.240578218379852,25,0.191573044962146,75,0.247075890421096,25,0.19629303685205,75,0.253433529276565,25,0.201408294022295,75,0.261464348507389,25,0.211149153170273,75,0.268044472663667,25,0.215511444646689,75,0.273417096843636,25,0.220025994559753,75,0.0237267362981873,25,0.0235423291847046,75,0.0235789148929658,25,0.0234210203926596,75,0.0234645403771675,25,0.023432807499699,75,0.00369716227367901,25,0.00351343757014201,75,0.00364791868793756,25,0.00350875231809534,75,0.00363045680825566,25,0.00378129968160154,75,0.00468984302699693,25,0.00490374990486484,75,0.00461305029207093,25,0.00481004647728467,75,0.00454238830069888,25,0.00471900538536794,75,0.0241944627708386,25,0.0241622686659666,75,0.0240847842187874,25,0.0240541709841114,75,0.0240345166585606,25,0.0239810098486213
,74.5,0.247848710998028,25.5,0.198570548613105,74.5,0.256424758376412,25.5,0.203274160782749,74.5,0.25390479882859,25.5,0.201082614354678,74.5,0.229218924214052,25.5,0.178586436814631,74.5,0.235021798941022,25.5,0.182965626862124,74.5,0.240019685290205,25.5,0.187431776304957,74.5,0.240475666705307,25.5,0.191531820668985,74.5,0.247133613451562,25.5,0.196307783794525,74.5,0.253447392598678,25.5,0.201411803036528,74.5,0.261449072429762,25.5,0.211099967374701,74.5,0.267999604482778,25.5,0.215553137709112,74.5,0.273398309463815,25.5,0.220131112254704,74.5,0.0237261881122706,25.5,0.0235499790194059,74.5,0.0235717001426415,25.5,0.0234070469851638,74.5,0.0234476745903951,25.5,0.0234125278841347,74.5,0.00368995722667895,25.5,0.00351757976637708,74.5,0.00366027394984067,25.5,0.00351760374101161,74.5,0.00363246700102583,25.5,0.00379511412021239,74.5,0.00470692570888197,25.5,0.00490374581776604,74.5,0.00460872030251085,25.5,0.00479706713652827,74.5,0.00453200900713779,25.5,0.00469906852911002,74.5,0.0241928373263749,25.5,0.024158916744982,74.5,0.0240897093110616,25.5,0.0240406669553892,74.5,0.0240216522591331,25.5,0.0239773899072597
,74,0.247791513582634,26,0.198783074042515,74,0.256319357596418,26,0.203416136115577,74,0.253839287161567,26,0.201206749216409,74,0.229152097021583,26,0.178645690190332,74,0.234988969020884,26,0.183066156259691,74,0.239938977603453,26,0.187563975418373,74,0.240406639514765,26,0.191516964367443,74,0.247129210331931,26,0.196328802908448,74,0.253504010385626,26,0.201403064773982,74,0.261418429806645,26,0.211077169409538,74,0.267945487894843,26,0.215641625616041,74,0.273388676780613,26,0.220236479600003,74,0.0237156834105174,26,0.0235559387029694,74,0.0235785184449504,26,0.0234218766118863,74,0.0234791582224471,26,0.0234245298778646,74,0.00369024548283693,26,0.00351652592693778,74,0.00366627434737392,26,0.00352426401693998,74,0.00363788712768387,26,0.003809893595869,74,0.00481452791149527,26,0.0049001181566845,74,0.00461226478373978,26,0.00482168051503996,74,0.00454168425241207,26,0.00471187399587084,74,0.0242004726885089,26,0.0241538394103484,74,0.0240944850378008,26,0.0240474732285561,74,0.0240332723347766,26,0.0239774741904118
,73.5,0.247919927449439,26.5,0.199101268725248,73.5,0.256245816721808,26.5,0.20360644397486,73.5,0.254032665481511,26.5,0.20135598730821,73.5,0.229141728209144,26.5,0.178773514545929,73.5,0.235031075162983,26.5,0.183176569592388,73.5,0.23996933393548,26.5,0.187700403221286,73.5,0.240383388620583,26.5,0.191570084890194,73.5,0.247089809615435,26.5,0.196356313213291,73.5,0.253498727602025,26.5,0.201450965027166,73.5,0.26148726874961,26.5,0.211184122341406,73.5,0.267906844530539,26.5,0.21577017216541,73.5,0.273375876401997,26.5,0.22037969725789,73.5,0.0237279672735856,26.5,0.023553750847397,73.5,0.0235608820624405,26.5,0.0234261209999758,73.5,0.0234609728627041,26.5,0.0234371918329395,73.5,0.0037015300774195,26.5,0.00353383154491195,73.5,0.00365912912062414,26.5,0.00352481584129863,73.5,0.00363609923687176,26.5,0.00381980918572573,73.5,0.00469741990149065,26.5,0.004917604438708,73.5,0.00461090569348524,26.5,0.0048122245639924,73.5,0.00453641014440986,26.5,0.00470852582419572,73.5,0.0242070987105583,26.5,0.0241644655399592,73.5,0.0240877405616758,26.5,0.0240538992355529,73.5,0.0240208493214587,26.5,0.0239705881379151
,73,0.248894084917277,27,0.199460947161947,73,0.256152085574895,27,0.203843627879883,73,0.253970567767644,27,0.201532991236189,73,0.229188379768538,27,0.178906311654893,73,0.235097795162451,27,0.183345194145144,73,0.239961122199877,27,0.187872985642622,73,0.24036890973734,27,0.191666306523574,73,0.247067133860476,27,0.19645346025606,73,0.253429666664596,27,0.201567306869226,73,0.261488073957263,27,0.211354703924034,73,0.267881742596474,27,0.215874600762045,73,0.27343135250969,27,0.220482553070662,73,0.0237208444062431,27,0.0235521400205326,73,0.0235553883659946,27,0.0234294318602433,73,0.023463160084831,27,0.0234406357006407,73,0.00370270211681656,27,0.00352718894411411,73,0.00365684777930537,27,0.00354014456019941,73,0.00363646442088119,27,0.00382968077813216,73,0.0046846007482773,27,0.00490340914263786,73,0.00461931371873159,27,0.0048158599915807,73,0.00453613045576479,27,0.00471265121103139,73,0.0242053747576437,27,0.0241487092735086,73,0.0240848617168553,27,0.0240593495182039,73,0.0240331439338573,27,0.0239729890782638
,72.5,0.248150610132822,27.5,0.199804289760504,72.5,0.256111797657913,27.5,0.204102016796709,72.5,0.253791892808029,27.5,0.201727430707305,72.5,0.229216531517247,27.5,0.179042028975942,72.5,0.2351278077051,27.5,0.183470663600886,72.5,0.240026114992429,27.5,0.188020239586126,72.5,0.240365002245397,27.5,0.19182948369622,72.5,0.247052691286846,27.5,0.196610712165163,72.5,0.25339463982124,27.5,0.201691226086788,72.5,0.261490295319117,27.5,0.211527250289262,72.5,0.267874207344722,27.5,0.215957554237535,72.5,0.273534631883604,27.5,0.220528513500597,72.5,0.0237196420441929,27.5,0.0235531294723612,72.5,0.0235644761565083,27.5,0.0234162193207322,72.5,0.0234596346317193,27.5,0.0234427407945769,72.5,0.00370144849905085,27.5,0.00352593510312966,72.5,0.00367101159940687,27.5,0.0035249535388516,72.5,0.00363394706527894,27.5,0.00383968146192535,72.5,0.00467887687763838,27.5,0.00491646553492932,72.5,0.00462318418659018,27.5,0.00481022838378473,72.5,0.0045323416244775,27.5,0.00470667439585656,72.5,0.0242055847089999,27.5,0.0241468149712797,72.5,0.024090038033031,27.5,0.0240401878111543,72.5,0.0240230628129582,27.5,0.023968179570414
,72,0.247931363338649,28,0.200165892510436,72,0.256138914509161,28,0.20433895943123,72,0.253666014467703,28,0.20190881122448,72,0.229296322581834,28,0.179242824590699,72,0.235130733698891,28,0.183689366025971,72,0.240092196935662,28,0.188216488655082,72,0.240540134810381,28,0.192089268007441,72,0.247027478403808,28,0.196755951456812,72,0.253398938181473,28,0.201836958754184,72,0.261541124446295,28,0.21161959191446,72,0.26786842094128,28,0.215964534820027,72,0.273625727760434,28,0.220524166945167,72,0.0237181682834297,28,0.023550157586624,72,0.0235515507556319,28,0.0234113091875758,72,0.0234764500655677,28,0.0234509656321986,72,0.00370452864095583,28,0.00353144252941367,72,0.00365406019636291,28,0.00353544715074561,72,0.00364249534216158,28,0.00386542605012261,72,0.00467642605987295,28,0.00493214992389928,72,0.00459424803045082,28,0.00480570902115259,72,0.00454531927548694,28,0.00471621019556815,72,0.0242030531487391,28,0.0241531544761091,72,0.0240869594612291,28,0.0240377458371546,72,0.0240275500869163,28,0.0239751792552604
,71.5,0.247905413119503,28.5,0.200526126962498,71.5,0.256348798345162,28.5,0.204556064877717,71.5,0.253636374998655,28.5,0.202086401102673,71.5,0.229385716294664,28.5,0.179428739409196,71.5,0.235132299543811,28.5,0.183826751320117,71.5,0.240144144030131,28.5,0.188319856093416,71.5,0.241250120970863,28.5,0.192118937849295,71.5,0.246972326463552,28.5,0.19687982856128,71.5,0.253432415060751,28.5,0.201953342763015,71.5,0.261567166352229,28.5,0.211616527727155,71.5,0.267838558644733,28.5,0.215974029517803,71.5,0.273600905067034,28.5,0.220525488393041,71.5,0.0237311250379094,28.5,0.0235645075559054,71.5,0.0235736801911441,28.5,0.0234060297523511,71.5,0.0234622882457545,28.5,0.0234390896916778,71.5,0.00370024677351589,28.5,0.00354127829624751,71.5,0.00366926487293406,28.5,0.00353834039982329,71.5,0.00364433074363205,28.5,0.00385373607893276,71.5,0.00469116942492287,28.5,0.00490989508556967,71.5,0.00462512480667584,28.5,0.0048011495472089,71.5,0.00454126975827245,28.5,0.00470362679195543,71.5,0.0242059685588527,28.5,0.0241488214368419,71.5,0.0240989731701418,28.5,0.0240303886317803,71.5,0.024023884816529,28.5,0.0239617518190312
,71,0.247943633069402,29,0.200796705800911,71,0.256393918070163,29,0.204748866009987,71,0.253558907216719,29,0.202250887466159,71,0.229510588791819,29,0.17953851848147,71,0.235096314479611,29,0.183921446006267,71,0.240289448149003,29,0.188430609808108,71,0.240751287403703,29,0.192218618812431,71,0.246953303223001,29,0.196951404438342,71,0.253503890785514,29,0.20205602887334,71,0.26159022835429,29,0.211533359937679,71,0.267799625492887,29,0.216036437566101,71,0.273624345896082,29,0.220578505205585,71,0.0237219496045564,29,0.0235394098118085,71,0.0235655900229147,29,0.0234111235577417,71,0.0234658488877179,29,0.023464031423258,71,0.00372250489604273,29,0.00353203432639415,71,0.00366384512976361,29,0.00353130410483804,71,0.00364863109135806,29,0.0038695644493929,71,0.00469031429277597,29,0.00492101043184409,71,0.00462835804099597,29,0.00479266043869666,71,0.00453615590080787,29,0.00471239675216174,71,0.0242096056462997,29,0.0241414433159725,71,0.0240933195636335,29,0.0240327455364877,71,0.0240223992480631,29,0.0239600787023353
,70.5,0.247922480371204,29.5,0.20112698298337,70.5,0.256212311742916,29.5,0.204944290297892,70.5,0.253517882464421,29.5,0.202410929617729,70.5,0.229536678483975,29.5,0.179627059239689,70.5,0.235099336757922,29.5,0.184014851727852,70.5,0.240384773999199,29.5,0.188545150515057,70.5,0.240678894058689,29.5,0.192190904789059,70.5,0.246963620849392,29.5,0.196981270494781,70.5,0.253501854671644,29.5,0.202098603347735,70.5,0.261564511201552,29.5,0.21155214899102,70.5,0.267766130314384,29.5,0.216134268135911,70.5,0.273577766132333,29.5,0.220717956865338,70.5,0.0237434645009142,29.5,0.0235553939718789,70.5,0.0235722014963609,29.5,0.0234168555174714,70.5,0.0234711241137618,29.5,0.0234633056000529,70.5,0.00371514735169014,29.5,0.00355947720009566,70.5,0.00367782282405162,29.5,0.0035383092340195,70.5,0.00364220648242101,29.5,0.00387360079669753,70.5,0.00474128380928019,29.5,0.0049082902931894,70.5,0.00462811339485891,29.5,0.0048023221496577,70.5,0.004544804510554,29.5,0.00469951467556148,70.5,0.0242162901192679,29.5,0.0241353075053108,70.5,0.024098516174131,29.5,0.0240319269336304,70.5,0.0240327005536923,29.5,0.0239590944093827
,70,0.247917033454513,30,0.201441501381578,70,0.256051653785604,30,0.205170745571612,70,0.25349346061732,30,0.202600060857034,70,0.229591345461556,30,0.179722631628144,70,0.235064702228773,30,0.184128373041922,70,0.24038806528084,30,0.18867441521668,70,0.240692986136486,30,0.192186692699508,70,0.247007593856275,30,0.197007831789047,70,0.253456970323569,30,0.202118698151861,70,0.261512261620827,30,0.21171849121792,70,0.267715053491181,30,0.216246879532516,70,0.273539415512114,30,0.220837190410492,70,0.0237452267663577,30,0.0235537640780682,70,0.023581517228805,30,0.0234210655862409,70,0.0234531533669191,30,0.0234636805051945,70,0.0037086092453206,30,0.00354004220589207,70,0.00367172342982793,30,0.00354010736679758,70,0.00364465217395836,30,0.00390333604507064,70,0.00510376599138028,30,0.00491189071914805,70,0.00462474354211637,30,0.00480857007334481,70,0.00453252208764862,30,0.0047033577878976,70,0.0242246350274752,30,0.0241488385858784,70,0.0241025840740797,30,0.0240379932185831,70,0.0240223189515029,30,0.023955516015948
,69.5,0.248019028167099,30.5,0.201843875701151,69.5,0.255950417770491,30.5,0.20546621974253,69.5,0.253413910951129,30.5,0.202843092734183,69.5,0.229676093302907,30.5,0.179824015870659,69.5,0.235031020249852,30.5,0.184257206295309,69.5,0.240340387379019,30.5,0.188850131936489,69.5,0.240830313623945,30.5,0.192253581864291,69.5,0.247096637374254,30.5,0.197060619353277,69.5,0.253459121931943,30.5,0.202147195957972,69.5,0.261489841695578,30.5,0.211866146108135,69.5,0.267652541318191,30.5,0.216354361391348,69.5,0.273519134001134,30.5,0.220928385587275,69.5,0.0237351078399718,30.5,0.0235594795594613,69.5,0.0235623217570619,30.5,0.0234155109243301,69.5,0.0234583834063574,30.5,0.0234637648324806,69.5,0.0037095640478045,30.5,0.00355108091973514,69.5,0.00366792671462329,30.5,0.00354398000352989,69.5,0.00364763211669076,30.5,0.00391649877072505,69.5,0.00478125777951722,30.5,0.00493178858200095,69.5,0.00461831368017517,30.5,0.00479335216827431,69.5,0.00453273011555103,30.5,0.00470710746863987,69.5,0.0242205794111677,30.5,0.0241386217666447,69.5,0.0240942885428053,30.5,0.0240306546839538,69.5,0.0240232866217908,30.5,0.0239623020008788
,69,0.248010525532377,31,0.202305391358857,69,0.255902416020539,31,0.205826463314905,69,0.253352622327467,31,0.203104042972597,69,0.229765024408629,31,0.180020561125795,69,0.234977603451854,31,0.184439897522528,69,0.240332634049717,31,0.189081129775518,69,0.240775986397336,31,0.192320619296298,69,0.247041201299663,31,0.197133116762821,69,0.25348033234646,31,0.202256649727726,69,0.261463847287417,31,0.211940569242815,69,0.267573404136314,31,0.216376728873189,69,0.273482034884127,31,0.220934512545012,69,0.0237484709110306,31,0.0235558450219537,69,0.0235623421169182,31,0.023410501272284,69,0.0234714562477635,31,0.0234768344680534,69,0.00371732539445578,31,0.00354708593625124,69,0.00366961339264186,31,0.00354159779607245,69,0.00363849761662611,31,0.00392087398820243,69,0.00470928653504417,31,0.00489701412709108,69,0.00461160791527117,31,0.00479043761857655,69,0.00455188552659489,31,0.00470801893096622,69,0.0242188695463931,31,0.0241393899564118,69,0.0240930429189452,31,0.0240270783841159,69,0.0240344659601651,31,0.0239669788566178
,68.5,0.247998113089406,31.5,0.202777993760658,68.5,0.255874463524324,31.5,0.206239687912913,68.5,0.253277680844916,31.5,0.203429566757433,68.5,0.229791294425092,31.5,0.180226856459977,68.5,0.234928074386616,31.5,0.184662261557822,68.5,0.240287063720141,31.5,0.18928761031113,68.5,0.240761577854104,31.5,0.19249903392461,68.5,0.246949681361399,31.5,0.197277064308126,68.5,0.25347569036702,31.5,0.202393358408093,68.5,0.261425315785242,31.5,0.211927828148399,68.5,0.267480638367869,31.5,0.216392101017081,68.5,0.273410832737251,31.5,0.220966697952643,68.5,0.0237489806556678,31.5,0.023543968813279,68.5,0.0235744548255167,31.5,0.0234262172764781,68.5,0.0234736608180058,31.5,0.0234690561570717,68.5,0.00371564030056959,31.5,0.00355088469612889,68.5,0.00367365551845034,31.5,0.00355077667911838,68.5,0.00364010506106447,31.5,0.00391531711140657,68.5,0.00486850678087038,31.5,0.00489459340679459,68.5,0.0046261482572987,31.5,0.00479606649532258,68.5,0.00454978959353385,31.5,0.00467416104845044,68.5,0.0242203760143861,31.5,0.0241297321663896,68.5,0.0240990088678003,31.5,0.0240324490603283,68.5,0.0240351925033359,31.5,0.0239512300944456
